Case,Permeate flux (L/m²h),Distillate flow rate (L/h),Exp. permeate flux (L/m²h),Exp. distillate flow rate (L/h),Hot feedwater outlet temperature (°C),Exp. hot feedwater outlet temperature (°C),Cold feedwater outlet temperature (°C),Exp. cold feedwater outlet temperature (°C),Heat flux (W/m²),Vapor heat flux (W/m²),GOR,STECth,Thermal efficiency (%)
Case 1,10.529546043157136,0.0829093496,31.8310155048877,0.25,59.1793680858,60.66,42.341275962,41.54,9558.0919527229,6857.4660448397,0.0833640007,10997.8495980698,71.7451357317
Case 2,7.2510654120438245,0.057074384,5.85690685289933,0.046,48.9965138664,49.64,31.6927983879,31.42,7893.6883267301,4788.0592447165,0.056355669,19428.7038530296,60.6568063817
Case 3,7.804842817988723,0.0614413778,5.98423091491888,0.047,50.0210064012,50.78,31.8782987395,31.56,8389.9962098282,5148.7670147827,0.05711301,18932.8531477162,61.3679301637
Case 4,4.658141026135774,0.0366448132,4.45634217068427,0.035,39.5656281164,39.91,22.8533114298,22.71,6291.3435504117,3111.3067123861,0.0398702589,33979.6368097381,49.4537722738
Case 5,11.03654965270834,0.0868962246,8.91268434136855,0.07,59.2117643594,60.04,41.6186739589,41.34,10042.996921327,7188.3447542914,0.0597882865,15369.2916122426,71.5756940941
Case 6,4.831945270763572,0.0380162881,4.71099029472337,0.037,39.3036516134,39.82,20.9447673851,20.74,6721.9194572198,3230.3476851802,0.0455320291,30634.5949329736,48.0569234091
Case 7,4.7727302518693,0.0375518275,3.56507373654742,0.028,39.1806122445,39.75,20.867451406,20.52,6675.2080749003,3191.5170324804,0.0546519952,25658.5517301753,47.8114988577
Case 8,10.566942544714273,0.0832018768,34.8867929933569,0.274,58.4615973419,59.41,41.1388172445,40.99,9722.0961827703,6889.7551588622,0.0687540933,13509.1768837905,70.8669717861
Case 9,7.753578741416292,0.061034674,6.36620310097753,0.05,49.453877025,50.17,30.9554485505,30.71,8444.8271337722,5118.8351603014,0.048164229,22740.5346278099,60.6150378121
Case 10,7.218996807529519,0.0568245262,5.60225872886023,0.044,49.1610046305,49.53,31.918182626,31.62,7835.4775457918,4766.1483338299,0.0675388157,16164.7800727769,60.8277964677
Case 11,9.100188154448041,0.071646034,7.38479559713394,0.058,54.3015143809,55.05,36.7283316424,36.45,8979.4376314075,5967.9431090042,0.062858672,15818.2921096594,66.4623259716
Case 12,5.63386817919997,0.0443310414,5.85690685289933,0.046,43.1167166486,43.54,25.7523068178,25.66,6995.5512115949,3747.6199074189,0.0426180712,29249.2395953751,53.5714741278
Case 13,10.780382279893333,0.0848887975,7.38479559713394,0.058,59.4759415158,60.57,42.3247524766,41.72,9765.3524795729,7019.0986097072,0.0836089313,10942.9712904665,71.8775755856
Case 14,7.491733561966007,0.0589722325,5.85690685289933,0.046,49.4272701534,49.78,31.7320329862,31.42,8115.4054608243,4945.0564359597,0.056651309,19232.5713215686,60.934188191
Case 15,8.743249181811628,0.0688345011,6.11155497693843,0.048,54.081670577,55.18,37.0681612622,36.58,8627.4504338675,5734.5448519974,0.0749560158,13266.8332091741,66.4685922678
Case 16,6.09339437901798,0.0479545049,5.47493466684068,0.043,44.298120665,44.91,25.9806486138,25.78,7438.5433111018,4049.0690300123,0.0503670376,24334.6548172137,54.4336284763
Case 17,9.207524348709406,0.0724866973,7.89409184521214,0.062,54.3625572698,54.74,36.6773121053,36.37,9068.1604710722,6037.332339867,0.0539049745,18411.3208303781,66.5772552121
Case 18,6.041097165586373,0.0475450651,5.34761060482113,0.042,44.4632123823,45.17,26.4753618036,26.14,7335.048808464,4013.4865544804,0.0608947421,20021.4227538502,54.7165623472
