Case,Permeate flux (L/m²h),Distillate flow rate (L/h),Exp. permeate flux (L/m²h),Exp. distillate flow rate (L/h),Hot feedwater outlet temperature (°C),Exp. hot feedwater outlet temperature (°C),Cold feedwater outlet temperature (°C),Exp. cold feedwater outlet temperature (°C),Heat flux (W/m²),Vapor heat flux (W/m²),GOR,STECth,Thermal efficiency (%)
Case 1,7.855979698634991,0.0618842193,31.8310155048877,0.25,59.6019392661,60.66,41.9185379474,41.54,6919.4415031904,5110.2254300484,0.0589928349,15071.8922031067,73.8531488082
Case 2,5.057990626614126,0.0398247862,5.85690685289933,0.046,49.3334251297,49.64,31.3561029325,31.42,5320.4008071539,3336.2291643357,0.0372990368,28353.5737509992,62.7063502406
Case 3,5.464323118024495,0.043030684,5.98423091491888,0.047,50.37665108,50.78,31.5228703788,31.56,5674.9374687869,3600.558390302,0.0379300171,27530.8718457907,63.4466619255
Case 4,3.0983653703759098,0.0243792699,4.45634217068427,0.035,39.8142124518,39.91,22.605097079,22.71,4039.030720494,2067.51992215,0.0252364924,51802.1471439787,51.18851688
Case 5,8.069287145059882,0.0635624322,8.91268434136855,0.07,59.5361989211,60.04,41.2941177565,41.34,7129.3019181942,5249.960228281,0.0417189163,21374.1322861137,73.6391906041
Case 6,3.230633916531951,0.0254229,4.71099029472337,0.037,39.615219054,39.82,20.6337456506,20.74,4332.0545662446,2157.4372547622,0.0288765506,46548.8396432868,49.8017100609
Case 7,3.2185585601305995,0.0253286402,3.56507373654742,0.028,39.5521671866,39.75,20.4965516525,20.52,4334.0069501624,2149.7086938732,0.0348166644,38767.7783729337,49.6009516965
Case 8,7.75552483018732,0.0610916051,34.8867929933569,0.274,58.8298029102,59.41,40.7704982839,40.99,6922.0292258475,5050.8662743018,0.0480018932,18761.0692967244,72.967999838
Case 9,5.369677648704999,0.0422833691,6.36620310097753,0.05,49.7634028793,50.17,30.6461386081,30.71,5652.590656633,3541.0833559654,0.0317337559,33345.8537863573,62.645317361
Case 10,5.094843584273474,0.0401168557,5.60225872886023,0.044,49.558622204,49.53,31.520812056,31.62,5341.0734640994,3359.8089431518,0.0450692216,23387.3899907118,62.905125079
Case 11,6.520907508328553,0.0513589419,7.38479559713394,0.058,54.6624632034,55.05,36.3674280756,36.45,6229.2518483479,4271.5253126628,0.0427831167,22489.6061309401,68.5720439092
Case 12,3.7980398078908975,0.0298929223,5.85690685289933,0.046,43.3867263672,43.54,25.4826286949,25.66,4552.8823406424,2523.8933293079,0.0273303117,44019.8089978486,55.4350659752
Case 13,8.051924200574609,0.0634315647,7.38479559713394,0.058,59.9065594036,60.57,41.8939553488,41.72,7076.8670930551,5236.2775968436,0.0592277026,14980.1958685066,73.9914644148
Case 14,5.233577462595959,0.0412101187,5.85690685289933,0.046,49.7727186325,49.78,31.3868024965,31.42,5477.4490239967,3450.6099131723,0.0375452799,28026.8795195931,62.9966595409
Case 15,6.333822502566937,0.0498839676,6.11155497693843,0.048,54.4935471669,55.18,36.6563324861,36.58,6049.4279732763,4149.3575657952,0.0514068075,18715.0924742151,68.5909078367
Case 16,4.1581211518617005,0.0327328993,5.47493466684068,0.043,44.6301730218,44.91,25.6490029238,25.78,4897.0818180456,2759.9788527337,0.0325977677,36262.1424109566,56.3596638832
Case 17,6.54853370596138,0.0515740406,7.89409184521214,0.062,54.6758603014,54.74,36.3640482989,36.37,6248.1138690203,4289.203365778,0.0365292216,26308.8183979684,68.6479705027
Case 18,4.165771834036744,0.0327943599,5.34761060482113,0.042,44.8544236736,45.17,26.0846093941,26.14,4875.6779006541,2764.2976119206,0.0396676264,29617.4343153415,56.6956568552
Case 19,4.175802728921561,0.0328736306,4.07436998462562,0.032,44.8208171875,45.26,25.918195995,25.83,4898.4136056484,2771.1893406131,0.0395756412,29751.7773169733,56.5732002993
Case 20,7.045668138248663,0.0555012723,8.78536027934899,0.069,55.2208832729,55.33,35.3689902537,35.56,6741.1620032714,4614.3969465653,0.0363710442,26488.8869863036,68.4510614687
Case 21,7.761841212778037,0.0611389829,6.87549934905573,0.054,59.6896687783,59.84,42.4308239639,42.22,6808.516424129,5047.3428339819,0.0594480212,14898.12591343,74.1327848765
Case 22,8.890359248212276,0.0700525749,9.16733246540765,0.072,60.7733007404,60.72,41.0672069201,41.0,7800.732957832,5778.7458603074,0.0495472488,17872.7675780302,74.0795242132
Case 23,7.819288001313833,0.0615896533,8.53071215530989,0.067,59.0267060313,59.53,41.063566988,41.17,6946.7861542965,5090.2684116359,0.041289444,21713.8213034655,73.2751562892
