Case,Permeate flux (L/m²h),Distillate flow rate (L/h),Exp. permeate flux (L/m²h),Exp. distillate flow rate (L/h),Hot feedwater outlet temperature (°C),Exp. hot feedwater outlet temperature (°C),Cold feedwater outlet temperature (°C),Exp. cold feedwater outlet temperature (°C),Heat flux (W/m²),Vapor heat flux (W/m²),GOR,STECth,Thermal efficiency (%)
Case 19,2.084522916911764,0.0164143243,4.07436998462562,0.032,45.2230849282,45.26,25.5164280539,25.83,2369.5120612369,1381.5336875328,0.0187607375,60797.9755964829,58.3045644769
Case 20,3.639579802677836,0.0286828116,8.78536027934899,0.069,55.5932526866,55.33,34.9966826345,35.56,3390.3115697052,2380.4126423237,0.0179672442,52178.3000278288,70.2122089189
Case 21,4.283922833908887,0.0337603993,6.87549934905573,0.054,60.1932995635,59.84,41.926973014,42.22,3663.6926945891,2781.3976827247,0.0311345362,27717.424675715,75.917876159
Case 22,4.83046664312139,0.0380828694,9.16733246540765,0.072,61.2562968384,60.72,40.5839784107,41.0,4131.0731532344,3134.7866375134,0.0256415122,33638.8309074076,75.8831064286
Case 23,4.1638314428557885,0.0328131155,8.53071215530989,0.067,59.3980664432,59.53,40.6920783552,41.17,3610.7673635069,2707.0132170221,0.0210440702,41560.8592245618,74.9705795057
Case 24,1.4606437026846266,0.0114953383,3.43774967452787,0.027,38.8302452106,38.67,19.4691501665,19.8,1952.6350628927,975.5495975445,0.0157360059,85123.5258063856,49.9606719189
Case 25,1.3950300787136594,0.0109779967,3.43774967452787,0.027,38.4466776496,38.31,19.8628678459,20.18,1867.509787513,932.0109453475,0.0129152982,103866.7641716978,49.9066163711
Case 26,1.4954081129444496,0.0117689162,4.32901810866472,0.034,39.9493443651,39.83,21.8303100083,22.22,1908.7039487481,997.1613195962,0.0114859627,111403.015631255,52.2428488845
Case 27,4.578229628853143,0.0360876499,7.76676778319259,0.061,60.7543873556,60.39,41.1158614209,41.47,3918.5811474089,2971.9477965362,0.0255968459,33731.4696501663,75.8424461492
Case 28,4.557755898737292,0.0359254177,8.02141590723169,0.063,60.7767289223,60.96,41.453581434,41.97,3890.9676883475,2958.0246857746,0.0312636173,27549.5944134787,76.0228540225
Case 29,4.624752708061164,0.0364545012,9.04000840338809,0.071,60.8190441659,61.04,40.9511676887,41.44,3958.7179649356,3002.0523710074,0.0217239707,39746.4270417949,75.8339542649
Case 30,1.505390219312255,0.0118476032,8.78536027934899,0.069,40.0382962319,39.98,21.8613566161,22.25,1918.128653125,1003.7232683961,0.0115061282,111016.6872558318,52.3282558112
Case 31,1.5122287705449309,0.0119018328,3.69239779856697,0.029,39.5419246611,39.19,20.2475956398,20.64,1979.8252171196,1009.1514393868,0.0131905696,99468.4656474737,50.9717439025
Case 32,1.490336536246023,0.0117292954,3.69239779856697,0.029,39.4614160963,39.18,20.6180268256,21.07,1944.7430649346,994.5199818783,0.0161021873,81220.0517766712,51.1388882064
Case 33,1.5848446764743935,0.0124743473,3.31042561250832,0.026,40.368233916,40.31,21.1111969839,21.39,2027.0385661957,1056.5348079852,0.0164245058,78055.1705429736,52.1220871475
Case 34,1.4187098577030066,0.0111646555,4.20169404664517,0.033,38.6230289246,38.42,19.7965051838,20.25,1895.3724301309,947.6827970331,0.0129396134,103460.9131228081,49.9998196643
Case 35,1.3682332778937778,0.01076648,3.56507373654742,0.028,38.9141442842,38.85,21.7855416901,22.04,1775.381952594,913.2876937299,0.0112985589,115129.2365554801,51.4417583436
Case 36,4.4355879843334485,0.0349627682,8.78536027934899,0.069,60.0047837298,60.21,40.1854128643,40.75,3840.8857323672,2882.6160868457,0.0248693893,35110.9744671456,75.0508160801
Case 37,10.167307155262424,0.080136581,12.6050821399355,0.099,79.5528450663,79.39,63.0091025313,63.19,7094.5163460432,6403.5983260693,0.0460330477,15459.96697575,90.2612385923
Case 38,10.975648539614983,0.0865506885,15.5335355663852,0.122,79.4867461481,80.4,60.9759492475,61.49,7708.5276841688,6920.879839869,0.0524626788,13639.3989164228,89.7821234278
Case 39,11.209990064763245,0.0884102984,11.4591655817596,0.09,79.7487387172,80.35,60.944719826,61.13,7865.2771295134,7066.8867564811,0.0634235194,11271.1227680905,89.8491768327
Case 40,11.164385464079134,0.0880413708,15.1515633803265,0.119,79.7607589044,79.57,61.1320228102,61.42,7827.9166832802,7037.2393262907,0.052920763,13500.0512445357,89.8992619751
Case 41,11.526542487560018,0.0909040184,11.4591655817596,0.09,80.1991882209,79.98,61.2337652594,61.16,8063.9625931744,7261.7360411345,0.0535287873,13318.4538629492,90.0517079194
Case 42,10.755524054592113,0.0848021778,16.424804000522,0.129,79.4819905738,79.98,61.3002003926,61.85,7547.1430473115,6781.1500516748,0.0446286701,16022.3021236617,89.8505568155
