Case,Permeate flux (L/m²h),Distillate flow rate (L/h),Exp. permeate flux (L/m²h),Exp. distillate flow rate (L/h),Hot feedwater outlet temperature (°C),Exp. hot feedwater outlet temperature (°C),Cold feedwater outlet temperature (°C),Exp. cold feedwater outlet temperature (°C),Heat flux (W/m²),Vapor heat flux (W/m²),GOR,STECth,Thermal efficiency (%)
Case 1,4.32883413566096,0.0341165473,31.8310155048877,0.25,60.1149416794,60.66,41.4053217582,41.54,3716.0000048708,2811.3858062172,0.0308393186,28082.134596373,75.6562379583
Case 2,2.55059105103193,0.0200886735,5.85690685289933,0.046,49.6885130265,49.64,31.0012512782,31.42,2608.2670881138,1680.3121440475,0.0179443355,57274.111499407,64.4225490443
Case 3,2.7686859996994646,0.0218102302,5.98423091491888,0.047,50.7539623188,50.78,31.1457975789,31.56,2794.448567371,1821.9880169134,0.0183247704,55358.6717208895,65.2002702139
Case 4,1.4833058483282267,0.0116734099,4.45634217068427,0.035,40.0526916037,39.91,22.3669829945,22.71,1878.2966497931,988.864660198,0.0115795928,109642.1584614718,52.6468840961
Case 5,4.31115804912848,0.0339765528,8.91268434136855,0.07,59.9160491156,60.04,40.9141194046,41.34,3717.8379399729,2801.0795357341,0.0213301675,40780.6280981291,75.3416254544
Case 6,1.555897266473646,0.0122461094,4.71099029472337,0.037,39.9162680829,39.82,20.3332410811,20.74,2022.8984860426,1037.8951873534,0.0132798567,98117.9515525531,51.3073292859
Case 7,1.568378537584113,0.0123446536,3.56507373654742,0.028,39.9156227985,39.75,20.1337619751,20.52,2043.8736421985,1046.2487107934,0.0161226514,81001.9716504435,51.1895006224
Case 8,4.163979959846135,0.0328161561,34.8867929933569,0.274,59.263453838,59.41,40.3367075716,40.99,3624.1806013975,2707.9515953701,0.0245706759,35721.2059601436,74.7190025333
Case 9,2.6872046080320255,0.021167302,6.36620310097753,0.05,50.0850827759,50.17,30.3246905205,30.71,2750.6953653942,1769.9654943023,0.0151949815,67691.7080193456,64.3461110441
Case 10,2.6128582771390723,0.0205802442,5.60225872886023,0.044,49.9860143391,49.53,31.0936976469,31.62,2659.8627176925,1720.7174631397,0.0219481001,46616.119477911,64.691965179
Case 11,3.3963461797635848,0.0267605795,7.38479559713394,0.058,55.0654342969,55.05,35.9645094976,36.45,3158.8297051114,2221.7767223493,0.0212472123,44068.2766093737,70.3354384301
Case 12,1.8443153474534946,0.0145192162,5.85690685289933,0.046,43.6525559618,43.54,25.2171354,25.66,2148.04091582,1224.3303971122,0.0127109374,91934.2149337787,56.9975361314
Case 13,4.444975388527118,0.0350343732,7.38479559713394,0.058,60.4302832359,60.57,41.3700014158,41.72,3806.9703935327,2885.937800828,0.0310128074,27861.0810306884,75.8066783427
Case 14,2.644260526009334,0.0208280485,5.85690685289933,0.046,50.137739861,49.78,31.0220205399,31.42,2690.0101089666,1741.2369554658,0.0180931198,56508.9089788826,64.7297550913
Case 15,3.355294855294599,0.0264362588,6.11155497693843,0.048,54.9619679126,55.18,36.1879686484,36.58,3117.4240429303,2194.8779475678,0.0258473976,36190.5439609683,70.4067819245
Case 16,2.0464037316051917,0.016113453,5.47493466684068,0.043,44.9643715843,44.91,25.3152281447,25.78,2339.2027823223,1356.7159406935,0.0153104522,74912.6109326949,57.9990734855
Case 17,3.3794794420685608,0.0266266047,7.89409184521214,0.062,55.0209342505,54.74,36.0190190156,36.37,3142.0487128223,2210.7386265995,0.0180422473,51879.8498986623,70.3597820612
Case 18,2.0801262963775273,0.0163795554,5.34761060482113,0.042,45.2546733521,45.17,25.684849227,26.14,2359.4958244651,1378.5135966429,0.0188114406,60508.0202994998,58.4240744293
