Case,Permeate flux (L/m²h),Distillate flow rate (L/h),Exp. permeate flux (L/m²h),Exp. distillate flow rate (L/h),Hot feedwater outlet temperature (°C),Exp. hot feedwater outlet temperature (°C),Cold feedwater outlet temperature (°C),Exp. cold feedwater outlet temperature (°C),Heat flux (W/m²),Vapor heat flux (W/m²),GOR,STECth,Thermal efficiency (%)
Case 1,6.260124038770489,0.0493245213,31.8310155048877,0.25,59.8379987792,60.66,41.6823815971,41.54,5445.3845022378,4069.3612763713,0.0458494616,19146.2424351087,74.7304671451
Case 2,3.8805877229142896,0.0305589641,5.85690685289933,0.046,49.5030897011,49.64,31.1865501152,31.42,4024.5180609317,2558.1591080458,0.0279602095,37285.090945952,63.5643589944
Case 3,4.201308452053165,0.0330899986,5.98423091491888,0.047,50.5565807357,50.78,31.3430532806,31.56,4301.3123505717,2766.6579049681,0.0284875403,36128.8594736793,64.3212508062
Case 4,2.3197853549674,0.0182547262,4.45634217068427,0.035,39.9310869454,39.91,22.4884002602,22.71,2980.0900193713,1547.2718108997,0.0184977043,69638.3915672497,51.9203044486
Case 5,6.355489060203058,0.0500746637,8.91268434136855,0.07,59.7122997425,60.04,41.1179490189,41.34,5547.7390144894,4132.4110943905,0.0321663806,27381.2440512808,74.4882029165
Case 6,2.425551052595111,0.0190892,4.71099029472337,0.037,39.762479826,39.82,20.486749097,20.74,3202.507270099,1618.9398316782,0.0211877432,62458.7836408411,50.5522609361
Case 7,2.426892745909758,0.019100284,3.56507373654742,0.028,39.7296384097,39.75,20.3194025062,20.52,3215.7569988735,1620.0155585034,0.025603413,51869.7827741157,50.3774246335
Case 8,6.121801891853316,0.0482333974,34.8867929933569,0.274,59.030476498,59.41,40.56976085,40.99,5395.9502308535,3984.3083408659,0.0370273074,24012.7616271309,73.838863785
Case 9,4.104842715471597,0.0323286803,6.36620310097753,0.05,49.917682874,50.17,30.4919688475,30.71,4260.8230282683,2705.4416007477,0.0237349454,43953.1320413642,63.4957514733
Case 10,3.933192043916682,0.0309747952,5.60225872886023,0.044,49.7621624823,49.53,31.3174024626,31.62,4064.1823013432,2592.1657264483,0.0339290343,30615.1449049107,63.7807444216
Case 11,5.077442209142012,0.0399978823,7.38479559713394,0.058,54.8518832727,55.05,36.1780324309,36.45,4785.9805653234,3323.9177936155,0.0325480379,29162.5904435715,69.4511343757
Case 12,2.86288091430625,0.0225351953,5.85690685289933,0.046,43.5161141887,43.54,25.3534033424,25.66,3382.367215643,1901.5177135504,0.0201622394,58801.1662868266,56.2185473167
Case 13,6.421021480892514,0.0505955589,7.38479559713394,0.058,60.1474120768,60.57,41.6529985076,41.72,5573.1077506802,4172.7705510201,0.0460628824,19015.8768837292,74.8733155305
Case 14,4.018780371877049,0.0316495218,5.85690685289933,0.046,49.9469949644,49.78,31.2126392588,31.42,4146.61211773,2648.11576771,0.0281661608,36824.7335203191,63.8621528256
Case 15,4.96108848287212,0.0390800566,6.11155497693843,0.048,54.7131652596,55.18,36.4367407405,36.58,4674.7720934459,3247.9676368592,0.0392666823,24166.849833154,69.4786306569
Case 16,3.154070192769254,0.024832074,5.47493466684068,0.043,44.79188208,44.91,25.4874971078,25.78,3659.3967688041,2092.3628597419,0.0241600367,48192.0464552632,57.177808036
Case 17,5.077691950332798,0.0399980983,7.89409184521214,0.062,54.838708836,54.74,36.2012206527,36.37,4782.2948238491,3323.8963402648,0.0277218884,34212.3708874131,69.5042121554
Case 18,3.1769033018002113,0.0250127384,5.34761060482113,0.042,45.0475758579,45.17,25.8916909097,26.14,3661.4196280533,2106.8437542697,0.029497318,39213.8139897068,57.5417179208
Case 19,3.1840862947974227,0.0250695231,4.07436998462562,0.032,45.0149853378,45.26,25.7242665137,25.83,3677.7525377251,2111.7787114148,0.0294234857,39396.7969702612,57.4203590305
Case 20,5.464836635303454,0.0430575372,8.78536027934899,0.069,55.3966779997,55.33,35.1932244351,35.56,5159.241275508,3576.8187462351,0.027600501,34434.2958255796,69.3283867768
Case 21,6.189845748393218,0.0487677298,6.87549934905573,0.054,59.9211572955,59.84,42.1992358346,42.22,5363.0469441666,4022.4228878271,0.0462435209,18912.0883163836,75.0025671918
Case 22,7.053294886341122,0.0555913697,9.16733246540765,0.072,60.9957233151,60.72,40.8446787322,41.0,6110.8511509915,4581.3596612384,0.0384017144,22762.5700506876,74.970892729
Case 23,6.1497037327362225,0.0484502097,8.53071215530989,0.067,59.1991311403,59.53,40.8910830091,41.17,5397.861646305,4000.9838421808,0.0317905394,27855.4491626882,74.1216449095
Case 24,2.26519150544897,0.0178256946,3.43774967452787,0.027,38.6516135724,38.67,19.6474417221,19.8,3078.706868434,1513.8554763791,0.0250380124,54397.3831758547,49.1717965065
Case 25,2.1804314451358104,0.0171571793,3.43774967452787,0.027,38.3038942496,38.31,20.0053899717,20.18,2963.3884538975,1457.5072801073,0.0206506305,65956.7984547179,49.1838077519
Case 26,2.3396016823304744,0.0184110837,4.32901810866472,0.034,39.8255936547,39.83,21.9538613568,22.22,3029.9887347401,1560.8634559609,0.0183573294,70733.0790915245,51.5138369349
Case 27,6.6924924245410224,0.0527386554,7.76676778319259,0.061,60.5066606328,60.39,41.3637030393,41.47,5801.2093776064,4348.051766025,0.0383661764,22799.0850014809,74.9507815182
Case 28,6.575027060428112,0.0518118556,8.02141590723169,0.063,60.4887534258,60.96,41.7416936343,41.97,5688.6788037675,4271.2871858826,0.0463777995,18827.8144241009,75.083992843
Case 29,6.797897774094507,0.0535690326,9.04000840338809,0.071,60.6038156089,61.04,41.1664962333,41.44,5890.8983243413,4416.175369741,0.0326733955,26762.6443066846,74.9660769308
Case 30,2.354850703138481,0.0185312721,8.78536027934899,0.069,39.9139777718,39.98,21.9854749175,22.25,3044.5152675074,1570.8926903306,0.0183871035,70498.2029970226,51.5974646965
Case 31,2.3590377266298064,0.0185648875,3.69239779856697,0.029,39.3911978775,39.19,20.3980480746,20.64,3136.1353212282,1575.1309932795,0.0210566518,63278.8782183935,50.2252241036
Case 32,2.3077988397192395,0.0181613347,3.69239779856697,0.029,39.284328468,39.18,20.794802812,21.07,3060.7873578839,1540.9804640624,0.0255791794,51971.8312719014,50.3458843717
Case 33,2.449546896979811,0.0192786535,3.31042561250832,0.026,40.1844769303,40.31,21.2946372923,21.39,3184.6677253249,1634.0383318333,0.0260487095,50033.7560420794,51.3095391032
Case 34,2.2168548249948894,0.017444258,4.20169404664517,0.033,38.4781762999,38.42,19.94109013,20.25,3007.0495734104,1481.6341407952,0.0206859314,65715.9008487549,49.2720224467
Case 35,2.1441985146192994,0.0168710494,3.56507373654742,0.028,38.7986552955,38.85,21.9008488151,22.04,2822.2671916328,1431.9087936588,0.0180813934,72983.0890799578,50.7361173281
Case 36,6.506546158625173,0.0512729865,8.78536027934899,0.069,59.7593056514,60.21,40.4309828376,40.75,5707.0683048953,4232.0106521962,0.0374045956,23654.0953775485,74.1538461799
Case 37,13.238353008313704,0.1042934103,12.6050821399355,0.099,79.3029851282,79.39,63.2595358457,63.19,9317.9962231816,8346.127356646,0.0613450281,11708.6029151663,89.5699800337
Case 38,14.145381176322003,0.1114930052,15.5335355663852,0.122,79.1777835002,80.4,61.2856698932,61.49,10035.7541694915,8931.1102095775,0.0694002184,10421.4017270018,88.992915318
Case 39,14.26213043051741,0.1124280278,11.4591655817596,0.09,79.3854226062,80.35,61.3089433692,61.13,10112.7536153361,9003.6028191044,0.0830512919,8703.6557895261,89.0321584168
Case 40,14.358666238122689,0.1131766306,15.1515633803265,0.119,79.4497679882,79.57,61.4437886426,61.42,10170.1005427754,9062.491781734,0.0698610391,10336.5524174402,89.1091660659
Case 41,14.779553625451193,0.1165015565,11.4591655817596,0.09,79.8828585115,79.98,61.5509066739,61.16,10445.8235629321,9323.5780732695,0.0704532496,10228.8470013402,89.2565149804
Case 42,14.067393529766884,0.1108593781,16.424804000522,0.129,79.2106071782,79.98,61.572243449,61.85,9962.1520862907,8878.7675016222,0.0597626245,12082.2921371926,89.1249945264
