Case,Permeate flux (L/m²h),Distillate flow rate (L/h),Exp. permeate flux (L/m²h),Exp. distillate flow rate (L/h),Hot feedwater outlet temperature (°C),Exp. hot feedwater outlet temperature (°C),Cold feedwater outlet temperature (°C),Exp. cold feedwater outlet temperature (°C),Heat flux (W/m²),Vapor heat flux (W/m²),GOR,STECth,Thermal efficiency (%)
Case 1,5.9584324806850075,0.0469494253,31.8310155048877,0.25,59.8817736915,60.66,41.6385884403,41.54,5172.0322220854,3872.7486872197,0.0434478958,20160.8995649148,74.8786651151
Case 2,3.667448076926331,0.0288812868,5.85690685289933,0.046,49.5332063149,49.64,31.1564535537,31.42,3794.4896857774,2417.4047065817,0.0263200429,39513.7375939226,63.7082956278
Case 3,3.9721582785486893,0.0312860684,5.98423091491888,0.047,50.5885846831,50.78,31.311069573,31.56,4056.9861317445,2615.4715391497,0.0268259737,38273.5997119788,64.4683381756
Case 4,2.182758505343011,0.017176706,4.45634217068427,0.035,39.9512681631,39.91,22.4682499634,22.71,2797.2386835575,1455.7601845575,0.017343049,74092.6889212909,52.042758922
Case 5,6.035846947258822,0.0475582619,8.91268434136855,0.07,59.7445539817,60.04,41.0856821961,41.34,5258.061154764,3924.1266502033,0.0304356917,28878.2351451218,74.6306772535
Case 6,2.2834313577125993,0.0179709905,4.71099029472337,0.037,39.7879609617,39.82,20.4613140899,20.74,3007.0577210169,1523.9402142915,0.0198689663,66430.6737350403,50.6787815758
Case 7,2.286440872191663,0.0179951629,3.56507373654742,0.028,39.7604734239,39.75,20.2886240533,20.52,3021.4657053154,1526.1059378424,0.0240193469,55140.1061844174,50.5087956205
Case 8,5.81633176921038,0.0458284833,34.8867929933569,0.274,59.0672986995,59.41,40.5329267762,40.99,5115.923014731,3785.0384606677,0.0350384343,25321.2030250376,73.9854460235
Case 9,3.876885365516969,0.0305342013,6.36620310097753,0.05,49.9449578141,50.17,30.4647135764,30.71,4014.7739887918,2554.9379968903,0.022333725,46599.7571929049,63.638401664
Case 10,3.7213745063817525,0.0293074789,5.60225872886023,0.044,49.798532898,49.53,31.2810557012,31.62,3836.0153491159,2452.2950169717,0.0319633586,32418.2452808994,63.9281857289
Case 11,4.8117090872383255,0.0379058527,7.38479559713394,0.058,54.8860883738,55.05,36.1438317897,36.45,4525.3561089828,3149.5978930316,0.0307211714,30826.3814304399,69.5988960246
Case 12,2.6970158392673906,0.0212299965,5.85690685289933,0.046,43.5386260645,43.54,25.3309199703,25.66,3178.712375697,1791.1946305575,0.0189252866,62491.7213068688,56.3496919146
Case 13,6.112491769722637,0.0481665213,7.38479559713394,0.058,60.1921034498,60.57,41.6082874964,41.72,5294.0748478674,3971.7456810245,0.0436559628,20020.6945250937,75.0224693673
Case 14,3.798674188489171,0.0299169088,5.85690685289933,0.046,49.9779549465,49.78,31.1816995865,31.42,3910.1900626921,2502.8154546036,0.0265176731,39019.7202427138,64.0075140716
Case 15,4.706588864767209,0.0370765503,6.11155497693843,0.048,54.7530843988,55.18,36.3968264538,36.58,4424.9046424027,3080.9821097276,0.0370900457,25525.986587332,69.628214814
Case 16,2.9747036889290643,0.0234204188,5.47493466684068,0.043,44.8201992947,44.91,25.4592158333,25.78,3442.6633352011,1973.1777784776,0.0226966531,51169.6485378663,57.3154440721
Case 17,4.808200866452166,0.0378765815,7.89409184521214,0.062,54.8679957892,54.74,36.1719374922,36.37,4518.6782725603,3147.1518484547,0.0261538067,36183.6205633342,69.6476194724
Case 18,2.9991377996099753,0.0236136375,5.34761060482113,0.042,45.0815854768,45.17,25.8577229283,26.14,3447.6171233094,1988.7407334797,0.0277271258,41608.5032215087,57.6845009857
Case 19,3.00584394572762,0.0236666556,4.07436998462562,0.032,45.049165494,45.26,25.690128869,25.83,3462.8751534716,1993.3480602333,0.0276568492,41803.5628362921,57.5633822154
Case 20,5.175221737387879,0.0407771679,8.78536027934899,0.069,55.4282779944,55.33,35.161629687,35.56,4874.8815015349,3386.871641206,0.026039655,36415.0070501043,69.4759788549
