Case,Permeate flux (L/m²h),Distillate flow rate (L/h),Exp. permeate flux (L/m²h),Exp. distillate flow rate (L/h),Hot feedwater outlet temperature (°C),Exp. hot feedwater outlet temperature (°C),Cold feedwater outlet temperature (°C),Exp. cold feedwater outlet temperature (°C),Heat flux (W/m²),Vapor heat flux (W/m²),GOR,STECth,Thermal efficiency (%)
Case 1,4.831713046399922,0.0380773161,31.8310155048877,0.25,60.0438200358,60.66,41.4764737761,41.54,4160.1263862521,3138.644124875,0.0346528423,25068.7535117574,75.4458839339
Case 2,2.8786614133896777,0.0226717151,5.85690685289933,0.046,49.6433012074,49.64,31.0464325166,31.42,2953.5923649106,1896.7492512607,0.02036848,50628.6398650145,64.2183828004
Case 3,3.122683514254233,0.0245978213,5.98423091491888,0.047,50.7057584421,50.78,31.193970481,31.56,3162.4504989847,2055.297406995,0.0207881177,48967.0927286794,64.9906585939
Case 4,1.6855964847589588,0.0132651252,4.45634217068427,0.035,40.0236193485,39.91,22.3960102151,22.71,2141.7040140303,1123.8586897764,0.0132249555,96329.7046511554,52.474977047
Case 5,4.8266525066480845,0.0380366959,8.91268434136855,0.07,59.8652026799,60.04,40.9649860318,41.34,4174.4994142383,3136.6107744286,0.0240130456,36332.6007761048,75.137410817
Case 6,1.7666730574516547,0.013904777,4.71099029472337,0.037,39.8794466422,39.82,20.3699950229,20.74,2305.3309594512,1178.6621471774,0.0151620643,86253.9910309148,51.1276761519
Case 7,1.7739753405996264,0.0139626091,3.56507373654742,0.028,39.8714970828,39.75,20.1778055226,20.52,2321.9080086065,1183.6193142896,0.0183561124,71459.0894919416,50.9761502136
Case 8,4.658585415017024,0.03671182,34.8867929933569,0.274,59.2052290286,59.41,40.394951542,40.99,4066.977321582,3030.2201461041,0.0276556831,31835.2525991408,74.507918449
Case 9,3.035840967094195,0.0239125695,6.36620310097753,0.05,50.0443815138,50.17,30.3653620348,30.71,3117.8651058789,1999.918523209,0.0172582402,59799.3686181612,64.1438437936
Case 10,2.9454322978918692,0.0231988398,5.60225872886023,0.044,49.9304432018,49.53,31.1492319574,31.62,3008.4850776393,1940.0645809926,0.0248963897,41235.780554985,64.486428582
