Case,Permeate flux (L/m²h),Distillate flow rate (L/h),Exp. permeate flux (L/m²h),Exp. distillate flow rate (L/h),Hot feedwater outlet temperature (°C),Exp. hot feedwater outlet temperature (°C),Cold feedwater outlet temperature (°C),Exp. cold feedwater outlet temperature (°C),Heat flux (W/m²),Vapor heat flux (W/m²),GOR,STECth,Thermal efficiency (%)
Case 1,4.651180430761285,0.0366554726,31.8310155048877,0.25,60.0694044446,60.66,41.4508784682,41.54,4000.3622105539,3021.1461216893,0.0332777712,26075.6471146034,75.5218143427
Case 2,2.7602144056488576,0.0217391545,5.85690685289933,0.046,49.6596615188,49.64,31.0300832543,31.42,2828.633278659,1818.5989639071,0.0194899497,52845.8172042669,64.2924969323
Case 3,2.994923049393448,0.0235917864,5.98423091491888,0.047,50.723195593,50.78,31.1765445175,31.56,3029.3304409684,1971.0856005646,0.0198956586,51099.7086048143,65.0667082702
Case 4,1.6122628589445978,0.0126881111,4.45634217068427,0.035,40.0341819822,39.91,22.3854639265,22.71,2046.0018939314,1074.9176429987,0.0126265378,100769.8062369905,52.5374705755
Case 5,4.641407470913234,0.036577733,8.91268434136855,0.07,59.8835120246,60.04,40.9466694291,41.34,4010.0599244848,3016.0229605562,0.0230453445,37817.3554220795,75.2114187157
Case 6,1.690297981724405,0.0133037641,4.71099029472337,0.037,39.8928206553,39.82,20.3566454971,20.74,2202.7478666909,1127.6506224131,0.0144776145,90211.2424624535,51.1929049831
Case 7,1.7031434290873317,0.0134052028,3.56507373654742,0.028,39.88691394,39.75,20.1624173323,20.52,2224.7669559119,1136.2554190582,0.0175746597,74487.4279800486,51.0730086151
Case 8,4.4809188925856205,0.0353125246,34.8867929933569,0.274,59.226188625,59.41,40.3739850622,40.99,3907.5808714004,2914.4449465227,0.0265430155,33132.463456073,74.5843795033
Case 9,2.9098908055545096,0.0229208275,6.36620310097753,0.05,50.0591182313,50.17,30.3506360741,30.71,2984.9238881327,1916.8366555669,0.0165102282,62432.4966990419,64.2172707716
Case 10,2.825378345372011,0.0222535944,5.60225872886023,0.044,49.9505473994,49.53,31.1291410582,31.62,2882.3625848797,1860.876405183,0.0238278139,43032.0029208104,64.5608021331
Case 11,3.664977619442444,0.0288762426,7.38479559713394,0.058,55.0317327345,55.05,35.9982065878,36.45,3415.6196916412,2397.791386664,0.0230141973,40769.3154177114,70.2007718404
Case 12,2.0022909593465186,0.0157625933,5.85690685289933,0.046,43.6316633418,43.54,25.2380012356,25.66,2337.0467057016,1329.3133917966,0.0138448516,84587.9127855307,56.880052442
Case 13,4.775105343720735,0.03763475,7.38479559713394,0.058,60.3837328535,60.57,41.4165727889,41.72,4097.6155757002,3100.7089423293,0.0334596971,25874.9047110838,75.671055155
Case 14,2.8610711337096015,0.0225352335,5.85690685289933,0.046,50.1080394785,49.78,31.051701111,31.42,2916.8141152346,1884.207044785,0.0196485787,52148.6513411177,64.5981187126
Case 15,3.6179959471559746,0.0285051244,6.11155497693843,0.048,54.9218848467,55.18,36.2280467398,36.58,3368.320064764,2367.0103691942,0.0279858459,33494.3623944809,70.2727271661
Case 16,2.219173061395132,0.0174735066,5.47493466684068,0.043,44.9378233084,44.91,25.3417422246,25.78,2542.3968845022,1471.4013789668,0.0166625437,68990.2370588647,57.8745744984
Case 17,3.649785988423499,0.0287553724,7.89409184521214,0.062,54.9922756197,54.74,36.0476738787,36.37,3400.011528435,2387.8259872897,0.0195524742,47968.3217731958,70.229937967
Case 18,2.2543558001539856,0.0177511466,5.34761060482113,0.042,45.2223102665,45.17,25.7171719797,26.14,2562.9470684999,1494.129044214,0.0204666753,55742.4731055102,58.2973040129
Case 19,2.2591716862262765,0.0177892292,4.07436998462562,0.032,45.1905716585,45.26,25.5489001608,25.83,2573.9100877819,1497.4371192647,0.0204120939,56008.5348343397,58.177522454
Case 20,3.930166093650715,0.03097178,8.78536027934899,0.069,55.5623421272,55.33,35.0275879835,35.56,3668.4696583918,2570.772790582,0.0194700589,48251.168503829,70.0775263249
Case 21,4.602297936058541,0.0362678914,6.87549934905573,0.054,60.1485063793,59.84,41.9717862967,42.22,3943.3999329164,2988.5060969879,0.0335913508,25740.0500742997,75.78501161
Case 22,5.191997375033815,0.0409312733,9.16733246540765,0.072,61.2144326419,60.72,40.6258632022,41.0,4449.1506590349,3369.9014459082,0.027670427,31236.4390173818,75.7425788463
Case 23,4.484203427581357,0.0353363684,8.53071215530989,0.067,59.3663404232,59.53,40.7238155379,41.17,3895.7732681327,2915.6449307311,0.0227428929,38529.3266335704,74.8412376711
Case 24,1.5866819481391397,0.0124871098,3.43774967452787,0.027,38.8027228001,38.67,19.4966197695,19.8,2126.1323617506,1059.8249329742,0.0171581797,78253.4804970825,49.8475519229
Case 25,1.5161653150409287,0.011931106,3.43774967452787,0.027,38.4249467551,38.31,19.8845587166,20.18,2034.2963791353,1013.0246033367,0.0140850011,95459.5199540125,49.7972966834
Case 26,1.6255080493742866,0.0127926346,4.32901810866472,0.034,39.9305169202,39.83,21.8491069467,22.22,2079.2959831753,1083.9985825375,0.0125253855,102383.2015050045,52.1329618923
Case 27,4.9219181330746,0.0387950641,7.76676778319259,0.061,60.7145995409,60.39,41.1556678916,41.47,4220.9558519417,3195.4970149626,0.0276265607,31315.762905821,75.7055303834
Case 28,4.895173666315076,0.0385833152,8.02141590723169,0.063,60.7292864075,60.96,41.501046761,41.97,4187.1344501507,3177.4629585165,0.0337235222,25591.0362797887,75.8863369769
Case 29,4.9765151117581015,0.0392255044,9.04000840338809,0.071,60.7846092167,61.04,40.9856187857,41.44,4267.8545548216,3230.8127939291,0.023460184,36876.2732287199,75.7010988174
Case 30,1.636317804334634,0.012877844,8.78536027934899,0.069,40.0193803303,39.98,21.8802418856,22.25,2089.5157198961,1091.10515686,0.0125471108,102030.5514983825,52.2180879747
Case 31,1.6430322759746907,0.0129311347,3.69239779856697,0.029,39.5189541013,39.19,20.2705241123,20.64,2156.0448738518,1096.5359815285,0.0143815119,91443.7534253797,50.8586808571
Case 32,1.6185709694057406,0.0127383628,3.69239779856697,0.029,39.434087806,39.18,20.64530664,21.07,2116.9712979005,1080.1883832527,0.0175532368,74679.9003768656,51.0251784861
Case 33,1.7207225839837077,0.0135436557,3.31042561250832,0.026,40.339832031,40.31,21.1395495268,21.39,2205.963787079,1147.2232665065,0.0179002294,71788.6110791236,52.0055348699
Case 34,1.541834224979869,0.012133441,4.20169404664517,0.033,38.6009802595,38.42,19.8185128384,20.25,2064.5853012084,1030.0151984085,0.0141111183,95090.5084609577,49.8896896052
Case 35,1.4876675698685085,0.0117061488,3.56507373654742,0.028,38.8965920899,38.85,21.8030660865,22.04,1934.4888415044,993.0816643563,0.0123235934,105780.7351311461,51.3356108885
Case 36,4.771331495826209,0.0376076198,8.78536027934899,0.069,59.9654680399,60.21,40.2247434316,40.75,4139.7752974068,3101.2372768965,0.0268566323,32578.8465777484,74.9131789554
Case 37,10.709769182205106,0.0844053597,12.6050821399355,0.099,79.5091326626,79.39,63.0529165227,63.19,7483.5164960222,6746.4962506172,0.0486799341,14641.2346224114,90.1514181762
Case 38,11.460769369329117,0.0903696625,15.5335355663852,0.122,79.4393141591,80.4,61.0234992876,61.49,8065.8126918242,7229.1768811108,0.0550280583,13031.4329404561,89.627383592
Case 39,11.780916608950502,0.0929049623,11.4591655817596,0.09,79.6818239838,80.35,61.0118043922,61.13,8279.2239810912,7428.5095691323,0.0669850061,10690.2558643038,89.7247083313
Case 40,11.652380401220517,0.0918829503,15.1515633803265,0.119,79.7130863542,79.57,61.1798158681,61.42,8186.9647673538,7347.305090784,0.0554827523,12904.4131668355,89.7439441792
Case 41,12.021831624700004,0.0948030723,11.4591655817596,0.09,80.1508320749,79.98,61.2822472827,61.16,8428.0782875919,7576.3843077772,0.0560813064,12740.0190442224,89.8945649203
Case 42,11.337800161445855,0.0893854745,16.424804000522,0.129,79.4347446708,79.98,61.3475625842,61.85,7967.5877368509,7149.6798269615,0.0472322934,15163.1783390362,89.73456036
