Case,Permeate flux (L/m²h),Distillate flow rate (L/h),Exp. permeate flux (L/m²h),Exp. distillate flow rate (L/h),Hot feedwater outlet temperature (°C),Exp. hot feedwater outlet temperature (°C),Cold feedwater outlet temperature (°C),Exp. cold feedwater outlet temperature (°C),Heat flux (W/m²),Vapor heat flux (W/m²),GOR,STECth,Thermal efficiency (%)
Case 1,7.384711675135198,0.0581759384,31.8310155048877,0.25,59.6725311184,60.66,41.8479174103,41.54,6478.6384309887,4802.7001640099,0.0550279453,16092.586337991,74.1313196464
Case 2,4.701210280902946,0.037017363,5.85690685289933,0.046,49.3854756796,49.64,31.3040864481,31.42,4922.8437727555,3100.3596774936,0.0344160385,30588.6196067942,62.9790385519
Case 3,5.082095649641041,0.04002271,5.98423091491888,0.047,50.4317866341,50.78,31.467769093,31.56,5254.0203336981,3348.0850583161,0.0350182103,29682.9337094494,63.7242501108
Case 4,2.858469127743645,0.0224923078,4.45634217068427,0.035,39.8506471682,39.91,22.568717496,22.71,3708.9136692597,1907.1688511739,0.0231261796,56263.4911909061,51.4212252224
Case 5,7.559079486985204,0.0595478086,8.91268434136855,0.07,59.5892441047,60.04,41.2410522552,41.34,6652.9048985351,4917.1147898644,0.0388229574,22878.4510255367,73.9092902252
Case 6,2.9830045842023787,0.023474907,4.71099029472337,0.037,39.6610713577,39.82,20.587975183,20.74,3980.3488990536,1991.7421957989,0.0264701159,50529.3598760843,50.0393871571
Case 7,2.9757757240151888,0.0234187052,3.56507373654742,0.028,39.6072941682,39.75,20.4415240842,20.52,3986.6498356767,1987.1988286554,0.0319371231,42046.1471633585,49.8463349069
Case 8,7.269880961838489,0.0572700391,34.8867929933569,0.274,58.8901862092,59.41,40.7100959254,40.99,6462.8296667395,4733.6727638454,0.044675275,20076.4103896758,73.2445849255
Case 9,4.985382680644882,0.0392592196,6.36620310097753,0.05,49.8108466235,50.17,30.5987285776,30.71,5224.5986749945,3287.087735544,0.0292607135,36000.4378785237,62.9156025185
Case 10,4.744352843292822,0.0373588749,5.60225872886023,0.044,49.6208234738,49.53,31.4586504183,31.62,4950.8600352462,3128.0954462499,0.0416394378,25196.3094062849,63.1828697232
Case 11,6.087837181547134,0.0479509063,7.38479559713394,0.058,54.7199967043,55.05,36.3099019443,36.45,5790.8812412636,3987.0967676168,0.0396529889,24160.2290731906,68.8512957096
Case 12,3.5112144950647863,0.0276364123,5.85690685289933,0.046,43.4268854591,43.54,25.4425197823,25.66,4189.5802847342,2332.9355653663,0.0250947458,47717.5148551029,55.6842310402
Case 13,7.570495848957073,0.0596432093,7.38479559713394,0.058,59.9785595984,60.57,41.8219243088,41.72,6627.3381267343,4922.1828055924,0.0552576697,15991.3468048417,74.2708869152
Case 14,4.865655850621338,0.0383148891,5.85690685289933,0.046,49.8261597095,49.78,31.333395877,31.42,5069.3541633539,3207.459251368,0.0346510816,30228.6949237655,63.2715558632
Case 15,5.923712921086496,0.0466567517,6.11155497693843,0.048,54.559996113,55.18,36.5898914493,36.58,5633.5054619146,3879.9390517845,0.0477038195,20080.0233140539,68.8725532977
Case 16,3.851466110439876,0.0303200851,5.47493466684068,0.043,44.6801766041,44.91,25.5990618245,25.78,4514.3653350156,2555.9954982743,0.0299738486,39247.1842708913,56.6191548222
Case 17,6.106006129809873,0.0480917676,7.89409184521214,0.062,54.725440499,54.74,36.3144744248,36.37,5801.8377996141,3998.6549748912,0.0338318465,28287.1083818211,68.9204888692
Case 18,3.8648765529910323,0.0304267819,5.34761060482113,0.042,44.9139593902,45.17,26.0251452085,26.14,4501.4042199518,2564.1595473146,0.0365114557,32018.8835752552,56.9635478624
Case 19,3.8740042488229944,0.030498923,4.07436998462562,0.032,44.8806747325,45.26,25.8584115135,25.83,4522.1118339763,2570.4306844267,0.0364246851,32165.448477333,56.8413780728
Case 20,6.569989883152194,0.05175753,8.78536027934899,0.069,55.2744227606,55.33,35.3154595199,35.56,6259.3786971516,4302.0463228304,0.0336841144,28478.380625424,68.7296060995
Case 21,7.297917774363399,0.0574886812,6.87549934905573,0.054,59.7588446557,59.84,42.3616186016,42.22,6376.5684425116,4744.7261127933,0.0554673557,15903.5827125018,74.4087694748
Case 22,8.34585392270149,0.0657671573,9.16733246540765,0.072,60.8400476473,60.72,41.000428573,41.0,7293.6187072118,5423.659536327,0.0461775625,19098.3689482802,74.3617092427
Case 23,7.321796901900025,0.0576751766,8.53071215530989,0.067,59.078689329,59.53,41.0115660631,41.17,6479.8132522376,4765.5527547729,0.0384073343,23251.6267416892,73.5446002727
Case 24,2.781153366406898,0.0218847605,3.43774967452787,0.027,38.5337698555,38.67,19.765064529,19.8,3821.5840433546,1859.3943281884,0.0312684245,44041.185338909,48.6550683459
Case 25,2.6858169401602785,0.0211327051,3.43774967452787,0.027,38.2094276086,38.31,20.0996859605,20.18,3688.4345864232,1795.9466258841,0.0258336718,53279.1107945809,48.691296641
Case 26,2.8836590509124513,0.0226910404,4.32901810866472,0.034,39.7436579246,39.83,22.0356665872,22.22,3772.3978031533,1924.4509489683,0.0229584913,57134.1196863951,51.0139982416
Case 27,7.922850124213639,0.062423617,7.76676778319259,0.061,60.3586088998,60.39,41.5118220055,41.47,6926.3279153198,5149.869289174,0.0461504311,19119.2017374025,74.3520860135
Case 28,7.746808638460036,0.0610353469,8.02141590723169,0.063,60.3170907352,60.96,41.9134358037,41.97,6760.2776281424,5035.0141918294,0.055599776,15843.6505749823,74.4793996458
Case 29,8.072748642033343,0.0636039603,9.04000840338809,0.071,60.474261177,61.04,41.2961097717,41.44,7053.9365336681,5246.7461375649,0.0393780371,22395.5614519566,74.3803989804
Case 30,2.902175036257757,0.0228369639,8.78536027934899,0.069,39.8316831873,39.98,22.0676385096,22.25,3790.1477369295,1936.6327028454,0.0229938118,56949.6012163075,51.0964964235
