Case,Permeate flux (L/m²h),Distillate flow rate (L/h),Exp. permeate flux (L/m²h),Exp. distillate flow rate (L/h),Hot feedwater outlet temperature (°C),Exp. hot feedwater outlet temperature (°C),Cold feedwater outlet temperature (°C),Exp. cold feedwater outlet temperature (°C),Heat flux (W/m²),Vapor heat flux (W/m²),GOR,STECth,Thermal efficiency (%)
Case 31,2.902371322464816,0.0228393496,3.69239779856697,0.029,39.2917265256,39.19,20.497340721,20.64,3899.2400039368,1938.6114987021,0.0263150859,51173.301803571,49.7176756687
Case 32,2.8307653279627893,0.022275521,3.69239779856697,0.029,39.1678160328,39.18,20.911113409,21.07,3795.0781999197,1890.8923940971,0.0319114671,42113.6455517346,49.8248598444
Case 33,3.0013151831835847,0.0236197414,3.31042561250832,0.026,40.0638631012,40.31,21.4150465547,21.39,3944.5128557139,2002.8893155612,0.0324655191,40585.0162250933,50.7765949516
Case 34,2.730260731245565,0.0214829691,4.20169404664517,0.033,38.3823627891,38.42,20.036728849,20.25,3742.3781740711,1825.402936903,0.0258752192,53092.4550780095,48.776549349
Case 35,2.6454726841368297,0.0208139921,3.56507373654742,0.028,38.7220413147,38.85,21.9773435032,22.04,3516.7609839615,1767.1957484798,0.0226314763,58894.8968799484,50.2506640781
Case 36,7.717882859977361,0.0608084946,8.78536027934899,0.069,59.611817825,60.21,40.5785247366,40.75,6828.2889432676,5022.2940651109,0.0450843795,19798.9924097977,73.551282127
Case 37,14.767435748901804,0.1163116295,12.6050821399355,0.099,79.1755916694,79.39,63.3872148363,63.19,10451.618001162,9314.5396388615,0.0693255091,10420.8388587943,89.1205518402
Case 38,15.773545809500147,0.1242943084,15.5335355663852,0.122,79.015510197,80.4,61.4483309386,61.49,11258.005126719,9964.6647770435,0.0785159061,9269.5374023995,88.5118159468
Case 39,15.817637667569233,0.1246584097,11.4591655817596,0.09,79.1960072186,80.35,61.4988175747,61.13,11284.416962089,9991.5332662385,0.0935737604,7774.6566839307,88.5427514758
Case 40,15.99720561646693,0.1260592878,15.1515633803265,0.119,79.2866552646,79.57,61.6072972176,61.42,11398.505256009,10102.3450000632,0.0789654176,9202.3652574438,88.6286822102
Case 41,16.445901990285158,0.1296026925,11.4591655817596,0.09,79.7171798981,79.98,61.7169993612,61.16,11693.2720924766,10380.7432637355,0.0795358283,9117.9552185325,88.775350318
Case 42,15.731707036753816,0.1239426949,16.424804000522,0.129,79.070917997,79.98,61.7122643352,61.85,11205.1814329175,9934.3236120412,0.0677244035,10726.7721555309,88.658302157
