Case,Permeate flux (L/m²h),Distillate flow rate (L/h),Exp. permeate flux (L/m²h),Exp. distillate flow rate (L/h),Hot feedwater outlet temperature (°C),Exp. hot feedwater outlet temperature (°C),Cold feedwater outlet temperature (°C),Exp. cold feedwater outlet temperature (°C),Heat flux (W/m²),Vapor heat flux (W/m²),GOR,STECth,Thermal efficiency (%)
Case 1,5.027290204385304,0.0396175644,31.8310155048877,0.25,60.016035206,60.66,41.5042704076,41.54,4333.6309323741,3265.95022436,0.0361503256,24059.4745871368,75.3629064248
Case 2,3.0078420657766465,0.0236887522,5.85690685289933,0.046,49.6254092939,49.64,31.0643123686,31.42,3090.2496965197,1981.991276456,0.0213309899,48409.4965516746,64.1369297338
Case 3,3.2619611322111575,0.0256945096,5.98423091491888,0.047,50.6866964019,50.78,31.2130203138,31.56,3307.9753497945,2147.1118169829,0.0217655287,46832.4317739601,64.9071286797
Case 4,1.7659638274141296,0.0138974719,4.45634217068427,0.035,40.0120122875,39.91,22.4075993371,22.71,2246.8691494186,1177.4985152531,0.0138833606,91887.0894158751,52.4061899892
Case 5,5.027575150306867,0.0396190484,8.91268434136855,0.07,59.8452944326,60.04,40.9849021545,41.34,4353.2986728265,3267.4211771013,0.0250673308,34845.7993911356,75.0562142105
Case 6,1.8503286162835788,0.0145630699,4.71099029472337,0.037,39.8647555456,39.82,20.3846592591,20.74,2418.0165781796,1234.5420294701,0.0159149847,82294.2214304715,51.0559787146
Case 7,1.8571245865436796,0.0146169364,3.56507373654742,0.028,39.8536348677,39.75,20.1956345795,20.52,2434.4572427816,1239.1720018989,0.0192630182,68199.6842584816,50.9013664369
Case 8,4.851196936238081,0.0382287442,34.8867929933569,0.274,59.1824474837,59.41,40.417740551,40.99,4240.2293048599,3155.7515225361,0.0288678075,30536.1738823615,74.4240769932
Case 9,3.1733059845893017,0.0249949444,6.36620310097753,0.05,50.0282540072,50.17,30.3814777877,30.71,3263.3527098315,2090.6062955821,0.0180781085,57163.9486312691,64.0631424634
Case 10,3.062895811032274,0.0241236541,5.60225872886023,0.044,49.9103449048,49.53,31.169316988,31.62,3134.5705051249,2017.6741524738,0.0259668828,39613.7366567953,64.3684405623
Case 11,3.980519943450086,0.0313611709,7.38479559713394,0.058,54.9919535616,55.05,36.0379805009,36.45,3718.7176587228,2604.5923617332,0.0251077119,37462.5974105273,70.0400675922
Case 12,2.1901256332312897,0.0172409213,5.85690685289933,0.046,43.6066991537,43.54,25.2629334984,25.66,2562.8861597914,1454.1610240915,0.0152030776,77231.7782529217,56.739196883
Case 13,5.160192805069572,0.0406677077,7.38479559713394,0.058,60.3291897194,60.57,41.4711403842,41.72,4438.1634856039,3351.294519669,0.0363415231,23878.9135780665,75.5108397998
Case 14,3.117105611179196,0.0245511507,5.85690685289933,0.046,50.0727897241,49.78,31.0869274312,31.42,3185.9951689621,2053.0788389263,0.0215008439,47780.229656617,64.4407392367
Case 15,3.9069954181128463,0.0307809165,6.11155497693843,0.048,54.877149464,55.18,36.2727765938,36.58,3648.3362379455,2556.596762469,0.0303830419,30946.099855473,70.0756891834
Case 16,2.424129632020485,0.0190868666,5.47493466684068,0.043,44.9061665728,44.91,25.373358304,25.78,2784.689970897,1607.4802178492,0.0182795206,63058.7577745163,57.7256439549
Case 17,3.967810019909122,0.0312597388,7.89409184521214,0.062,54.958400448,54.74,36.0815446105,36.37,3704.9291494655,2596.2202934778,0.021343382,44048.3142823683,70.0747622624
Case 18,2.451376983937572,0.0193020876,5.34761060482113,0.042,45.1851842221,45.17,25.7542519183,26.14,2796.3408187945,1624.9803476705,0.0223721503,51168.3212471017,58.110954743
Case 19,2.456675724177954,0.019343986,4.07436998462562,0.032,45.1532686179,45.26,25.5861561409,25.83,2808.4195682933,1628.6206777295,0.0223133295,51411.4610497167,57.9906469858
Case 20,4.272012415525349,0.0336643046,8.78536027934899,0.069,55.5258037216,55.33,35.0641202488,35.56,3997.2710651308,2794.7660278319,0.021252217,44314.8611370748,69.9168503285
Case 21,4.973654159791797,0.0391923682,6.87549934905573,0.054,60.0960284995,59.84,42.0242875946,42.22,4271.0923544754,3230.1360210812,0.0364845747,23753.1825871097,75.6278664332
Case 22,5.613522113936801,0.0442519975,9.16733246540765,0.072,61.165386091,60.72,40.6749337727,41.0,4821.7971247051,3644.110633415,0.0300576515,28825.807033497,75.5757768145
Case 23,4.859035592610366,0.0382882682,8.53071215530989,0.067,59.3290546272,59.53,40.7611144031,41.17,4230.7237322994,3159.7992309148,0.0247466561,35489.6311922656,74.6869668372
Case 24,1.7309698162022433,0.0136224494,3.43774967452787,0.027,38.7707658413,38.67,19.5285155994,19.8,2327.5846764063,1156.3706161059,0.0188145069,71615.3227878039,49.6811406188
Case 25,1.660518138526369,0.0130668611,3.43774967452787,0.027,38.3989176448,38.31,19.9105400091,20.18,2234.0723886877,1109.5825448241,0.0154896243,87042.0915878974,49.6663649057
Case 26,1.7805926032685153,0.0140129106,4.32901810866472,0.034,39.907962418,39.83,21.8716249863,22.22,2283.6583621592,1187.5289873191,0.0137733874,93352.723615026,52.0011665053
Case 27,5.322740466751756,0.0419522277,7.76676778319259,0.061,60.6679784159,60.39,41.2023107781,41.47,4575.2602917815,3456.2790805558,0.0300151009,28892.2358435036,75.5427857682
Case 28,5.288621309898091,0.0416822458,8.02141590723169,0.063,60.6737171088,60.96,41.5566426335,41.97,4534.0323777984,3433.4034381169,0.0366197512,23622.5715627916,75.7251636519
Case 29,5.387485482952131,0.0424625774,9.04000840338809,0.071,60.7441948493,61.04,41.0260520317,41.44,4630.6697134246,3498.1455457718,0.0255054134,33997.4636606307,75.542972448
Case 30,1.7923813011650922,0.0141058344,8.78536027934899,0.069,39.9967208586,39.98,21.9028647463,22.25,2294.8214719283,1195.2798512094,0.0137969346,93033.7441010618,52.0859624956
Case 31,1.798811799156693,0.0141569357,3.69239779856697,0.029,39.4914549047,39.19,20.2979730549,20.64,2367.0063791237,1200.6249079778,0.0158109358,83408.7829332223,50.7233490609
Case 32,1.7652416983227839,0.013892467,3.69239779856697,0.029,39.4023944942,39.18,20.6769439082,21.07,2316.7089904368,1178.2417699488,0.0192412551,68362.8780031045,50.8584278307
Case 33,1.875876619427498,0.014764618,3.31042561250832,0.026,40.3069401857,40.31,21.1723844106,21.39,2413.1749317221,1250.8526122583,0.0196146097,65741.6736918907,51.834311546
Case 34,1.688545896161262,0.0132877853,4.20169404664517,0.033,38.5745719211,38.42,19.8448721829,20.25,2267.2567848297,1128.1374564039,0.0155178366,86709.832391774,49.7578158748
Case 35,1.6301109242340064,0.012826812,3.56507373654742,0.028,38.8755564507,38.85,21.8240684855,22.04,2125.172573891,1088.2623574622,0.0135547997,96421.8566606784,51.208187553
Case 36,5.163330661542493,0.0406953237,8.78536027934899,0.069,59.919345948,60.21,40.2708828988,40.75,4490.4079996104,3356.5583540514,0.0291977456,30038.8220573959,74.7495184033
Case 37,11.319940018442088,0.0892060634,12.6050821399355,0.099,79.4597757794,79.39,63.1023874606,63.19,7922.7434299204,7132.3059422738,0.0516847246,13813.9350942587,90.023184587
Case 38,12.107880010210511,0.0954630503,15.5335355663852,0.122,79.3767975649,80.4,61.0861705434,61.49,8536.7186924329,7639.1727933931,0.0584284209,12296.7531248902,89.4860551064
Case 39,12.424685099179905,0.0979720516,11.4591655817596,0.09,79.6060864212,80.35,61.0877327073,61.13,8747.7440629424,7836.3790454619,0.0710449086,10099.169564456,89.5817137433
Case 40,12.305229329847025,0.0970214732,15.1515633803265,0.119,79.6500931521,79.57,61.2429673511,61.42,8661.3960361117,7760.8178866115,0.0588872372,12181.9061353866,89.6023903566
Case 41,12.687720259375741,0.1000442919,11.4591655817596,0.09,80.086665904,79.98,61.3465794859,61.16,8911.2361937783,7998.0097634794,0.0594874855,12034.0104322796,89.75196695
Case 42,11.994092228493137,0.0945503468,16.424804000522,0.129,79.3812836909,79.98,61.4011544148,61.85,8443.3362943265,7565.1855457937,0.0501940806,14294.6892318851,89.5994815566
