Case,Permeate flux (L/m²h),Distillate flow rate (L/h),Exp. permeate flux (L/m²h),Exp. distillate flow rate (L/h),Hot feedwater outlet temperature (°C),Exp. hot feedwater outlet temperature (°C),Cold feedwater outlet temperature (°C),Exp. cold feedwater outlet temperature (°C),Heat flux (W/m²),Vapor heat flux (W/m²),GOR,STECth,Thermal efficiency (%)
Case 22,9.511298391949907,0.0749385973,9.16733246540765,0.072,60.6961761406,60.72,41.144367578,41.0,8386.6889809486,6183.8689751688,0.0534679503,16645.5935568618,73.7343305471
Case 23,8.389306788119272,0.0660740175,8.53071215530989,0.067,58.9663929034,59.53,41.1239004367,41.17,7488.5848460276,5462.471729252,0.0446534805,20175.2466952689,72.943978623
Case 24,3.279349192302539,0.0258035443,3.43774967452787,0.027,38.4170381502,38.67,19.8815801081,19.8,4557.4550999316,2193.2994919841,0.0375151824,37128.4398240641,48.1255315498
Case 25,3.1768596320014435,0.024994899,3.43774967452787,0.027,38.1153855096,38.31,20.1935599218,20.18,4410.2255131194,2125.012459183,0.0310459832,44819.3970701944,48.1837596028
Case 26,3.412905925025592,0.026853898,4.32901810866472,0.034,39.6620367874,39.83,22.1171589125,22.22,4511.9587273301,2278.3743549789,0.0275835183,48060.6154932432,50.4963474328
Case 27,9.032493182641383,0.071155064,7.76676778319259,0.061,60.2217829146,60.39,41.6487091734,41.47,7966.1246135003,5873.690354509,0.0534488456,16657.4370774289,73.7333476375
Case 28,8.793965580575179,0.0692747968,8.02141590723169,0.063,60.1597741088,60.96,42.070823949,41.97,7742.3087191153,5718.1765835532,0.0641948155,13847.023209443,73.8562202956
Case 29,9.229162331372539,0.0727030645,9.04000840338809,0.071,60.3539328772,61.04,41.4164922422,41.44,8134.1389229217,6000.8162208614,0.0456835815,19475.0908855395,73.7732202231
Case 30,3.434506527023476,0.0270241139,8.78536027934899,0.069,39.7497172609,39.98,22.1494751593,22.25,4532.8047215209,2292.5898838238,0.027623743,47909.5765893504,50.5777333168
Case 31,3.429143669116834,0.026982936,3.69239779856697,0.029,39.1928873571,39.19,20.5960041704,20.64,4657.4979212542,2291.2726450146,0.0315940311,43093.9966909637,49.1953551833
Case 32,3.334696900176773,0.0262394157,3.69239779856697,0.029,39.0526505761,39.18,21.0260818594,21.07,4520.8835517442,2228.3295692874,0.0382478776,35534.1568521448,49.2896917999
Case 33,3.5319090024108353,0.027793629,3.31042561250832,0.026,39.9448643103,40.31,21.5338460761,21.39,4694.1868284759,2357.8685579847,0.0388755591,34278.0540114168,50.2295422858
Case 34,3.2289760626448545,0.0254055953,4.20169404664517,0.033,38.2869949977,38.42,20.1319244531,20.25,4474.2893065549,2159.573528381,0.0310930422,44668.4569076385,48.266291704
Case 35,3.133948772690244,0.0246557644,3.56507373654742,0.028,38.6456132756,38.85,22.0536536149,22.04,4209.5716064057,2094.1246661165,0.0272112285,49497.0522105906,49.7467405693
Case 36,8.814374587511413,0.0694367716,8.78536027934899,0.069,59.4749993533,60.21,40.7153926051,40.75,7868.3886737898,5738.3185518279,0.052310866,17220.2547133822,72.928763305
Case 37,16.00939548459493,0.1260680119,12.6050821399355,0.099,79.0696409548,79.39,63.4933995201,63.19,11394.4088908336,10101.7585336716,0.0760545456,9554.5639572269,88.6553978399
Case 38,17.099417081930167,0.1347130038,15.5335355663852,0.122,78.88007818,80.4,61.5840810941,61.49,12278.0575288671,10807.1474323702,0.0862433684,8492.1453487763,88.0200097366
Case 39,17.073303840016557,0.1345256981,11.4591655817596,0.09,79.0391071992,80.35,61.656090245,61.13,12254.9186817367,10789.8588323602,0.102445679,7146.766633161,88.0451279407
Case 40,17.32992512197035,0.1365315687,15.1515633803265,0.119,79.1506781465,79.57,61.7435987663,61.42,12422.5221781288,10948.9498731266,0.0866742114,8436.6054377572,88.1378975713
Case 41,17.799373718743304,0.1402377816,11.4591655817596,0.09,79.5792408144,79.98,61.8552773921,61.16,12731.8302781542,11240.2706078754,0.0872158753,8367.3202416933,88.2847977259
Case 42,17.09213310557838,0.1346310199,16.424804000522,0.129,78.9540016332,79.98,61.8294542313,61.85,12245.5408890702,10797.9199224851,0.0744805776,9813.4379591542,88.1783828114
