Case,Permeate flux (L/m²h),Distillate flow rate (L/h),Exp. permeate flux (L/m²h),Exp. distillate flow rate (L/h),Hot feedwater outlet temperature (°C),Exp. hot feedwater outlet temperature (°C),Cold feedwater outlet temperature (°C),Exp. cold feedwater outlet temperature (°C),Heat flux (W/m²),Vapor heat flux (W/m²),GOR,STECth,Thermal efficiency (%)
Case 1,8.391491858610319,0.0660972793,31.8310155048877,0.25,59.520641254,60.66,41.9998687057,41.54,7427.0950984424,5459.8312199171,0.0635960995,14050.4116046611,73.5123375633
Case 2,5.4732755514798255,0.0430921826,5.85690685289933,0.046,49.2720404364,49.64,31.4174477005,31.42,5789.2506882347,3610.8847050703,0.0407197503,26117.9092425597,62.3722291455
Case 3,5.908702077363224,0.0465273216,5.98423091491888,0.047,50.3116975241,50.78,31.5877838162,31.56,6170.8067588466,3894.2071761752,0.0413814095,25377.8181539798,63.1069376884
Case 4,3.3821468465809015,0.0266112608,4.45634217068427,0.035,39.7705765186,39.91,22.6486672864,22.71,4434.3950623304,2257.2660905991,0.0277753889,47340.4069401609,50.9035856948
Case 5,8.653403907936154,0.0681577831,8.91268434136855,0.07,59.4747022271,60.04,41.3556378541,41.34,7681.5993020925,5631.1767260488,0.0450965348,19868.9168024669,73.307347918
Case 6,3.523080449243011,0.0277232797,4.71099029472337,0.037,39.5603681739,39.82,20.6884991484,20.74,4752.7837753296,2353.1942151309,0.0317701169,42567.0479143553,49.5119139933
Case 7,3.504453244644811,0.0275775665,3.56507373654742,0.028,39.4863751821,39.75,20.5622257563,20.52,4748.5657502445,2341.1541817131,0.0382743978,35488.1002618956,49.3023431674
Case 8,8.310751175178304,0.065459967,34.8867929933569,0.274,58.7598651748,59.41,40.8404579311,40.99,7453.8853736377,5413.6631738984,0.0518814351,17444.7982223798,72.6287419585
Case 9,5.818153969119479,0.0458121375,6.36620310097753,0.05,49.7073222657,50.17,30.7021795827,30.71,6158.4957081421,3837.6149995048,0.0346723649,30690.2660084746,62.3141621164
Case 10,5.501126648506707,0.0433134742,5.60225872886023,0.044,49.4855367187,49.53,31.5938513171,31.62,5799.5673776329,3628.5210113502,0.0491281231,21577.8759329877,62.5653738474
Case 11,7.020289088061846,0.0552882257,7.38479559713394,0.058,54.5952458969,55.05,36.4346368263,36.45,6741.4057195878,4599.6433703877,0.0464640362,20818.1210831643,68.2297366708
Case 12,4.13582083701745,0.0325500727,5.85690685289933,0.046,43.3388340368,43.54,25.5304614744,25.66,4986.1440254721,2748.8536115005,0.0300091501,40321.5603566747,55.1298477833
Case 13,8.598799152331585,0.0677341454,7.38479559713394,0.058,59.8236639626,60.57,41.9768859917,41.72,7594.416781082,5593.2358685027,0.0638356092,13968.1508265052,73.6493140913
Case 14,5.661629763959544,0.0445781152,5.85690685289933,0.046,49.7097202024,49.78,31.4497605593,31.42,5958.5266690378,3733.6140631677,0.0409779283,25824.272045038,62.6600210178
Case 15,6.804833391706321,0.0535898787,6.11155497693843,0.048,54.4161944083,55.18,36.7336761056,36.58,6533.5988852148,4458.9200724856,0.0557505153,17349.5117082296,68.2460027134
Case 16,4.517782755781786,0.0355624972,5.47493466684068,0.043,44.5707552908,44.91,25.7083468311,25.78,5351.8524010562,2999.3153456112,0.0357331225,33276.2021154128,56.0425647206
Case 17,7.060167598441851,0.0555995016,7.89409184521214,0.062,54.6178076664,54.74,36.4220935701,36.37,6770.6498358526,4625.2562516351,0.0397054649,24329.7981115443,68.3133283181
Case 18,4.517408134104755,0.0355609192,5.34761060482113,0.042,44.7838964572,45.17,26.1550524534,26.14,5319.05035348,2998.2841959845,0.0434314478,27215.0978881759,56.368787598
Case 19,4.528538300322453,0.0356488652,4.07436998462562,0.032,44.7498986032,45.26,25.989028606,25.83,5344.252226385,3005.9312518246,0.0433337431,27337.1620154608,56.2460588403
Case 20,7.595744184273211,0.0598298444,8.78536027934899,0.069,55.1581709317,55.33,35.4316923971,35.56,7305.4870000974,4975.7539432375,0.039536126,24497.9985858711,68.1098185949
Case 21,8.28868420420726,0.0652836376,6.87549934905573,0.054,59.6100546035,59.84,42.5104717753,42.22,7305.6404020116,5391.1539933702,0.0640666412,13892.0016564752,73.794406742
