Case,Permeate flux (L/m²h),Distillate flow rate (L/h),Exp. permeate flux (L/m²h),Exp. distillate flow rate (L/h),Hot feedwater outlet temperature (°C),Exp. hot feedwater outlet temperature (°C),Cold feedwater outlet temperature (°C),Exp. cold feedwater outlet temperature (°C),Heat flux (W/m²),Vapor heat flux (W/m²),GOR,STECth,Thermal efficiency (%)
Case 1,5.68485557182622,0.0447954742,31.8310155048877,0.25,59.9212707847,60.66,41.5990748083,41.54,4925.3919772033,3694.5012448925,0.041290455,21173.8937082136,75.0092837685
Case 2,3.4766299167093555,0.0273792256,5.85690685289933,0.046,49.5600309076,49.64,31.129646876,31.42,3589.6054144492,2291.4154924634,0.0248635605,41740.5206654889,63.8347458258
Case 3,3.766868176983505,0.029669876,5.98423091491888,0.047,50.6171077311,50.78,31.2825646191,31.56,3839.2338247143,2480.0551662017,0.0253496427,40416.3281769145,64.597658789
Case 4,2.061064087140172,0.0162192791,4.45634217068427,0.035,39.9691018146,39.91,22.450443695,22.71,2635.6575188383,1374.5003823152,0.0163248851,78544.7699850793,52.150189184
Case 5,5.747154522855527,0.04528531,8.91268434136855,0.07,59.773548344,60.04,41.0566764838,41.34,4997.6599016674,3736.0494502887,0.0288848618,30373.1844834871,74.7559762729
Case 6,2.157103336633344,0.0169769992,4.71099029472337,0.037,39.8104914186,39.82,20.4388245208,20.74,2834.2411079911,1439.5113639738,0.0187057363,70400.1822760925,50.7900107692
Case 7,2.161418973279349,0.0170114187,3.56507373654742,0.028,39.7877694839,39.75,20.2613782117,20.52,2849.4735396074,1442.5292490411,0.022621163,58408.2656929663,50.6244128605
Case 8,5.540233760534164,0.0436546257,34.8867929933569,0.274,59.1004178294,59.41,40.4997969262,40.99,4864.0564576135,3604.969664738,0.0332560741,26627.7573577623,74.1144700139
Case 9,3.6730555628009216,0.0289295612,6.36620310097753,0.05,49.9692233048,50.17,30.4404656301,30.71,3795.8732823351,2420.3897756684,0.0210903307,49244.1602953012,63.7637137924
Case 10,3.531343284335159,0.0278115684,5.60225872886023,0.044,49.8309899988,49.53,31.248619787,31.62,3632.3981393679,2326.8369133658,0.0302154798,34219.6676567556,64.0578709737
Case 11,4.572632136700105,0.036023544,7.38479559713394,0.058,54.9167079016,55.05,36.1132162671,36.45,4292.0514291637,2992.7978183465,0.0290912784,32488.2773739045,69.7288433687
Case 12,2.549386478487058,0.0200682491,5.85690685289933,0.046,43.5585621856,43.54,25.3110091501,25.66,2998.3592996895,1693.0169276098,0.0178323645,66180.1051529421,56.46477818
Case 13,5.83265187709809,0.0459631577,7.38479559713394,0.058,60.2324354556,60.57,41.5679376849,41.72,5042.2590376194,3789.4585929767,0.0414933025,21023.7962337409,75.153984845
Case 14,3.6015657322010495,0.02836524,5.85690685289933,0.046,50.0055373569,49.78,31.1541353258,31.42,3699.560292669,2372.7226912775,0.025053471,41212.7741032474,64.1352621278
Case 15,4.477148919865654,0.0352701933,6.11155497693843,0.048,54.7888876086,55.18,36.3610276127,36.58,4200.7997895625,2930.4727519086,0.0351455708,26883.483796766,69.7598766594
Case 16,2.814729509380288,0.0221613296,5.47493466684068,0.043,44.8453227591,44.91,25.434124343,25.78,3250.3741803378,1866.8984146245,0.0214018129,54145.1399565014,57.4364153493
Case 17,4.566081117943658,0.0359704023,7.89409184521214,0.062,54.8941809513,54.74,36.1457557304,36.37,4282.9811272407,2988.3901066369,0.0247558443,38152.8510920952,69.7735996927
Case 18,2.8403078372166646,0.0223635132,5.34761060482113,0.042,45.1118068652,45.17,25.8275386622,26.14,3257.6294947914,1883.2394712122,0.0261592096,44001.3087426091,57.8101184995
Case 19,2.8465964078164605,0.0224132325,4.07436998462562,0.032,45.0795363571,45.26,25.6597959046,25.83,3271.9453691819,1887.5598920219,0.0260921788,44208.4200725573,57.6892239645
