Case,Permeate flux (L/m²h),Distillate flow rate (L/h),Exp. permeate flux (L/m²h),Exp. distillate flow rate (L/h),Hot feedwater outlet temperature (°C),Exp. hot feedwater outlet temperature (°C),Cold feedwater outlet temperature (°C),Exp. cold feedwater outlet temperature (°C),Heat flux (W/m²),Vapor heat flux (W/m²),GOR,STECth,Thermal efficiency (%)
Case 20,4.915017253815519,0.0387282123,8.78536027934899,0.069,55.4565283485,55.33,35.1333840364,35.56,4620.6638463968,3216.2502947599,0.0246482663,38393.4003272308,69.6058056088
Case 21,5.622506227286931,0.0443013635,6.87549934905573,0.054,60.0029262631,59.84,42.1174310369,42.22,4852.4558639957,3652.8600899792,0.04165753,20910.0001116183,75.2785845428
Case 22,6.395551794548122,0.0504116979,9.16733246540765,0.072,61.073668024,60.72,40.7666964417,41.0,5518.6496210637,4153.0621370448,0.034551667,25194.294620602,75.2550428495
Case 23,5.558101977415005,0.0437927651,8.53071215530989,0.067,59.2589979322,59.53,40.8311955083,41.17,4860.0633953592,3615.317451965,0.0285328429,30915.0922577288,74.3882776389
Case 24,2.0161055556045038,0.0158659559,3.43774967452787,0.027,38.7075098507,38.67,19.5916511842,19.8,2726.3426652977,1347.1396153787,0.0221090216,61291.0618687037,49.4119698351
Case 25,1.937593597298963,0.0152467614,3.43774967452787,0.027,38.3485336093,38.31,19.9608318642,20.18,2620.7755594531,1294.9705642732,0.0182196135,74397.8623569544,49.4117307986
Case 26,2.0784165762230047,0.0163562034,4.32901810866472,0.034,39.8642941996,39.83,21.9152228658,22.22,2679.3289094212,1386.4004423657,0.0161984349,79788.1367877067,51.7443169254
Case 27,6.0666186384364424,0.0478105996,7.76676778319259,0.061,60.5807787094,60.39,41.2895509016,41.47,5237.9443330005,3940.4645338027,0.0345125072,25242.3130990641,75.2292174809
Case 28,5.97471799343123,0.047085292,8.02141590723169,0.063,60.5752634778,60.96,41.6551429597,41.97,5148.6369817034,3880.3187333986,0.0417910825,20808.5780263307,75.3659414557
Case 29,6.152293981434438,0.0484857142,9.04000840338809,0.071,60.6684162451,61.04,41.1018658213,41.44,5310.9598699544,3995.844931548,0.029362394,29663.1195247566,75.2377165219
Case 30,2.0920620593621164,0.0164637579,8.78536027934899,0.069,39.9528524506,39.98,21.9466625346,22.25,2692.2909221502,1395.3736729623,0.0162253661,79519.6367446668,51.828487831
Case 31,2.0975338627432913,0.0165074036,3.69239779856697,0.029,39.4382702152,39.19,20.3510609561,20.64,2775.0161328468,1400.2837892682,0.0185869694,71337.9714750275,50.4603837323
Case 32,2.054960619752071,0.016172059,3.69239779856697,0.029,39.3396823829,39.18,20.7395456791,21.07,2711.9342214207,1371.9048275502,0.0225979282,58534.3599701444,50.5876881789
Case 33,2.182367007552474,0.017176374,3.31042561250832,0.026,40.2418614375,40.31,21.2373510282,21.39,2823.1569582357,1455.5360989768,0.0230237021,56323.092591105,51.5570377598
Case 34,1.970114691095852,0.015503093,4.20169404664517,0.033,38.5234579827,38.42,19.8958916819,20.25,2659.5327346703,1316.5067442472,0.0182516906,74120.5281554497,49.5014303485
Case 35,1.9038778991278242,0.0149805508,3.56507373654742,0.028,38.8348021295,38.85,21.8647586389,22.04,2494.602594473,1271.2381624462,0.0159486744,82365.3899185961,50.9595462324
Case 36,5.892101696082531,0.0464348169,8.78536027934899,0.069,59.8329230813,60.21,40.3573380979,40.75,5147.4148257047,3831.4295478784,0.0336133219,26214.0135133754,74.4340543285
Case 37,12.392220989673646,0.0976402186,12.6050821399355,0.099,79.3724776222,79.39,63.1898856571,63.19,8699.5996992227,7810.6059583139,0.057041635,12557.0698474537,89.7812109563
Case 38,13.246106574849419,0.1044193635,15.5335355663852,0.122,79.2660758884,80.4,61.1971635349,61.49,9370.7155727522,8360.7039309636,0.0645047052,11178.2423833849,89.2216167064
Case 39,13.396928247327319,0.105622197,11.4591655817596,0.09,79.4891388677,80.35,61.204971733,61.13,9471.1798932858,8454.5584331639,0.0773747795,9312.9940858693,89.2661582656
Case 40,13.452759417681088,0.1060509104,15.1515633803265,0.119,79.5386034409,79.57,61.3547345349,61.42,9501.0631736179,8488.0399065582,0.0649667564,11081.4709208509,89.3377904288
Case 41,13.857196153482754,0.1092464579,11.4591655817596,0.09,79.9731921533,79.98,61.4603440626,61.16,9765.6551881583,8738.8876464497,0.065565069,10957.8802101821,89.4859328747
Case 42,13.151029003865677,0.1036524676,16.424804000522,0.129,79.2864178161,79.98,61.4962505607,61.85,9287.5345977563,8298.0042283668,0.0554911005,12974.3601741208,89.3456077178
