Case,Permeate flux (L/m²h),Distillate flow rate (L/h),Exp. permeate flux (L/m²h),Exp. distillate flow rate (L/h),Hot feedwater outlet temperature (°C),Exp. hot feedwater outlet temperature (°C),Cold feedwater outlet temperature (°C),Exp. cold feedwater outlet temperature (°C),Heat flux (W/m²),Vapor heat flux (W/m²),GOR,STECth,Thermal efficiency (%)
Case 1,5.207695554909914,0.0410382284,31.8310155048877,0.25,59.9897384027,60.66,41.5305783473,41.54,4497.8430365673,3383.706835683,0.0375716048,23194.9154003457,75.2295446545
Case 2,3.1492811755357,0.0248022613,5.85690685289933,0.046,49.6057594108,49.64,31.0839490315,31.42,3240.3342419612,2075.3340258794,0.0223901648,46188.4157814137,64.0469121674
Case 3,3.414383555838013,0.0268946568,5.98423091491888,0.047,50.6657703777,50.78,31.2339329639,31.56,3467.7302916687,2247.6050188205,0.0228406725,44695.7452044635,64.8148739889
Case 4,1.8544258616176912,0.0145934956,4.45634217068427,0.035,39.9991975855,39.91,22.420394261,22.71,2362.9761025955,1236.5466643214,0.0146112633,87442.0246644344,52.3300537387
Case 5,5.2462490450725605,0.0413410985,8.91268434136855,0.07,59.8235670541,60.04,41.0066381087,41.34,4548.4355396978,3409.8087900211,0.02622043,33356.9622434347,74.9666288609
Case 6,1.9423559607772232,0.0152872267,4.71099029472337,0.037,39.8485423707,39.82,20.4008428374,20.74,2542.3771194275,1296.0209474636,0.0167472093,78331.9768909834,50.9767389566
Case 7,1.9485107592708246,0.0153360686,3.56507373654742,0.028,39.8339370579,39.75,20.2152958929,20.52,2558.5725879483,1300.2353424788,0.0202649963,64938.0651586274,50.8187787442
Case 8,5.060717655198843,0.0398787455,34.8867929933569,0.274,59.1575941483,59.41,40.4426020079,40.99,4429.2367765598,3292.3238561412,0.0301934268,29235.2338785741,74.3316291774
Case 9,3.3239375814617995,0.0261809472,6.36620310097753,0.05,50.010528411,50.17,30.3991904872,30.71,3423.2567605804,2189.992609462,0.0189807434,54526.2638389735,63.9739511999
Case 10,3.2044709389459216,0.0252382723,5.60225872886023,0.044,49.8864569796,49.53,31.1931891817,31.62,3284.4298671124,2111.0943038951,0.0272421332,37817.4234009597,64.2758222678
Case 11,4.159886611396843,0.0327736082,7.38479559713394,0.058,54.969244737,55.05,36.0606863318,36.45,3891.7476049988,2722.170058501,0.0263066848,35806.3836879663,69.9472405406
Case 12,2.2980104065270073,0.018089984,5.85690685289933,0.046,43.5922985922,43.54,25.2773156831,25.66,2693.1614176543,1525.8793391287,0.015988225,73550.1727242776,56.6575523148
Case 13,5.344422661132251,0.0421185624,7.38479559713394,0.058,60.3023690664,60.57,41.4979730128,41.72,4605.621553287,3471.5279278716,0.0377645084,23024.895300138,75.3758833136
Case 14,3.2633064118795363,0.0257022206,5.85690685289933,0.046,50.0525725117,49.78,31.1071312417,31.42,3340.3817061839,2149.5259666785,0.0225662342,45593.0377436676,64.349710774
Case 15,4.079996917665574,0.0321431732,6.11155497693843,0.048,54.8504706312,55.18,36.299452141,36.58,3815.3291510631,2670.0214011356,0.0318179829,29593.5416415445,69.9814169478
Case 16,2.541619338855498,0.0200116753,5.47493466684068,0.043,44.8879374856,44.91,25.391564039,25.78,2924.2110796843,1685.4998258662,0.0192129694,60089.7122139993,57.6394719785
Case 17,4.148835371161151,0.0326851764,7.89409184521214,0.062,54.9390387207,54.74,36.1009038067,36.37,3879.2079495167,2714.8645534703,0.0223698216,42085.2057523951,69.9850224273
Case 18,2.568532586725829,0.0202242964,5.34761060482113,0.042,45.1631719955,45.17,25.7762368907,26.14,2934.7212296348,1702.761868983,0.0235052799,48781.2274384884,58.0212475307
Case 19,2.5741246936076827,0.020268513,4.07436998462562,0.032,45.1311511108,45.26,25.6082458288,25.83,2947.4636306245,1706.6037657439,0.023443948,49012.37710066,57.9007573838
Case 20,4.466582767629959,0.0351967131,8.78536027934899,0.069,55.5049188143,55.33,35.0850016556,35.56,4185.2096645256,2922.2833205155,0.0222736758,42343.3108835407,69.8240603161
Case 21,5.151670509922268,0.0405941355,6.87549934905573,0.054,60.0701993822,59.84,42.0501281874,42.22,4432.3789809954,3346.2905629076,0.0379145427,22901.5046621122,75.4964901976
Case 22,5.851642041484025,0.0461277071,9.16733246540765,0.072,61.1375619511,60.72,40.7027714868,41.0,5033.1990213255,3799.0495730204,0.0314168567,27617.3990728569,75.4798202281
Case 23,5.071392330896855,0.0399604953,8.53071215530989,0.067,59.3078470424,59.53,40.7823293974,41.17,4421.2379734274,3298.1496635939,0.0258898693,33966.7772948855,74.5978769615
Case 24,1.8165601223930095,0.0142959067,3.43774967452787,0.027,38.7518571068,38.67,19.547388259,19.8,2446.7828968299,1213.6261300355,0.0197970885,68176.0917740632,49.6008915057
Case 25,1.7435873887524358,0.0137204257,3.43774967452787,0.027,38.383871524,38.31,19.9255585498,20.18,2349.5529728085,1165.1560663954,0.016303343,82829.7149732898,49.5905425364
Case 26,1.8698617071977357,0.014715301,4.32901810866472,0.034,39.8949232166,39.83,21.8846431492,22.22,2401.8043530658,1247.1310710053,0.0144962864,88833.6584662598,51.9247568776
Case 27,5.549210226692369,0.0437359092,7.76676778319259,0.061,60.6415271551,60.39,41.2287743384,41.47,4776.2801370454,3603.6583496278,0.0313752166,27677.5564144959,75.4490575558
Case 28,5.476303856156151,0.0431603485,8.02141590723169,0.063,60.646457668,60.96,41.5839150526,41.97,4704.2020920101,3555.8593810876,0.0380464272,22782.3731651155,75.5890013128
Case 29,5.620038436337115,0.0442941527,9.04000840338809,0.071,60.7212338574,61.04,41.0490237141,41.44,4836.7987450973,3649.452049246,0.0266710301,32554.8405298194,75.451806899
Case 30,1.882210141789673,0.0148126355,8.78536027934899,0.069,39.9836214639,39.98,21.9159430179,22.25,2413.508391712,1255.2503774811,0.0145208638,88531.5097452702,52.009364533
Case 31,1.8884102054939025,0.0148619498,3.69239779856697,0.029,39.4755662677,39.19,20.313832721,20.64,2488.896984058,1260.5022839208,0.0166386743,79387.5904303665,50.6450163263
Case 32,1.8522396839287154,0.0145770083,3.69239779856697,0.029,39.383640531,39.18,20.695664797,21.07,2434.9003988975,1236.3873705557,0.020242751,65088.7751340352,50.7777390449
Case 33,1.9679489153373149,0.015489148,3.31042561250832,0.026,40.2874710154,40.31,21.1918199559,21.39,2535.8263905253,1312.3321488071,0.0206321004,62604.2274323853,51.7516559379
Case 34,1.7729669642304005,0.0139520026,4.20169404664517,0.033,38.5593072651,38.42,19.8601085818,20.25,2384.40589744,1184.6076922771,0.0163327353,82515.7941946613,49.6814612625
Case 35,1.7121391636078642,0.0134721468,3.56507373654742,0.028,38.8633909972,38.85,21.8362147524,22.04,2235.4499820847,1143.0808285268,0.014268206,91738.7221402976,51.1342610073
Case 36,5.3850264719600265,0.0424414315,8.78536027934899,0.069,59.8931518598,60.21,40.2970868177,40.75,4689.5420384557,3500.9888178841,0.0305320864,28765.8661432202,74.6552390228
Case 37,11.654436408227227,0.0918374081,12.6050821399355,0.099,79.4326250071,79.39,63.1296006789,63.19,8164.3564124032,7343.859112179,0.0533449719,13397.0992693083,89.9502513269
Case 38,12.462797506507112,0.0982561377,15.5335355663852,0.122,79.3423830486,80.4,61.1206697461,61.49,8795.9435151742,7864.1059833827,0.0603096244,11926.1287083738,89.4060537089
Case 39,12.639884026756961,0.099665439,11.4591655817596,0.09,79.5791515567,80.35,61.1147350334,61.13,8914.3641729071,7974.4085039691,0.0724961902,9914.2265832383,89.4557183137
Case 40,12.663156307318577,0.0998382223,15.1515633803265,0.119,79.6154295028,79.57,61.277717635,61.42,8922.4617501424,7987.5936145306,0.0607700083,11817.3318264065,89.5223071637
Case 41,13.052625704885681,0.1029159819,11.4591655817596,0.09,80.0513728565,79.98,61.3819633694,61.16,9176.9829281106,8229.1275439284,0.061370334,11677.5985216588,89.6713833772
Case 42,12.354493420038155,0.0973861533,16.424804000522,0.129,79.3518222082,79.98,61.4306876735,61.85,8705.511579813,7793.4198954123,0.0518334304,13856.9353808483,89.5228249823
