Case,Permeate flux (L/m²h),Distillate flow rate (L/h),Exp. permeate flux (L/m²h),Exp. distillate flow rate (L/h),Hot feedwater outlet temperature (°C),Exp. hot feedwater outlet temperature (°C),Cold feedwater outlet temperature (°C),Exp. cold feedwater outlet temperature (°C),Heat flux (W/m²),Vapor heat flux (W/m²),GOR,STECth,Thermal efficiency (%)
Case 1,9.711099534455675,0.0764754747,31.8310155048877,0.25,59.3139643644,60.66,42.2066274501,41.54,8717.6448699789,6322.086016242,0.0754806116,12010.099124789,72.5205730508
Case 2,6.545714669311061,0.0515279134,5.85690685289933,0.046,49.1087432692,49.64,31.5806399705,31.42,7036.4951925726,4320.722158594,0.0499303913,21651.2098963209,61.4044640172
Case 3,7.053725335047303,0.0555346975,5.98423091491888,0.047,50.1392514781,50.78,31.7601246757,31.56,7487.2932205051,4651.4792280601,0.0506568607,21074.749858393,62.1249774928
Case 4,4.139180327741987,0.0325645516,4.45634217068427,0.035,39.6509244975,39.91,22.7681407868,22.71,5518.5082736531,2763.7821039051,0.03480214,38423.9351421108,50.0820505625
Case 5,10.113902896401958,0.0796436216,8.91268434136855,0.07,59.3163944292,60.04,41.5140051527,41.34,9103.3386133554,6585.1100663618,0.0538928813,16862.2425311852,72.3373077291
Case 6,4.300772036106174,0.0338396259,4.71099029472337,0.037,39.4103137041,39.82,20.8382900755,20.74,5903.7690421684,2874.1647080846,0.0397698104,34605.8013392319,48.6835560056
Case 7,4.2602932622434215,0.0335223009,3.56507373654742,0.028,39.307226828,39.75,20.7410571844,20.52,5877.3942491783,2847.7149702022,0.0478078503,28929.9709154656,48.4519984447
Case 8,9.69527528762802,0.0763492547,34.8867929933569,0.274,58.5801425793,59.41,41.02023603,40.99,8820.6114441726,6319.1033407614,0.0619837819,14815.1032298074,71.640196156
Case 9,6.982472543019021,0.0549710092,6.36620310097753,0.05,49.5574537554,50.17,30.8519432907,30.71,7510.4619105778,4608.0667475665,0.0426081695,25382.9779107396,61.3553041402
Case 10,6.541721698858033,0.0514988036,5.60225872886023,0.044,49.2925106719,49.53,31.7867570628,31.62,7010.4926946876,4317.3432237913,0.060001194,17962.7996724874,61.5840200085
Case 11,8.286411105704717,0.0652474418,7.38479559713394,0.058,54.4196358532,55.05,36.6102247938,36.45,8079.4369693786,5432.2408060717,0.0562043919,17478.5030480547,67.2353881423
Case 12,5.028780951776929,0.0395732121,5.85690685289933,0.046,43.208610126,43.54,25.6605250629,25.66,6164.2266601092,3343.9818157662,0.0373643124,32931.230728816,54.2481968972
Case 13,9.945613979811505,0.0783265411,7.38479559713394,0.058,59.613034942,60.57,42.18760296,41.72,8909.443906919,6473.1214088344,0.0757260287,11946.2872551658,72.6546064655
Case 14,6.766073160899888,0.0532659067,5.85690685289933,0.046,49.5422595664,49.78,31.617115222,31.42,7237.3108857235,4464.4033122476,0.0502138632,21422.9483826332,61.6859408521
Case 15,7.98954047390952,0.0629083756,6.11155497693843,0.048,54.2155167046,55.18,36.934330443,36.58,7789.6845418298,5238.2163747253,0.0671885158,14621.8186065422,67.2455520708
Case 16,5.460864954860983,0.0429805514,5.47493466684068,0.043,44.4103405719,44.91,25.8685645374,25.78,6579.6337861072,3627.3881444404,0.044293751,27308.1349883804,55.1305477229
Case 17,8.36405331700526,0.0658551111,7.89409184521214,0.062,54.4655062616,54.74,36.5743758626,36.37,8141.5191052603,5482.3442446533,0.0481315675,20376.4886731677,67.3380996074
Case 18,5.432790328660085,0.0427613757,5.34761060482113,0.042,44.5946389061,45.17,26.3440872804,26.14,6508.8277800338,3607.9188570789,0.0536675284,22413.3516347595,55.4311617853
Case 19,5.4470275212619255,0.0428738293,4.07436998462562,0.032,44.5595360004,45.26,26.1791636086,25.83,6540.9922706635,3617.700841044,0.0535570462,22510.6165777562,55.3081350863
Case 20,8.998468428648788,0.0708642831,8.78536027934899,0.069,54.9935007782,55.33,35.5963360614,35.56,8787.2840157445,5898.0115548513,0.0479397007,20518.2592548258,67.1198466362
Case 21,9.585335218287797,0.075480844,6.87549934905573,0.054,59.4079204561,59.84,42.7126898933,42.22,8567.7857565895,6238.0591294892,0.0759757244,11882.8428336121,72.8082996787
Case 22,11.052522329260771,0.0870614167,9.16733246540765,0.072,60.4988365271,60.72,41.3417981349,41.0,9885.9646713163,7190.3488462897,0.0636343943,14191.5303629748,72.7329004842
Case 23,9.816720892115283,0.0772995832,8.53071215530989,0.067,58.8109041112,59.53,41.2794409681,41.17,8885.3450092696,6395.253235196,0.0534270527,17102.379801002,71.9752944711
Case 24,3.993741156342387,0.0314219397,3.43774967452787,0.027,38.2436395782,38.67,20.0546625964,19.8,5650.5586395862,2672.5816285664,0.0469353981,30216.1795123915,47.2976531885
Case 25,3.886361352779673,0.0305743706,3.43774967452787,0.027,37.9748518203,38.31,20.3338456014,20.18,5488.8542515039,2600.8977849722,0.0389346018,36362.9658058718,47.3850764804
Case 26,4.178683412800805,0.0328760952,4.32901810866472,0.034,39.5399528094,39.83,22.2390524332,22.22,5618.1537975471,2790.8999165395,0.0345799571,38992.243905143,49.6764598676
