Case,Permeate flux (L/m²h),Distillate flow rate (L/h),Exp. permeate flux (L/m²h),Exp. distillate flow rate (L/h),Hot feedwater outlet temperature (°C),Exp. hot feedwater outlet temperature (°C),Cold feedwater outlet temperature (°C),Exp. cold feedwater outlet temperature (°C),Heat flux (W/m²),Vapor heat flux (W/m²),GOR,STECth,Thermal efficiency (%)
Case 1,4.049556160477064,0.0319166586,31.8310155048877,0.25,60.1542519681,60.66,41.3659945793,41.54,3470.5218287315,2629.6876886182,0.0287435378,30078.5881708652,75.7721120452
Case 2,2.377384387764791,0.0187248588,5.85690685289933,0.046,49.7123997504,49.64,30.9773807699,31.42,2425.8215510299,1566.0112162138,0.0166682317,61522.4642447222,64.5559116065
Case 3,2.5819323002661547,0.0203395224,5.98423091491888,0.047,50.7794179514,50.78,31.1203583641,31.56,2600.112949263,1698.8666006806,0.0170287078,59436.8737638753,65.3381846801
Case 4,1.3735731509135773,0.0108099526,4.45634217068427,0.035,40.0683784766,39.91,22.3513204827,22.71,1736.1668295813,915.6497102505,0.0106940023,118503.3881241386,52.73973069
Case 5,4.025539144351976,0.0317267131,8.91268434136855,0.07,59.9440858608,60.04,40.8860714782,41.34,3466.033858225,2615.2216113127,0.0198568257,43735.302379119,75.4528581741
Case 6,1.444536523526811,0.011369743,4.71099029472337,0.037,39.9357293185,39.82,20.3138156227,20.74,1873.6246137914,963.5107704745,0.0122878704,105783.9952642778,51.4249633242
Case 7,1.453621685874797,0.0114415361,3.56507373654742,0.028,39.9399666395,39.75,20.1094636217,20.52,1890.4842740738,969.6165506574,0.0148946557,87501.1215911367,51.289321152
Case 8,3.9040157610021584,0.0307683966,34.8867929933569,0.274,59.294117941,59.41,40.3060333284,40.99,3390.9808994039,2538.4787208923,0.0229533837,38158.5465144008,74.859717474
Case 9,2.4964994568841528,0.0196655324,6.36620310097753,0.05,50.1072291961,50.17,30.3025603374,30.71,2550.9103938997,1644.2090015492,0.0140758291,72941.1037060813,64.455772554
Case 10,2.430605637793996,0.0191451425,5.60225872886023,0.044,50.016310568,49.53,31.0634215854,31.62,2469.800894312,1600.5405231123,0.0203478842,50188.6951822161,64.804435321
Case 11,3.175151921639461,0.0250184113,7.38479559713394,0.058,55.0932579127,55.05,35.9366895849,36.45,2946.8265779087,2076.7778452657,0.0197930002,47203.9115370021,70.4750615742
Case 12,1.7096167816474621,0.0134590096,5.85690685289933,0.046,43.6702981877,43.54,25.1994159671,25.66,1987.5353252148,1134.8292032383,0.0117499954,99270.0286244016,57.0973098612
Case 13,4.158886438932172,0.0327807044,7.38479559713394,0.058,60.4704767969,60.57,41.3297896458,41.72,3556.0142315044,2699.8562778861,0.0289093526,29837.105679342,75.9236634648
Case 14,2.465190214624675,0.0194179671,5.85690685289933,0.046,50.1623224814,49.78,30.997454363,31.42,2502.2872777349,1623.1129816373,0.01680927,60688.6599822797,64.8651733987
Case 15,3.1289741256891794,0.0246537841,6.11155497693843,0.048,54.9963695825,55.18,36.1535712636,36.58,2902.0897756088,2046.6106337537,0.0240191312,38876.1132567233,70.5219614829
Case 16,1.9034293209206425,0.0149879063,5.47493466684068,0.043,44.9863839986,44.91,25.2932441534,25.78,2170.7251087062,1261.7831051222,0.0141920937,80626.806705783,58.127263561
Case 17,3.146928976214468,0.0247950606,7.89409184521214,0.062,55.0454959859,54.74,35.9944605176,36.37,2920.9626940459,2058.4145922881,0.0167514682,55782.4928797766,70.4704170472
Case 18,1.9312673933480835,0.0152076446,5.34761060482113,0.042,45.282210496,45.17,25.6573465058,26.14,2186.3830068855,1279.749603117,0.017407254,65260.4201272136,58.5327272983
Case 19,1.9353126371058715,0.0152396361,4.07436998462562,0.032,45.2507482275,45.26,25.4887998831,25.83,2195.6039138814,1282.5283198212,0.0173599139,65574.1825789146,58.41346482
Case 20,3.3895552142975895,0.0267132137,8.78536027934899,0.069,55.6197439387,55.33,34.9701958595,35.56,3151.9216103894,2216.6567383099,0.0166828064,56095.9152705819,70.3271531565
Case 21,4.008010351580241,0.0315871563,6.87549934905573,0.054,60.2319795751,59.84,41.8882755656,42.22,3422.1578541497,2601.9471243392,0.0290223857,29684.9490750364,76.0323525458
Case 22,4.534964062594906,0.0357544873,9.16733246540765,0.072,61.290653104,60.72,40.5496051796,41.0,3870.0388716369,2942.4760291047,0.0239824314,35887.1861234042,76.0322086341
Case 23,3.886892050692794,0.0306317616,8.53071215530989,0.067,59.4253910773,59.53,40.6647440757,41.17,3365.3001103924,2526.7012050549,0.0195854398,44583.8945851255,75.0810068098
Case 24,1.3533759320739518,0.0106512472,3.43774967452787,0.027,38.8535710554,38.67,19.4458691941,19.8,1805.5924726363,903.8355823193,0.014533793,91977.9293155275,50.0575626016
Case 25,1.2945953331103315,0.0101877432,3.43774967452787,0.027,38.464721169,38.31,19.8448576297,20.18,1729.0242628781,864.8288550839,0.0119461236,112030.4846289792,50.0183180567
Case 26,1.3847154781666966,0.010897885,4.32901810866472,0.034,39.9652981504,39.83,21.8143821226,22.22,1764.1497135947,923.2877206925,0.0106068576,120411.4193942144,52.3361318814
Case 27,4.296953959533387,0.0338717152,7.76676778319259,0.061,60.7870687895,60.39,41.083164605,41.47,3670.2119363669,2788.8729147905,0.0239356338,35996.2454703576,75.9866994916
Case 28,4.265260911153749,0.0336211804,8.02141590723169,0.063,60.817704995,60.96,41.4125855661,41.97,3635.167702647,2767.8413673838,0.029148392,29497.9196669927,76.1406788845
Case 29,4.320300569206235,0.0340559705,9.04000840338809,0.071,60.8487370141,61.04,40.9214608703,41.44,3692.1524512865,2804.1015100686,0.0202315721,42607.6564441076,75.9476090726
Case 30,1.3939887827085715,0.0109709859,8.78536027934899,0.069,40.0543255706,39.98,21.8453532846,22.25,1772.8953147228,929.3833135061,0.0106256734,119991.4085719611,52.4217818045
Case 31,1.4038285680332079,0.0110488024,3.69239779856697,0.029,39.5609921659,39.19,20.2285631468,20.64,1833.5481419592,936.7189270387,0.0122041092,107252.0910255479,51.0877737869
Case 32,1.381155266982465,0.0108701335,3.69239779856697,0.029,39.4845880448,39.18,20.5948960898,21.07,1798.7090598012,921.5907038477,0.0148750658,87745.223901954,51.2362296073
Case 33,1.4691028751200381,0.0115634774,3.31042561250832,0.026,40.3923264712,40.31,21.0871463976,21.39,1875.2612537299,979.2971613233,0.0151760397,84306.8961393516,52.2219055812
Case 34,1.3166386562793873,0.0103615046,4.20169404664517,0.033,38.6413350949,38.42,19.7782331355,20.25,1754.8815298637,879.4154290887,0.0119690121,111587.076661923,50.112524072
Case 35,1.2666592503211627,0.0099673101,3.56507373654742,0.028,38.9290121531,38.85,21.7706974123,22.04,1640.6079963902,845.4346826002,0.0104319097,124466.5602998274,51.5317909251
Case 36,4.160579645953675,0.0327961937,8.78536027934899,0.069,60.0371021212,60.21,40.1530821978,40.75,3595.1910325383,2703.4289991242,0.0232415752,37489.7188854302,75.1956982162
Case 37,9.682082503775678,0.0763175937,12.6050821399355,0.099,79.5918251207,79.39,62.9700314303,63.19,6747.6270162703,6096.9568119376,0.04368394,16269.9358609049,90.3570514084
Case 38,10.450526084752761,0.0824160306,15.5335355663852,0.122,79.5370208129,80.4,60.9255487905,61.49,7329.8264891369,6588.5006640999,0.0497571083,14360.3551607398,89.8861749847
Case 39,10.700664950491912,0.0843998838,11.4591655817596,0.09,79.8082560792,80.35,60.8850503799,61.13,7497.0873035602,6744.3511316682,0.0602756284,11841.525075766,89.9596184303
Case 40,10.634038142349125,0.0838655839,15.1515633803265,0.119,79.8114700799,79.57,61.0811827629,61.42,7445.9794428923,6701.6526641656,0.0502090616,14208.6078090861,90.0036417716
Case 41,10.984853344789869,0.0866388465,11.4591655817596,0.09,80.2509118681,79.98,61.1819062522,61.16,7674.4862492538,6919.0990042148,0.0508121043,14010.014023339,90.1571620496
Case 42,10.235600606490145,0.080708965,16.424804000522,0.129,79.5240438026,79.98,61.2580431432,61.85,7172.905162386,6452.1719095791,0.0423220481,16871.9198566307,89.9520035956
