Case,Permeate flux (L/m²h),Distillate flow rate (L/h),Exp. permeate flux (L/m²h),Exp. distillate flow rate (L/h),Hot feedwater outlet temperature (°C),Exp. hot feedwater outlet temperature (°C),Cold feedwater outlet temperature (°C),Exp. cold feedwater outlet temperature (°C),Heat flux (W/m²),Vapor heat flux (W/m²),GOR,STECth,Thermal efficiency (%)
Case 1,6.967051813845879,0.0548889937,31.8310155048877,0.25,59.7344393137,60.66,41.7859838666,41.54,6092.0575554164,4530.2631590378,0.0515751183,17112.0110828891,74.3634333364
Case 2,4.39150579491755,0.0345801289,5.85690685289933,0.046,49.4301901568,49.64,31.25940139,31.42,4581.3186763584,2895.6807044371,0.0319521351,32822.4096672742,63.2062711415
Case 3,4.749956275772504,0.0374086325,5.98423091491888,0.047,50.4791959241,50.78,31.4203894265,31.56,4892.0868074619,3128.7740404821,0.0325274675,31833.4403573676,63.9558160683
Case 4,2.6530613336455016,0.020876527,4.45634217068427,0.035,39.8815355978,39.91,22.5378759883,22.71,3429.049155252,1769.9076440303,0.0213439033,60723.5872076752,51.6151143917
Case 5,7.109822576779873,0.0560122386,8.91268434136855,0.07,59.6354945942,60.04,41.1947839521,41.34,6237.5292518285,4624.1342358438,0.0363110449,24381.2513536631,74.1340689423
Case 6,2.7706718977608107,0.0218044755,4.71099029472337,0.037,39.699982529,39.82,20.5491337667,20.74,3681.8850122563,1849.7097213037,0.0244367813,54508.0238296846,50.2381175715
Case 7,2.767088981001375,0.021776901,3.56507373654742,0.028,39.6541689985,39.75,20.3947342336,20.52,3691.2904172317,1847.5594316369,0.029501209,45322.732316183,50.0518578276
Case 8,6.841742503334767,0.0539004946,34.8867929933569,0.274,58.9428791237,59.41,40.657386272,40.99,6062.1119033226,4454.1418840227,0.0417895256,21390.2864149819,73.4750851693
Case 9,4.652522298641244,0.036639551,6.36620310097753,0.05,49.8515236788,50.17,30.5580805585,30.71,4857.6489698123,3067.1600829271,0.0271498063,38653.3634078885,63.1408342181
Case 10,4.439036079885462,0.034956121,5.60225872886023,0.044,49.6744279343,49.53,31.4050803276,31.62,4614.5774767675,2926.3194530018,0.0387016848,27004.0728425569,63.4146781094
Case 11,5.708866613078586,0.0449682331,7.38479559713394,0.058,54.7698248801,55.05,36.2600801857,36.45,5411.2196069587,3738.2888719658,0.0369572068,25829.4249856304,69.0840354577
Case 12,3.2646935283730114,0.0256968409,5.85690685289933,0.046,43.4610553892,43.54,25.4083927234,25.66,3880.4598081172,2168.8587620643,0.0232002295,51413.8884280347,55.8917981196
Case 13,7.143701281867643,0.0562842526,7.38479559713394,0.058,60.0417200184,60.57,41.7587366236,41.72,6232.9976996797,4643.8431630053,0.0517994543,17001.1374667811,74.5041693701
Case 14,4.546147784149095,0.0358003773,5.85690685289933,0.046,49.8720855975,49.78,31.287499758,31.42,4718.6475976721,2996.3763575949,0.032176746,32429.1153024127,63.5007445581
Case 15,5.563603975419354,0.0438226459,6.11155497693843,0.048,54.6177260309,55.18,36.532168447,36.58,5272.1567420164,3643.4565593221,0.0445078107,21443.7776407522,69.1075159106
Case 16,3.5869839026444024,0.0282389228,5.47493466684068,0.043,44.7228545086,44.91,25.5564375064,25.78,4187.718146271,2380.1230594655,0.0277448651,42230.6984513075,56.835798789
Case 17,5.719638174819599,0.0450510287,7.89409184521214,0.062,54.7682982923,54.74,36.2716221231,36.37,5416.0698916777,3745.0637958053,0.0315114786,30263.9932251106,69.1472575263
Case 18,3.6045673866533554,0.0283783869,5.34761060482113,0.042,44.9649070491,45.17,25.9742591181,26.14,4181.1198680358,2391.0785121034,0.0338257381,34418.9138355697,57.1875140529
