Case,Permeate flux (L/m²h),Distillate flow rate (L/h),Exp. permeate flux (L/m²h),Exp. distillate flow rate (L/h),Hot feedwater outlet temperature (°C),Exp. hot feedwater outlet temperature (°C),Cold feedwater outlet temperature (°C),Exp. cold feedwater outlet temperature (°C),Heat flux (W/m²),Vapor heat flux (W/m²),GOR,STECth,Thermal efficiency (%)
Case 1,4.484029432838072,0.035338955,31.8310155048877,0.25,60.0930401795,60.66,41.427232637,41.54,3852.7664242363,2912.370312855,0.0320106753,27080.1209391999,75.5916656285
Case 2,2.651219322617969,0.0208809865,5.85690685289933,0.046,49.6746791487,49.64,31.0150757834,31.42,2713.9294810615,1746.6924934431,0.01868485,55060.9906573143,64.3602755942
Case 3,2.8773105394581338,0.0226656319,5.98423091491888,0.047,50.7392075269,50.78,31.1605428738,31.56,2907.090837327,1893.5713333875,0.0190775169,53230.2490597799,65.1362973965
Case 4,1.545079708158626,0.0121594826,4.45634217068427,0.035,40.0438351883,39.91,22.3758256752,22.71,1958.5396219071,1030.0848013075,0.0120802609,105207.3198043701,52.5945347128
Case 5,4.47007813075044,0.035228302,8.91268434136855,0.07,59.9004082311,60.04,40.929766512,41.34,3858.3118766573,2904.507071465,0.0221539515,39300.0421113766,75.2792196255
Case 6,1.6202939947320927,0.0127528777,4.71099029472337,0.037,39.9050472531,39.82,20.3444413149,20.74,2108.965873157,1080.8987052581,0.0138526938,94165.9195242759,51.2525460471
Case 7,1.6329478217634963,0.0128527935,3.56507373654742,0.028,39.9018841536,39.75,20.1474749976,20.52,2130.4402430169,1089.37136105,0.0168169936,77746.5758233096,51.1336267056
Case 8,4.316526897573989,0.0340177184,34.8867929933569,0.274,59.245537145,59.41,40.3546301737,40.99,3760.436341865,2807.3335923959,0.0255180085,34427.7902271441,74.6544639286
Case 9,2.7940693082589854,0.022008812,6.36620310097753,0.05,50.0726369314,50.17,30.3371272558,30.71,2862.970478313,1840.4439292689,0.015825007,65063.2939078583,64.2844186907
Case 10,2.714884981439703,0.0213835982,5.60225872886023,0.044,49.969006452,49.53,31.1106942402,31.62,2766.5607673499,1788.0017922417,0.0228486401,44825.469354245,64.6290446009
Case 11,3.5254751530017088,0.0277775803,7.38479559713394,0.058,55.0492525324,55.05,35.980689113,36.45,3282.1271600689,2306.3808061999,0.0220948661,42419.7817179764,70.2709155897
Case 12,1.9200331987235812,0.0151151737,5.85690685289933,0.046,43.6425536519,43.54,25.2271248794,25.66,2238.5271405647,1274.646770893,0.0132534804,88262.3285356842,56.9413141255
Case 13,4.603928528476677,0.0362864501,7.38479559713394,0.058,60.4078931168,60.57,41.3924016442,41.72,3946.767021795,2989.3412707475,0.0321882826,26869.2383208054,75.7415184185
Case 14,2.7483471247227134,0.0216476467,5.85690685289933,0.046,50.1234979661,49.78,31.0362529273,31.42,2798.7669347901,1809.8706291087,0.0188383993,54329.8221879552,64.6667147096
Case 15,3.481574421043745,0.0274307742,6.11155497693843,0.048,54.942720891,55.18,36.2072132789,36.58,3237.8989482075,2277.6171620916,0.0268731235,34843.7507282814,70.3424411485
Case 16,2.1292571491383434,0.0167656886,5.47493466684068,0.043,44.9516553984,44.91,25.3279279398,25.78,2436.5293964017,1411.7119879835,0.0159576327,71952.5898774429,57.9394605322
Case 17,3.50936346601654,0.02764951,7.89409184521214,0.062,55.007178547,54.74,36.0327729093,36.37,3265.8669549118,2295.8258330458,0.0187665747,49925.1662714685,70.2975921782
Case 18,2.1636827332413633,0.017037346,5.34761060482113,0.042,45.2391709316,45.17,25.7003323109,26.14,2456.9521231202,1433.9575448638,0.0196036533,58126.8500276303,58.3632676994
Case 19,2.168279337706801,0.0170736955,4.07436998462562,0.032,45.2075108272,45.26,25.5319824208,25.83,2467.4202486007,1437.1150034441,0.0195510823,58404.869403054,58.2436252705
Case 20,3.77921236114777,0.0297827284,8.78536027934899,0.069,55.5784161932,55.33,35.0115166252,35.56,3523.8223320151,2471.8793822597,0.0186880144,50215.8969062238,70.1476734454
Case 21,4.43721788888224,0.034967765,6.87549934905573,0.054,60.1717540402,59.84,41.9485282173,42.22,3798.2320093257,2881.113218215,0.032314806,26729.9440984208,75.8540608141
Case 22,5.004560730547369,0.039454545,9.16733246540765,0.072,61.2361598203,60.72,40.6041253459,41.0,4284.0711542502,3247.9978193351,0.026616437,32438.670878064,75.8156833159
Case 23,4.317977209805825,0.0340271966,8.53071215530989,0.067,59.3828174997,59.53,40.7073326689,41.17,3747.7540252871,2807.390001153,0.021859896,40046.1295540067,74.9085981153
Case 24,1.5210226189667329,0.0119704521,3.43774967452787,0.027,38.8170762413,38.67,19.4822938497,19.8,2035.6503160794,1015.9202218304,0.0164159934,81690.4080392063,49.9064212456
Case 25,1.4530595474643782,0.011434584,3.43774967452787,0.027,38.4362800437,38.31,19.87324629,20.18,1947.3123377179,970.8187127416,0.0134746304,99664.4526949187,49.8542885975
Case 26,1.5577274492558721,0.0122592925,4.32901810866472,0.034,39.9403362694,39.83,21.8393035002,22.22,1990.3246409706,1038.7557584099,0.0119830139,106894.4823926812,52.1902677095
Case 27,4.743721518953783,0.0373913478,7.76676778319259,0.061,60.7352498438,60.39,41.1350079157,41.47,4064.0202568908,3079.5836484297,0.0265721163,32524.6027716826,75.7767789963
Case 28,4.720231979639236,0.0372053014,8.02141590723169,0.063,60.7539078102,60.96,41.4764135337,41.97,4033.4319255544,3063.6841542841,0.0324454356,26571.571529506,75.9572545374
Case 29,4.794060143228707,0.0377882513,9.04000840338809,0.071,60.8024877583,61.04,40.9677318674,41.44,4107.351700249,3112.1508626177,0.0225580113,38312.4437549795,75.7702551362
Case 30,1.5681067401790945,0.0123411096,8.78536027934899,0.069,40.0292457186,39.98,21.8703924653,22.25,2000.1305942936,1045.5790602416,0.0120039301,106524.9939274041,52.2755395685
Case 31,1.574898856377219,0.0123949918,3.69239779856697,0.029,39.5309325024,39.19,20.2585676459,20.64,2064.1520240053,1051.0169985744,0.013760125,95457.4264717644,50.9176158709
Case 32,1.5517746046696044,0.0122127506,3.69239779856697,0.029,39.448338315,39.18,20.6310813916,21.07,2027.1617779546,1035.5626790446,0.0167960611,77951.798919608,51.0843628913
Case 33,1.6499531506230372,0.0129867307,3.31042561250832,0.026,40.3546407358,40.31,21.1247665308,21.39,2112.6723939975,1099.9880733039,0.0171302548,74923.6972542739,52.0661923935
Case 34,1.4776933235933738,0.0116287613,4.20169404664517,0.033,38.6124791406,38.42,19.8070353332,20.25,1976.3369128937,987.1229966075,0.0134998138,99277.0315378447,49.9471011328
Case 35,1.4254366858814598,0.0112165403,3.56507373654742,0.028,38.9057471822,38.85,21.7939254862,22.04,1851.4998714122,951.5038899058,0.011788684,110456.3276720978,51.3909779092
Case 36,4.597210579812229,0.0362359956,8.78536027934899,0.069,59.9858786202,60.21,40.2043251353,40.75,3984.6081101147,2987.8507888841,0.0258240032,33845.9068531848,74.9848092037
Case 37,10.430786124196946,0.0822100601,12.6050821399355,0.099,79.5316321119,79.39,63.0303648523,63.19,7283.2925150875,6570.1356459251,0.0473158731,15051.6805211006,90.2083176299
Case 38,11.165019561667041,0.0880414706,15.5335355663852,0.122,79.467794464,80.4,60.9949481729,61.49,7851.2830514827,7041.8455852337,0.0534861939,13395.4983531307,89.6903797642
Case 39,11.487111629445462,0.0905920658,11.4591655817596,0.09,79.7162868417,80.35,60.9772542184,61.13,8066.0310662325,7242.4037543302,0.0651477786,10981.9799907839,89.7889395027
Case 40,11.353901013215037,0.0895332807,15.1515633803265,0.119,79.7417940243,79.57,61.1510357048,61.42,7970.751976514,7158.299413302,0.0539384741,13262.3566642476,89.8070776057
Case 41,11.717257509326124,0.0924053872,11.4591655817596,0.09,80.1800867806,79.98,61.2529165008,61.16,8207.7944455608,7383.5870840004,0.0545356001,13089.6293082874,89.9582358327
Case 42,11.038204045180953,0.0870273562,16.424804000522,0.129,79.4590745516,79.98,61.3231728953,61.85,7751.0748491023,6960.0484243986,0.0458899089,15593.9157202611,89.7946228091
