Case,Permeate flux (L/m²h),Distillate flow rate (L/h),Exp. permeate flux (L/m²h),Exp. distillate flow rate (L/h),Hot feedwater outlet temperature (°C),Exp. hot feedwater outlet temperature (°C),Cold feedwater outlet temperature (°C),Exp. cold feedwater outlet temperature (°C),Heat flux (W/m²),Vapor heat flux (W/m²),GOR,STECth,Thermal efficiency (%)
Case 1,6.594476336778168,0.0519564801,31.8310155048877,0.25,59.789199092,60.66,41.7312015172,41.54,5750.1128886616,4287.3172836921,0.0485397469,18129.9322084768,74.5605758827
Case 2,4.120195820478014,0.032444864,5.85690685289933,0.046,49.4690299375,49.64,31.2205872792,31.42,4284.6637681984,2716.4275305717,0.0298214478,35054.6211716794,63.3988494204
Case 3,4.458723786166505,0.035116304,5.98423091491888,0.047,50.5204109518,50.78,31.3792002699,31.56,4577.4414004387,2936.5322048657,0.0303718685,33982.1230695767,64.152262104
Case 4,2.475229997256866,0.0194775989,4.45634217068427,0.035,39.9080597664,39.91,22.5113922446,22.71,3188.7272755707,1651.1013678945,0.0198183956,65181.9736716848,51.7793221309
Case 5,6.711321565989825,0.0528756934,8.91268434136855,0.07,59.6761949778,60.04,41.1540678165,41.34,5871.9979084653,4364.3328581738,0.0341105822,25882.2296715681,74.324496129
Case 6,2.5866151152768344,0.0203564181,4.71099029472337,0.037,39.7334247422,39.82,20.5157517298,20.74,3425.3705320188,1726.6243475802,0.0226956582,58484.5448111479,50.4069364596
Case 7,2.5858127413261376,0.0203506728,3.56507373654742,0.028,39.6945245799,39.75,20.3544521427,20.52,3437.0093729603,1726.2966671667,0.0274132712,48597.3109675803,50.2267081594
Case 8,6.461576746633855,0.0509081297,34.8867929933569,0.274,58.9892837176,59.41,40.6109668542,40.99,5709.2141535966,4206.01233015,0.0392613171,22702.4416849007,73.6706001386
Case 9,4.361470824643704,0.0343487217,6.36620310097753,0.05,49.8867966556,50.17,30.5228328583,30.71,4539.4494923222,2874.9110587646,0.0253263339,41304.3117514363,63.3317115573
Case 10,4.170755494309518,0.0328446495,5.60225872886023,0.044,49.7211185429,49.53,31.3584198181,31.62,4321.66805204,2749.0745201197,0.0361563045,28810.3981445835,63.6114224188
Case 11,5.374537695191773,0.0423366282,7.38479559713394,0.058,54.8134158138,55.05,36.2164948921,36.45,5079.0813840218,3518.858072901,0.0346103001,27496.920858226,69.2813878504
Case 12,3.0505742860954768,0.0240120943,5.85690685289933,0.046,43.4904899291,43.54,25.3789952427,25.66,3614.1784927907,2026.3829242929,0.021573867,55108.5137272521,56.0675940144
Case 13,6.76287048196947,0.0532866436,7.38479559713394,0.058,60.0976013838,60.57,41.7028309742,41.72,5884.1022387957,4395.5658005164,0.0487586132,18009.3465261909,74.7024035635
Case 14,4.2661462758448465,0.0335965903,5.85690685289933,0.046,49.9119906998,49.78,31.24762064,31.42,4413.9176616174,2811.4479644176,0.0300363755,34627.8429319617,63.6950704556
