Case,Permeate flux (L/m²h),Distillate flow rate (L/h),Exp. permeate flux (L/m²h),Exp. distillate flow rate (L/h),Hot feedwater outlet temperature (°C),Exp. hot feedwater outlet temperature (°C),Cold feedwater outlet temperature (°C),Exp. cold feedwater outlet temperature (°C),Heat flux (W/m²),Vapor heat flux (W/m²),GOR,STECth,Thermal efficiency (%)
Case 17,4.347370675008182,0.0342484109,7.89409184521214,0.062,54.9177353824,54.74,36.1222043656,36.37,4070.9633929474,2845.0035704587,0.0235015783,40120.0485843603,69.8852653745
Case 18,2.6975453067171107,0.021239809,5.34761060482113,0.042,45.1388422284,45.17,25.8005366055,26.14,3087.6709448549,1788.427980938,0.0247606355,46392.2195363806,57.9215859746
Case 19,2.7034652241154427,0.0212866158,4.07436998462562,0.032,45.1067037985,45.26,25.6326624641,25.83,3101.1542896794,1792.4951090719,0.024696576,46611.3602206539,57.8009006207
Case 20,4.679963043725707,0.0368771735,8.78536027934899,0.069,55.4819384952,55.33,35.1079781308,35.56,4392.0041726702,3062.1500748213,0.0233999808,40369.495086222,69.721019253
Case 21,5.3766288388478625,0.0423654594,6.87549934905573,0.054,60.038120153,59.84,42.0822216219,42.22,4632.6931805829,3492.7502333392,0.0396960308,21906.5519727123,75.3935151151
Case 22,6.111298351220019,0.0481729185,9.16733246540765,0.072,61.1071199524,60.72,40.7332282934,41.0,5264.4902861883,3968.0330932206,0.0329080541,26406.9052374645,75.3735476278
Case 23,5.303457071195679,0.0417878005,8.53071215530989,0.067,59.284598809,59.53,40.8055857333,41.17,4630.0836482467,3449.3629688643,0.027146017,32441.9305690331,74.4989341644
Case 24,1.9111111427658858,0.0150398552,3.43774967452787,0.027,38.7308905438,38.67,19.5683149036,19.8,2578.9535197194,1276.8842165593,0.0208888226,64734.6650782948,49.5117188734
Case 25,1.835454653117192,0.0144431961,3.43774967452787,0.027,38.3671730868,38.31,19.9422264304,20.18,2477.7153558355,1226.622605637,0.0172079499,78614.9591483396,49.5061954049
Case 26,1.9686060926468958,0.0154922284,4.32901810866472,0.034,39.8804507198,39.83,21.8990923303,22.22,2532.9372592956,1313.0666649027,0.0152998562,84312.114086327,51.8396837539
Case 27,5.796196865483107,0.0456810518,7.76676778319259,0.061,60.6125849548,60.39,41.2577299571,41.47,4996.2297120237,3764.4176387332,0.0328675324,26460.9216546502,75.3451673704
Case 28,5.714464890578955,0.0450359072,8.02141590723169,0.063,60.6125061471,60.96,41.6178826848,41.97,4916.1472405023,3710.8817591864,0.0398288413,21796.3384645763,75.4835357374
Case 29,5.873947544232215,0.0462937901,9.04000840338809,0.071,60.6960848404,61.04,41.0741844111,41.44,5062.5700182782,3814.6808468578,0.027950763,31110.0644918401,75.3506782738
Case 30,1.9815704918064587,0.0155944164,8.78536027934899,0.069,39.9690825746,39.98,21.9304584983,22.25,2545.2379038065,1321.5914708499,0.0153255573,84026.7921740785,51.9240841445
Case 31,1.987458832796168,0.015641307,3.69239779856697,0.029,39.4579389566,39.19,20.3314279467,20.64,2624.1260204272,1326.7031847439,0.0175585712,75363.9774183856,50.5579066865
Case 32,1.948313994652124,0.0153329505,3.69239779856697,0.029,39.3628533736,39.18,20.7164153714,21.07,2565.9055300407,1300.6074770657,0.0213551257,61812.5938496663,50.6880499628
Case 33,2.0695888794988666,0.0162889493,3.31042561250832,0.026,40.2658985824,40.31,21.2133552108,21.39,2671.7280372504,1380.2093750608,0.0217618856,59464.6937208883,51.6598005417
Case 34,1.8663245251924299,0.0146865166,4.20169404664517,0.033,38.5423668619,38.42,19.8770176795,20.25,2514.4156842583,1247.0630014629,0.0172386259,78319.3479254292,49.5965328752
Case 35,1.8029041891401785,0.0141862016,3.56507373654742,0.028,38.8498846205,38.85,21.8496998597,22.04,2357.8826602286,1203.7441504266,0.0150614244,87053.2123783428,51.0519107134
Case 36,5.626980875771237,0.0443469745,8.78536027934899,0.069,59.8644695585,60.21,40.3257798526,40.75,4907.5916393276,3658.6449695875,0.0319971482,27490.9362874455,74.5507213817
Case 37,12.011111786214569,0.0946429043,12.6050821399355,0.099,79.4035945485,79.39,63.1586976756,63.19,8422.6952238587,7569.4806722251,0.0551259586,12978.1436166905,89.8700531248
Case 38,12.841394274118384,0.1012352115,15.5335355663852,0.122,79.3055651731,80.4,61.1575778663,61.49,9073.2695904143,8104.0978011628,0.0623296055,11553.2975274071,89.318384298
Case 39,13.006179612162018,0.1025478114,11.4591655817596,0.09,79.5356772623,80.35,61.1583177962,61.13,9183.2960156591,8206.6991819419,0.0748469327,9614.6179513872,89.3655085053
Case 40,13.04485509575719,0.102841678,15.1515633803265,0.119,79.578355502,79.57,61.3148839304,61.42,9201.6788621244,8229.4830338531,0.0627911069,11450.5259843204,89.434582071
Case 41,13.441633158889221,0.1059769628,11.4591655817596,0.09,80.0136382424,79.98,61.4197947218,61.16,9461.1119608845,8475.5647881968,0.0633908381,11318.8949930687,89.5831782061
Case 42,12.739289888393742,0.1004135404,16.424804000522,0.129,79.320278451,79.98,61.4623080168,61.85,8986.215230059,8037.151392468,0.0535943172,13416.8300019207,89.438670082
