Case,Permeate flux (L/m²h),Distillate flow rate (L/h),Exp. permeate flux (L/m²h),Exp. distillate flow rate (L/h),Hot feedwater outlet temperature (°C),Exp. hot feedwater outlet temperature (°C),Cold feedwater outlet temperature (°C),Exp. cold feedwater outlet temperature (°C),Heat flux (W/m²),Vapor heat flux (W/m²),GOR,STECth,Thermal efficiency (%)
Case 1,5.435647179954469,0.0428332283,31.8310155048877,0.25,59.9570942576,60.66,41.5632362717,41.54,4701.6910656083,3532.1661167994,0.039341371,22185.2293673089,75.1254403471
Case 2,3.304806926055768,0.0260266233,5.85690685289933,0.046,49.5840779355,49.64,31.1056159518,31.42,3405.9358985862,2177.9875583999,0.0235613984,43965.4184877058,63.94681589
Case 3,3.5819006771921966,0.0282136023,5.98423091491888,0.047,50.6426915634,50.78,31.2569970611,31.56,3643.9201256312,2358.0666344172,0.0240290484,42557.0430676011,64.712357931
Case 4,1.9522682671522273,0.0153633078,4.45634217068427,0.035,39.9849760191,39.91,22.4345939116,22.71,2491.8299452333,1301.8631342814,0.0154203037,82994.5671152943,52.2452640387
Case 5,5.4851312623677115,0.0432221666,8.91268434136855,0.07,59.7997574043,60.04,41.0304571327,41.34,4762.2732290595,3565.3791992288,0.0274870177,31866.0917759108,74.8671701042
Case 6,2.0440760882225173,0.0160876376,4.71099029472337,0.037,39.830557072,39.82,20.4187953617,20.74,2680.3305398821,1363.9835836981,0.0176719942,74367.2894267516,50.8886334503
Case 7,2.0494195686666536,0.0161301186,3.56507373654742,0.028,39.8121046118,39.75,20.2370879725,20.52,2696.1383263617,1367.6707963991,0.0213778625,61674.2545089487,50.7270262444
Case 8,5.289472596343621,0.0416801075,34.8867929933569,0.274,59.1303706948,59.41,40.4698343318,40.99,4636.268400953,3441.4584360196,0.0316493846,27932.4309352479,74.2290596315
Case 9,3.4897195960050076,0.027486184,6.36620310097753,0.05,49.9909537749,50.17,30.4187509081,30.71,3599.8410877869,2299.3901487295,0.0199793971,51886.3312349072,63.8747681538
Case 10,3.3599080552762546,0.0264619766,5.60225872886023,0.044,49.8601365846,49.53,31.2194922891,31.62,3449.5490927049,2213.6770208132,0.0286509147,36019.3969106625,64.1729385877
Case 11,4.3563981809556145,0.0343209756,7.38479559713394,0.058,54.9442814538,55.05,36.085646332,36.45,4081.9551862267,2851.0065650899,0.0276279258,34148.2771653072,69.8441417169
Case 12,2.4171460872659023,0.0190275665,5.85690685289933,0.046,43.5763420891,43.54,25.2932518572,25.66,2837.5126010049,1605.0861230687,0.0168596248,69866.268785652,56.5666606203
Case 13,5.577685757782132,0.043955479,7.38479559713394,0.058,60.269022952,60.57,41.5313339675,41.72,4813.821650361,3623.4109523138,0.0395391591,22025.1920141593,75.2709845834
Case 14,3.424034865809045,0.0269676195,5.85690685289933,0.046,50.0302691558,49.78,31.1294198454,31.42,3510.6987776259,2255.5720333867,0.0237441383,43403.882568884,64.248520772
Case 15,4.269248971850358,0.0336333145,6.11155497693843,0.048,54.8211849455,55.18,36.3287342301,36.58,3998.6390986309,2794.1206979869,0.0333977408,28239.3357173275,69.8767913049
Case 16,2.6711679778344366,0.0210313732,5.47493466684068,0.043,44.867765962,44.91,25.4117097724,25.78,3078.5991630651,1771.5387355319,0.0202478801,57118.4999658079,57.5436632604
