Case,Permeate flux (L/m²h),Distillate flow rate (L/h),Exp. permeate flux (L/m²h),Exp. distillate flow rate (L/h),Hot feedwater outlet temperature (°C),Exp. hot feedwater outlet temperature (°C),Cold feedwater outlet temperature (°C),Exp. cold feedwater outlet temperature (°C),Heat flux (W/m²),Vapor heat flux (W/m²),GOR,STECth,Thermal efficiency (%)
Case 1,9.004486076685966,0.0709189036,31.8310155048877,0.25,59.4259102135,60.66,42.0946375127,41.54,8018.6253619322,5860.2341982799,0.0690106645,13029.129345918,73.0827783288
Case 2,5.962324339871068,0.0469393856,5.85690685289933,0.046,49.1985108632,49.64,31.4909298043,31.42,6350.861290913,3934.4786752995,0.0448470522,23882.9032120171,61.9518911699
Case 3,6.431301472436482,0.0506388072,5.98423091491888,0.047,50.2339879982,50.78,31.6654457036,31.56,6764.0569137609,4239.7175675798,0.0455408712,23224.9450497897,62.6800989648
Case 4,3.7228810600946916,0.0292909544,4.45634217068427,0.035,39.717346567,39.91,22.7018175108,22.71,4916.6871204141,2485.1827502755,0.0308895796,42879.9044445132,50.545879561
Case 5,9.327965767298817,0.073463524,8.91268434136855,0.07,59.4024934639,60.04,41.4278738905,41.34,8330.0977758598,6071.6326916545,0.0490905367,18364.0711642825,72.8878922556
Case 6,3.8735458097748934,0.0304797797,4.71099029472337,0.037,39.4935503338,39.82,20.7551991174,20.74,5265.3058096378,2587.8950328609,0.0353170479,38585.1867479443,49.1499473425
Case 7,3.845875309959375,0.0302630445,3.56507373654742,0.028,39.4064521135,39.75,20.6420066922,20.52,5252.1665701366,2569.896299827,0.0425060126,32208.1132698939,48.9302131893
Case 8,8.950903553108654,0.070495459,34.8867929933569,0.274,58.6778333382,59.41,40.922515245,40.99,8077.7102970562,5832.1659126627,0.0564685828,16128.7011473335,72.200731373
Case 9,6.347961260303698,0.0499802004,6.36620310097753,0.05,49.6399621493,50.17,30.7694923914,30.71,6766.1528360259,4188.0876085222,0.0382242116,28035.0226431845,61.8976205536
Case 10,5.9772179543123105,0.047058788,5.60225872886023,0.044,49.3983714397,49.53,31.6809619513,31.62,6346.3885967277,3943.5633527141,0.054010365,19768.8962992702,62.1386997126
Case 11,7.601884600940899,0.059863566,7.38479559713394,0.058,54.5156072168,55.05,36.5142654454,36.45,7348.2006208918,4981.9718618208,0.0508589204,19146.9362649643,67.7985280867
Case 12,4.539210266460605,0.0357229792,5.85690685289933,0.046,43.2807055682,43.54,25.5885180899,25.66,5512.0082352884,3017.6219682739,0.03327937,36624.3136363267,54.7463254673
Case 13,9.224569689535471,0.0726563847,7.38479559713394,0.058,59.7271028082,60.57,42.0734877315,41.72,8197.2828623839,6001.9133326568,0.0692539094,12956.17396824,73.2183265286
Case 14,6.165443369294614,0.0485416255,5.85690685289933,0.046,49.6342933074,49.78,31.5251394831,31.42,6534.5116030803,4066.8694241031,0.04511776,23622.1011129614,62.2367771478
Case 15,7.350762747746808,0.0578844821,6.11155497693843,0.048,54.3249357338,55.18,36.8249240927,36.58,7104.808314789,4817.9078946477,0.0609214477,15984.3469249709,67.8119335693
Case 16,4.945210481198183,0.0389248251,5.47493466684068,0.043,44.4989458281,44.91,25.7800676872,25.78,5901.4670387381,3283.8816789651,0.0395478647,30290.6401356472,55.6451752998
Case 17,7.657890637381136,0.0603014304,7.89409184521214,0.062,54.5488521222,54.74,36.4910404239,36.37,7391.3218424557,5018.0381312089,0.0435036092,22351.4091465032,67.8909434357
Case 18,4.93349230894935,0.0388341376,5.34761060482113,0.042,44.6989703334,45.17,26.2398780731,26.14,5852.9425664691,3275.2966869691,0.0480000128,24812.9670015068,55.9598296032
Case 19,4.945988389625211,0.03893286,4.07436998462562,0.032,44.664486527,45.26,26.0743379904,25.83,5881.2064188964,3283.8823001321,0.0478961014,24922.6796587139,55.8368822013
Case 20,8.238592224775953,0.0648874423,8.78536027934899,0.069,55.0836429561,55.33,35.5062083322,35.56,7976.1342013581,5398.2692250515,0.0433227516,22506.9183563051,67.6802707774
Case 21,8.891309098783548,0.0700234833,6.87549934905573,0.054,59.5173585575,59.84,42.6032065837,42.22,7884.445951421,5784.6246198681,0.0694951245,12886.2149795865,73.3675473903
Case 22,10.22516322146043,0.0805545171,9.16733246540765,0.072,60.6059555027,60.72,41.2346300291,41.0,9072.1377733725,6649.88125163,0.058091698,15417.8082892175,73.3000469983
Case 23,9.048200501277803,0.0712564639,8.53071215530989,0.067,58.8955101018,59.53,41.1948069405,41.17,8125.3289527045,5892.9105885586,0.0486349174,18637.2010953141,72.5251940304
Case 24,3.601733335867703,0.0283391109,3.43774967452787,0.027,38.3397456586,38.67,19.9587309728,19.8,5044.7054139373,2409.5141363943,0.041693218,33671.2913030722,47.7632277543
Case 25,3.49624251492002,0.0275066514,3.43774967452787,0.027,38.0528653456,38.31,20.2559692711,20.18,4890.0814080413,2339.1694082925,0.0345405999,40589.569012047,47.8349788706
Case 26,3.75746672987119,0.0295637509,4.32901810866472,0.034,39.6077419612,39.83,22.1713687086,22.22,5003.9199981979,2508.9206680379,0.0306833476,43524.4086950326,50.139104321
Case 27,9.712214419491648,0.0765019325,7.76676778319259,0.061,60.135990289,60.39,41.7345396952,41.47,8618.0921621511,6317.4025799673,0.0580772157,15425.7699027327,73.3039570836
Case 28,9.430710962900891,0.0742834357,8.02141590723169,0.063,60.0617755648,60.96,42.1688664081,41.97,8354.0472677774,6133.9080556829,0.069620036,12848.1858605859,73.4243877138
Case 29,9.940773192413914,0.0783004928,9.04000840338809,0.071,60.2781972873,61.04,41.492261569,41.44,8814.0215899037,6465.1669769135,0.0496916815,18014.173362504,73.3509319324
Case 30,3.7810266039980673,0.0297493933,8.78536027934899,0.069,39.6951997747,39.98,22.2039073198,22.25,5026.764836737,2524.4287550316,0.0307265009,43390.0622411645,50.2197504165
Case 31,3.771170069309739,0.0296729808,3.69239779856697,0.029,39.1272752503,39.19,20.661500649,20.64,5160.8517043413,2520.3927247235,0.0351284348,39053.8608621049,48.8367593009
Case 32,3.6602211271133136,0.0287996644,3.69239779856697,0.029,38.9765283845,39.18,21.1020751971,21.07,5000.6291148162,2446.445093758,0.0424790233,32244.2156870604,48.9227462703
Case 33,3.8740864554016285,0.0304850095,3.31042561250832,0.026,39.8663235594,40.31,21.6122566985,21.39,5188.9832203149,2586.9458896729,0.0431500559,31124.1466888017,49.8545819062
Case 34,3.5532918634782504,0.0279561931,4.20169404664517,0.033,38.2236009789,38.42,20.1952050026,20.25,4960.8158318921,2377.0159630186,0.0345909698,40456.2671612609,47.9158276293
Case 35,3.4523989677138136,0.0271600303,3.56507373654742,0.028,38.5947166332,38.85,22.1044723206,22.04,4670.9446264926,2307.3692411521,0.0302839045,44799.5827035526,49.3983428548
Case 36,9.48798405563016,0.0747357848,8.78536027934899,0.069,59.3889608513,60.21,40.8014617939,40.75,8522.451496832,6178.5232907145,0.0569066087,15930.0456711995,72.4970191149
