Case,Permeate flux (L/m²h),Distillate flow rate (L/h),Exp. permeate flux (L/m²h),Exp. distillate flow rate (L/h),Hot feedwater outlet temperature (°C),Exp. hot feedwater outlet temperature (°C),Cold feedwater outlet temperature (°C),Exp. cold feedwater outlet temperature (°C),Heat flux (W/m²),Vapor heat flux (W/m²),GOR,STECth,Thermal efficiency (%)
Case 1,9.711099534455675,0.0764754747,31.8310155048877,0.25,59.3139643644,60.66,42.2066274501,41.54,8717.6448699789,6322.086016242,0.0754806116,12010.099124789,72.5205730508
Case 7,4.2602932622434215,0.0335223009,3.56507373654742,0.028,39.307226828,39.75,20.7410571844,20.52,5877.3942491783,2847.7149702022,0.0478078503,28929.9709154656,48.4519984447
Case 10,6.541721698858033,0.0514988036,5.60225872886023,0.044,49.2925106719,49.53,31.7867570628,31.62,7010.4926946876,4317.3432237913,0.060001194,17962.7996724874,61.5840200085
Case 13,9.945613979811505,0.0783265411,7.38479559713394,0.058,59.613034942,60.57,42.18760296,41.72,8909.443906919,6473.1214088344,0.0757260287,11946.2872551658,72.6546064655
Case 15,7.98954047390952,0.0629083756,6.11155497693843,0.048,54.2155167046,55.18,36.934330443,36.58,7789.6845418298,5238.2163747253,0.0671885158,14621.8186065422,67.2455520708
Case 18,5.432790328660085,0.0427613757,5.34761060482113,0.042,44.5946389061,45.17,26.3440872804,26.14,6508.8277800338,3607.9188570789,0.0536675284,22413.3516347595,55.4311617853
Case 19,5.4470275212619255,0.0428738293,4.07436998462562,0.032,44.5595360004,45.26,26.1791636086,25.83,6540.9922706635,3617.700841044,0.0535570462,22510.6165777562,55.3081350863
Case 21,9.585335218287797,0.075480844,6.87549934905573,0.054,59.4079204561,59.84,42.7126898933,42.22,8567.7857565895,6238.0591294892,0.0759757244,11882.8428336121,72.8082996787
Case 24,3.993741156342387,0.0314219397,3.43774967452787,0.027,38.2436395782,38.67,20.0546625964,19.8,5650.5586395862,2672.5816285664,0.0469353981,30216.1795123915,47.2976531885
Case 28,10.163932803529695,0.0800494081,8.02141590723169,0.063,59.9460776977,60.96,42.2846154929,41.97,9076.2646394831,6612.9481127663,0.0760966576,11851.30884236,72.859798336
Case 32,4.055397390202418,0.0319073817,3.69239779856697,0.029,38.8820228707,39.18,21.1964222496,21.07,5596.2342176857,2711.385974669,0.0477802171,28956.8851940194,48.4501875583
Case 33,4.28887067608552,0.0337470913,3.31042561250832,0.026,39.7689380004,40.31,21.7094824441,21.39,5802.5014472789,2864.7986678394,0.0484992655,27972.6157689977,49.3717872174
Case 39,18.542950324194898,0.1460672473,11.4591655817596,0.09,78.8476035073,80.35,61.848039684,61.13,13439.4216841014,11725.3059506505,0.1134708796,6517.277107667,87.2456138832
