Case,Permeate flux (L/m²h),Distillate flow rate (L/h),Exp. permeate flux (L/m²h),Exp. distillate flow rate (L/h),Hot feedwater outlet temperature (°C),Exp. hot feedwater outlet temperature (°C),Cold feedwater outlet temperature (°C),Exp. cold feedwater outlet temperature (°C),Heat flux (W/m²),Vapor heat flux (W/m²),GOR,STECth,Thermal efficiency (%)
Case 1,6.441365781539125,0.0507458149,31.8310155048877,0.25,59.8178109539,60.66,41.7025778048,41.54,5571.4469862351,4184.6771569983,0.0469607248,18590.3315500912,75.1093417444
Case 7,2.474117596169487,0.019471213,3.56507373654742,0.028,39.7231722186,39.75,20.3258568585,20.52,3256.500468914,1651.0125861753,0.0259362181,50865.2047139664,50.698981988
Case 10,4.024276695896726,0.031689761,5.60225872886023,0.044,49.7511086348,49.53,31.3284491384,31.62,4133.5277122173,2651.0677759666,0.0345279346,29907.1684971254,64.1357203952
Case 13,6.609708848989111,0.0520752565,7.38479559713394,0.058,60.126457495,60.57,41.6739622625,41.72,5703.9384217522,4292.7673432333,0.0471952454,18455.6652115996,75.2597069923
Case 15,5.088868380170674,0.040082641,6.11155497693843,0.048,54.6983526624,55.18,36.4515515412,36.58,4767.489045768,3329.9563290382,0.0400766804,23544.0946909215,69.847173157
Case 18,3.2447699485754886,0.0255456587,5.34761060482113,0.042,45.0389152175,45.17,25.9003409699,26.14,3715.8650145261,2151.0482426006,0.0299490766,38378.9762005,57.8882234471
Case 19,3.2522867655693113,0.0256050747,4.07436998462562,0.032,45.0062823441,45.26,25.7329587064,25.83,3732.4648904794,2156.2034370375,0.0298742792,38555.9579773168,57.7688873253
Case 21,6.367657328283012,0.0501620311,6.87549934905573,0.054,59.9013431001,59.84,42.2190586604,42.22,5486.7725013915,4135.5340418904,0.0473608735,18366.8831306759,75.3727995983
Case 24,2.307997042234485,0.018161909,3.43774967452787,0.027,38.6456472865,38.67,19.6533967575,19.8,3116.3177513281,1541.9933156435,0.0253516406,53374.0947964314,49.4812608562
Case 28,6.770895233158793,0.0533478579,8.02141590723169,0.063,60.4670657243,60.96,41.7633914585,41.97,5824.0643881828,4395.7840700884,0.0475340019,18265.6352889526,75.4762272032
Case 32,2.3512945691222362,0.0185029431,3.69239779856697,0.029,39.2783125781,39.18,20.8008082178,21.07,3098.7009293025,1569.5456658464,0.0259042309,50996.1942080108,50.6517312143
Case 33,2.49695603232119,0.0196510016,3.31042561250832,0.026,40.1780166832,40.31,21.3010865161,21.39,3225.3660177791,1665.1350260674,0.0263903803,49069.4264426854,51.6262345696
Case 39,14.923957761133446,0.117600476,11.4591655817596,0.09,79.3191512076,80.35,61.375376402,61.13,10522.6921731058,9410.0066377478,0.0867097634,8292.9991042027,89.4258473302
