Case,Permeate flux (L/m²h),Distillate flow rate (L/h),Exp. permeate flux (L/m²h),Exp. distillate flow rate (L/h),Hot feedwater outlet temperature (°C),Exp. hot feedwater outlet temperature (°C),Cold feedwater outlet temperature (°C),Exp. cold feedwater outlet temperature (°C),Heat flux (W/m²),Vapor heat flux (W/m²),GOR,STECth,Thermal efficiency (%)
Case 1,6.422315353839,0.050596487,31.8310155048877,0.25,59.8199076377,60.66,41.7004802513,41.54,5558.3542940298,4172.5687944521,0.0468452005,18647.2461389389,75.0684208622
Case 7,2.4692379028293763,0.0194328928,3.56507373654742,0.028,39.7238247813,39.75,20.3252054902,20.52,3252.3886708596,1647.8116312769,0.0259026219,50967.1706487762,50.6646590563
Case 10,4.014793447813636,0.0316153455,5.60225872886023,0.044,49.7522407017,49.53,31.3273178056,31.62,4126.4257836572,2644.9401360149,0.0344665671,29979.3346410783,64.0976058867
Case 13,6.58985607648589,0.0519196382,7.38479559713394,0.058,60.1286361484,60.57,41.6717826564,41.72,5690.3359323747,4280.1549815322,0.0470773992,18513.0556816769,75.2179666086
Case 15,5.075504606115194,0.0399778249,6.11155497693843,0.048,54.6998802889,55.18,36.4500240999,36.58,4757.927128742,3321.3894115033,0.0399930867,23607.7131468766,69.8074880433
Case 18,3.237726242543386,0.0254903622,5.34761060482113,0.042,45.0397967479,45.17,25.8994605161,26.14,3710.3232463037,2146.4635870933,0.0299030758,38463.94365574,57.8511209025
Case 19,3.245206983605207,0.025549494,4.07436998462562,0.032,45.0071683271,45.26,25.7320738226,25.83,3726.8950584904,2151.5949953884,0.0298283695,38641.5494495883,57.7315690842
Case 21,6.348982117929053,0.0500156544,6.87549934905573,0.054,59.9033995029,59.84,42.2170013629,42.22,5473.9317376238,4123.6666002902,0.047244799,18422.6683627706,75.3328100887
Case 24,2.303581342979405,0.0181272326,3.43774967452787,0.027,38.6462478811,38.67,19.6527972951,19.8,3112.531661351,1539.0924196666,0.0253200606,53477.8385573354,49.4482494356
Case 28,6.7502693306536585,0.0531861808,8.02141590723169,0.063,60.469322743,60.96,41.7611333875,41.97,5809.9749492417,4382.6876162257,0.047413558,18323.2563516417,75.4338470392
Case 32,2.346809142879392,0.0184677222,3.69239779856697,0.029,39.2789183681,39.18,20.8002034832,21.07,3094.883095965,1566.6017352932,0.0258714894,51095.0775981073,50.6190924412
Case 33,2.492059621466028,0.0196125534,3.31042561250832,0.026,40.1786686518,40.31,21.3004356597,21.39,3221.2587433449,1661.9253582529,0.0263558886,49167.268543807,51.5924205619
Case 39,14.852748090080224,0.1170443901,11.4591655817596,0.09,79.326227227,80.35,61.3682831816,61.13,10478.9219065753,9366.3537115821,0.0863179604,8335.3866306434,89.3827990617
