Case,Permeate flux (L/m²h),Distillate flow rate (L/h),Exp. permeate flux (L/m²h),Exp. distillate flow rate (L/h),Hot feedwater outlet temperature (°C),Exp. hot feedwater outlet temperature (°C),Cold feedwater outlet temperature (°C),Exp. cold feedwater outlet temperature (°C),Heat flux (W/m²),Vapor heat flux (W/m²),GOR,STECth,Thermal efficiency (%)
Case 1,6.386360289835658,0.0503146988,31.8310155048877,0.25,59.8238429273,60.66,41.6965433288,41.54,5533.7804657959,4149.7231544821,0.0466284405,18755.5457485501,74.9889371313
Case 7,2.448692519229273,0.0192713833,3.56507373654742,0.028,39.7269407428,39.75,20.3220952329,20.52,3232.7549961967,1634.2964848701,0.0257422316,51402.3264694824,50.5542946123
Case 10,3.9743507698000635,0.0312974646,5.60225872886023,0.044,49.7575272748,49.53,31.3220346617,31.62,4093.2608987834,2618.7066068325,0.0341800867,30292.1836807039,63.9760492084
Case 13,6.552382775857941,0.051625949,7.38479559713394,0.058,60.1327259475,60.57,41.6676910682,41.72,5664.8011399029,4256.3558047354,0.0468562483,18622.2870277165,75.1368971234
Case 15,5.018293230751822,0.0395282155,6.11155497693843,0.048,54.7069495252,55.18,36.4429557207,36.58,4713.6784416117,3284.5520911448,0.0396064241,23885.0787654082,69.6812931096
Case 18,3.2079396342677677,0.0252562073,5.34761060482113,0.042,45.0439419883,45.17,25.8953203389,26.14,3684.2640622282,2127.0112963755,0.0296868206,38828.6731862246,57.7323248402
Case 19,3.215302666986799,0.0253144106,4.07436998462562,0.032,45.0113308418,45.26,25.727916473,25.83,3700.726938846,2132.0649333929,0.0296127315,39008.533948624,57.6120575396
Case 21,6.313745741572101,0.0497395186,6.87549934905573,0.054,59.9072581029,59.84,42.2131410833,42.22,5449.8375360193,4101.2824000327,0.047027068,18528.7790935165,75.2551314223
Case 24,2.2849340236923426,0.0179806507,3.43774967452787,0.027,38.6491347421,38.67,19.6499158772,19.8,3094.3331707554,1526.8081472677,0.0251682931,53921.7576677797,49.3420734941
Case 28,6.711335279783802,0.052881046,8.02141590723169,0.063,60.4735600702,60.96,41.756894084,41.97,5783.5234270407,4357.9739900454,0.0471875114,18432.9442156095,75.3515403719
Case 32,2.3277780339654366,0.0183181287,3.69239779856697,0.029,39.2818339866,39.18,20.7972929454,21.07,3076.5081729688,1554.0749279294,0.0257139366,51520.2297453642,50.5142466899
Case 33,2.471349338938322,0.0194497539,3.31042561250832,0.026,40.181787918,40.31,21.2973217154,21.39,3201.6079755501,1648.3098571023,0.0261908989,49586.7569630435,51.4838128119
Case 39,14.719387162651236,0.116003195,11.4591655817596,0.09,79.3394392606,80.35,61.3550389943,61.13,10397.1958223697,9284.6329867981,0.0855871572,8415.8285897096,89.2993951968
