Case,Permeate flux (L/m²h),Distillate flow rate (L/h),Exp. permeate flux (L/m²h),Exp. distillate flow rate (L/h),Hot feedwater outlet temperature (°C),Exp. hot feedwater outlet temperature (°C),Cold feedwater outlet temperature (°C),Exp. cold feedwater outlet temperature (°C),Heat flux (W/m²),Vapor heat flux (W/m²),GOR,STECth,Thermal efficiency (%)
Case 1,6.481796840610289,0.0510627874,31.8310155048877,0.25,59.8133378205,60.66,41.7070527929,41.54,5599.3793548981,4210.3825014381,0.0472072732,18470.602570931,75.1937354942
Case 7,2.484411734380319,0.019552059,3.56507373654742,0.028,39.7217808982,39.75,20.3272456325,20.52,3265.2671799104,1657.7664440419,0.0260078555,50651.3562488033,50.769702836
Case 10,4.044338893237276,0.0318472091,5.60225872886023,0.044,49.7486958676,49.53,31.3308603414,31.62,4148.6640086736,2664.0341661574,0.0346587512,29755.5638534666,64.2142665829
Case 13,6.6518391428290355,0.0524055529,7.38479559713394,0.058,60.121810124,60.57,41.6786116651,41.72,5732.9544175868,4319.5402337954,0.0474467162,18334.9627280134,75.3457976317
Case 15,5.117182075896484,0.0403047452,6.11155497693843,0.048,54.6950958552,55.18,36.4548079538,36.58,4787.874472266,3348.1118384019,0.0402549418,23410.3569317114,69.9289811752
Case 18,3.259647814266481,0.0256624687,5.34761060482113,0.042,45.0370367994,45.17,25.9022170946,26.14,3727.6737495091,2160.7340314842,0.0300471114,38200.6605783932,57.9646765431
Case 19,3.2672395584620495,0.0257224753,4.07436998462562,0.032,45.0043945719,45.26,25.734844137,25.83,3744.3325840985,2165.9386266452,0.0299721133,38376.3516049159,57.845786345
Case 21,6.407303235696367,0.0504728273,6.87549934905573,0.054,59.8969547506,59.84,42.2234489187,42.22,5514.1745971971,4160.7352396677,0.0476086618,18249.4876196773,75.4552683512
Case 24,2.3173127104875504,0.0182350703,3.43774967452787,0.027,38.6443662194,38.67,19.6546754099,19.8,3124.3934746025,1548.1143056133,0.0254190071,53156.4699509749,49.5492747056
Case 28,6.81466533275186,0.0536910071,8.02141590723169,0.063,60.4622515675,60.96,41.768207859,41.97,5854.1167540392,4423.5839194865,0.0477909977,18144.46629783,75.5636435921
Case 32,2.3607613953460542,0.0185772851,3.69239779856697,0.029,39.2770202202,39.18,20.8020983244,21.07,3106.8456781638,1575.7601928541,0.0259740867,50788.6713127571,50.718972105
Case 33,2.5072894847611678,0.0197321498,3.31042561250832,0.026,40.1766263511,40.31,21.3024744769,21.39,3234.1248397553,1671.9099906201,0.0264639423,48864.1380533612,51.6959014713
Case 39,15.0763462400947,0.1187907488,11.4591655817596,0.09,79.3039663832,80.35,61.3905980931,61.13,10616.6210296972,9503.4565681141,0.087551508,8203.5883770614,89.5148893563
