Case,Permeate flux (L/m²h),Distillate flow rate (L/h),Exp. permeate flux (L/m²h),Exp. distillate flow rate (L/h),Hot feedwater outlet temperature (°C),Exp. hot feedwater outlet temperature (°C),Cold feedwater outlet temperature (°C),Exp. cold feedwater outlet temperature (°C),Heat flux (W/m²),Vapor heat flux (W/m²),GOR,STECth,Thermal efficiency (%)
Case 1,7.855979698634991,0.0618842193,31.8310155048877,0.25,59.6019392661,60.66,41.9185379474,41.54,6919.4415031904,5110.2254300484,0.0589928349,15071.8922031067,73.8531488082
Case 7,3.2185585601305995,0.0253286402,3.56507373654742,0.028,39.5521671866,39.75,20.4965516525,20.52,4334.0069501624,2149.7086938732,0.0348166644,38767.7783729337,49.6009516965
Case 10,5.094843584273474,0.0401168557,5.60225872886023,0.044,49.558622204,49.53,31.520812056,31.62,5341.0734640994,3359.8089431518,0.0450692216,23387.3899907118,62.905125079
Case 13,8.051924200574609,0.0634315647,7.38479559713394,0.058,59.9065594036,60.57,41.8939553488,41.72,7076.8670930551,5236.2775968436,0.0592277026,14980.1958685066,73.9914644148
Case 15,6.333822502566937,0.0498839676,6.11155497693843,0.048,54.4935471669,55.18,36.6563324861,36.58,6049.4279732763,4149.3575657952,0.0514068075,18715.0924742151,68.5909078367
Case 18,4.165771834036744,0.0327943599,5.34761060482113,0.042,44.8544236736,45.17,26.0846093941,26.14,4875.6779006541,2764.2976119206,0.0396676264,29617.4343153415,56.6956568552
Case 19,4.175802728921561,0.0328736306,4.07436998462562,0.032,44.8208171875,45.26,25.918195995,25.83,4898.4136056484,2771.1893406131,0.0395756412,29751.7773169733,56.5732002993
Case 21,7.761841212778037,0.0611389829,6.87549934905573,0.054,59.6896687783,59.84,42.4308239639,42.22,6808.516424129,5047.3428339819,0.0594480212,14898.12591343,74.1327848765
Case 24,3.0097880453884205,0.0236832552,3.43774967452787,0.027,38.4805833478,38.67,19.8181522299,19.8,4156.8687448975,2012.5990048416,0.0341052808,40585.417161883,48.4162269331
Case 28,8.237191323002678,0.0648942503,8.02141590723169,0.063,60.2439471232,60.96,41.9866128248,41.97,7216.8698067196,5354.8588724752,0.0595786815,14845.8260669414,74.1991890652
Case 32,3.0621614983743846,0.0240957379,3.69239779856697,0.029,39.1153128843,39.18,20.9635264356,21.07,4125.9674885722,2045.8049036739,0.0347905726,38824.3448655614,49.5836409119
Case 33,3.2450869162439346,0.0255374356,3.31042561250832,0.026,40.0095858183,40.31,21.4692326324,21.39,4286.4509330506,2165.9429476678,0.0353794022,37432.04049951,50.5299834641
Case 39,16.420607008515418,0.1293973225,11.4591655817596,0.09,79.1212241141,80.35,61.5737791323,61.13,11746.9898555077,10374.7910166643,0.0977845324,7461.3700088971,88.3187194701
