Case,Permeate flux (L/m²h),Distillate flow rate (L/h),Exp. permeate flux (L/m²h),Exp. distillate flow rate (L/h),Hot feedwater outlet temperature (°C),Exp. hot feedwater outlet temperature (°C),Cold feedwater outlet temperature (°C),Exp. cold feedwater outlet temperature (°C),Heat flux (W/m²),Vapor heat flux (W/m²),GOR,STECth,Thermal efficiency (%)
Case 1,9.004486076685966,0.0709189036,31.8310155048877,0.25,59.4259102135,60.66,42.0946375127,41.54,8018.6253619322,5860.2341982799,0.0690106645,13029.129345918,73.0827783288
Case 7,3.845875309959375,0.0302630445,3.56507373654742,0.028,39.4064521135,39.75,20.6420066922,20.52,5252.1665701366,2569.896299827,0.0425060126,32208.1132698939,48.9302131893
Case 10,5.9772179543123105,0.047058788,5.60225872886023,0.044,49.3983714397,49.53,31.6809619513,31.62,6346.3885967277,3943.5633527141,0.054010365,19768.8962992702,62.1386997126
Case 13,9.224569689535471,0.0726563847,7.38479559713394,0.058,59.7271028082,60.57,42.0734877315,41.72,8197.2828623839,6001.9133326568,0.0692539094,12956.17396824,73.2183265286
Case 15,7.350762747746808,0.0578844821,6.11155497693843,0.048,54.3249357338,55.18,36.8249240927,36.58,7104.808314789,4817.9078946477,0.0609214477,15984.3469249709,67.8119335693
Case 18,4.93349230894935,0.0388341376,5.34761060482113,0.042,44.6989703334,45.17,26.2398780731,26.14,5852.9425664691,3275.2966869691,0.0480000128,24812.9670015068,55.9598296032
Case 19,4.945988389625211,0.03893286,4.07436998462562,0.032,44.664486527,45.26,26.0743379904,25.83,5881.2064188964,3283.8823001321,0.0478961014,24922.6796587139,55.8368822013
Case 21,8.891309098783548,0.0700234833,6.87549934905573,0.054,59.5173585575,59.84,42.6032065837,42.22,7884.445951421,5784.6246198681,0.0694951245,12886.2149795865,73.3675473903
Case 24,3.601733335867703,0.0283391109,3.43774967452787,0.027,38.3397456586,38.67,19.9587309728,19.8,5044.7054139373,2409.5141363943,0.041693218,33671.2913030722,47.7632277543
Case 28,9.430710962900891,0.0742834357,8.02141590723169,0.063,60.0617755648,60.96,42.1688664081,41.97,8354.0472677774,6133.9080556829,0.069620036,12848.1858605859,73.4243877138
Case 32,3.6602211271133136,0.0287996644,3.69239779856697,0.029,38.9765283845,39.18,21.1020751971,21.07,5000.6291148162,2446.445093758,0.0424790233,32244.2156870604,48.9227462703
Case 33,3.8740864554016285,0.0304850095,3.31042561250832,0.026,39.8663235594,40.31,21.6122566985,21.39,5188.9832203149,2586.9458896729,0.0431500559,31124.1466888017,49.8545819062
Case 39,17.779954880005146,0.1400762939,11.4591655817596,0.09,78.9484225237,80.35,61.7469872451,61.13,12815.8336724658,11239.4916635242,0.1076392651,6831.5823207672,87.7000431714
