Case,Permeate flux (L/m²h),Distillate flow rate (L/h),Exp. permeate flux (L/m²h),Exp. distillate flow rate (L/h),Hot feedwater outlet temperature (°C),Exp. hot feedwater outlet temperature (°C),Cold feedwater outlet temperature (°C),Exp. cold feedwater outlet temperature (°C),Heat flux (W/m²),Vapor heat flux (W/m²),GOR,STECth,Thermal efficiency (%)
Case 1,6.322499770233151,0.0498125985,31.8310155048877,0.25,59.8315130913,60.66,41.68886998,41.54,5485.8842753459,4108.8655066971,0.0462062171,18952.2076070862,74.8988731892
Case 7,2.443941892196554,0.0192340762,3.56507373654742,0.028,39.727576356,39.75,20.3214607836,20.52,3228.7499977367,1631.1797182573,0.0257095204,51503.6652942584,50.5204713713
Case 10,3.965251443458883,0.0312260619,5.60225872886023,0.044,49.7586125849,49.53,31.3209500559,31.62,4086.4522945322,2612.8262113719,0.0341212931,30363.1702211994,63.9387425339
Case 13,6.486107641306668,0.0511048489,7.38479559713394,0.058,60.1406604195,60.57,41.6597531227,41.72,5615.2619838746,4213.9733276948,0.0464274674,18819.8444028285,75.0449994995
Case 15,5.005570076325928,0.0394284252,6.11155497693843,0.048,54.7084022887,55.18,36.4415031334,36.58,4704.5851124995,3276.394711254,0.0395269985,23947.3518212564,69.6425855396
Case 18,3.2011339978807696,0.0252027795,5.34761060482113,0.042,45.0447934013,45.17,25.8944699661,26.14,3678.9116277713,2122.580935348,0.029642414,38912.6587292597,57.6958935171
Case 19,3.2084620475224472,0.0252607071,4.07436998462562,0.032,45.0121865772,45.26,25.7270617998,25.83,3695.3472618311,2127.6114985605,0.0295684115,39093.1414978026,57.5754143741
Case 21,6.250795563622329,0.0492446033,6.87549934905573,0.054,59.9148166472,59.84,42.2055792467,42.22,5402.6398029735,4061.0126496363,0.0466008205,18722.5832357401,75.1671922937
Case 24,2.280628171322891,0.0179468365,3.43774967452787,0.027,38.649720809,38.67,19.6493309156,19.8,3090.6386627068,1523.9789907433,0.025137488,54024.9717300739,49.3095168042
Case 28,6.642686371169993,0.0523412725,8.02141590723169,0.063,60.4817508717,60.96,41.7486994593,41.97,5732.3923074562,4314.0964637256,0.0467508368,18630.7667877367,75.2582208673
Case 32,2.3234074883273625,0.0182838095,3.69239779856697,0.029,39.2824245865,39.18,20.7967033748,21.07,3072.7860715447,1551.205978432,0.0256820279,51618.5352767069,50.4820687908
Case 33,2.466584874065655,0.0194123414,3.31042561250832,0.026,40.1824225598,40.31,21.2966881566,21.39,3197.6098561662,1645.1862176335,0.0261573368,49683.9430250689,51.4504987049
Case 39,14.480351786433033,0.1141271374,11.4591655817596,0.09,79.3645036929,80.35,61.329913432,61.13,10242.1534196033,9136.6284896142,0.0842034497,8565.021118262,89.2061280016
