Case,Permeate flux (L/m²h),Distillate flow rate (L/h),Exp. permeate flux (L/m²h),Exp. distillate flow rate (L/h),Hot feedwater outlet temperature (°C),Exp. hot feedwater outlet temperature (°C),Cold feedwater outlet temperature (°C),Exp. cold feedwater outlet temperature (°C),Heat flux (W/m²),Vapor heat flux (W/m²),GOR,STECth,Thermal efficiency (%)
Case 1,6.461179811496621,0.0509011452,31.8310155048877,0.25,59.8156225579,60.66,41.7047671083,41.54,5585.112370805,4197.2733572642,0.0470813295,18531.4763532964,75.1510995411
Case 7,2.479172779769042,0.0195109133,3.56507373654742,0.028,39.7224913565,39.75,20.3265364744,20.52,3260.7905812365,1654.3290428878,0.0259712736,50759.9765229486,50.7339861814
Case 10,4.034119327604899,0.0317670028,5.60225872886023,0.044,49.7499277978,49.53,31.3296292098,31.62,4140.9355962714,2657.4286628528,0.0345919537,29832.6099935714,64.1745953558
Case 13,6.630356159762456,0.0522371203,7.38479559713394,0.058,60.1241837587,60.57,41.6762369928,41.72,5718.1345613463,4305.8870279558,0.047318263,18396.3270084908,75.3023032557
Case 15,5.1027521940871985,0.0401915462,6.11155497693843,0.048,54.6967589286,55.18,36.4531450819,36.58,4777.4647496599,3338.8582280446,0.0401639058,23478.3377682835,69.8876580572
Case 18,3.2520729912591926,0.0256029949,5.34761060482113,0.042,45.0379958242,45.17,25.9012592407,26.14,3721.6448098479,2155.8023514474,0.0299970575,38291.2517350235,57.9260639205
Case 19,3.259626793573764,0.0256627025,4.07436998462562,0.032,45.0053583509,45.26,25.7338815534,25.83,3738.2736781724,2160.9819312169,0.029922163,38467.5954443695,57.8069482669
Case 21,6.387084780881118,0.0503143205,6.87549934905573,0.054,59.8991963676,59.84,42.2212063269,42.22,5500.1773081791,4147.8820222587,0.0474820742,18309.181862399,75.4136055958
Case 24,2.3125716747148126,0.0181978353,3.43774967452787,0.027,38.645020465,38.67,19.6540223975,19.8,3120.2691736829,1544.9989718873,0.0253846017,53267.0161791045,49.5149259852
Case 28,6.792346280431045,0.0535160211,8.02141590723169,0.063,60.4647103321,60.96,41.7657479486,41.97,5838.7679216022,4409.4070777128,0.0476597249,18206.0647667579,75.5194783714
Case 32,2.355942769020784,0.018539444,3.69239779856697,0.029,39.277680266,39.18,20.8014394284,21.07,3102.6859113096,1572.5968071502,0.0259384081,50894.1013546069,50.6850146003
Case 33,2.5020298630648803,0.0196908451,3.31042561250832,0.026,40.1773363499,40.31,21.301765689,21.39,3229.6519855157,1668.4614038573,0.0264263752,48968.4248500615,51.6607179764
Case 39,14.998424892310334,0.1181820825,11.4591655817596,0.09,79.3117376025,80.35,61.3828080142,61.13,10568.5505874776,9455.66734767,0.0871205613,8249.0876651552,89.4698593663
