Case,Permeate flux (L/m²h),Distillate flow rate (L/h),Exp. permeate flux (L/m²h),Exp. distillate flow rate (L/h),Hot feedwater outlet temperature (°C),Exp. hot feedwater outlet temperature (°C),Cold feedwater outlet temperature (°C),Exp. cold feedwater outlet temperature (°C),Heat flux (W/m²),Vapor heat flux (W/m²),GOR,STECth,Thermal efficiency (%)
Case 1,6.594476336778168,0.0519564801,31.8310155048877,0.25,59.789199092,60.66,41.7312015172,41.54,5750.1128886616,4287.3172836921,0.0485397469,18129.9322084768,74.5605758827
Case 7,2.5858127413261376,0.0203506728,3.56507373654742,0.028,39.6945245799,39.75,20.3544521427,20.52,3437.0093729603,1726.2966671667,0.0274132712,48597.3109675803,50.2267081594
Case 10,4.170755494309518,0.0328446495,5.60225872886023,0.044,49.7211185429,49.53,31.3584198181,31.62,4321.66805204,2749.0745201197,0.0361563045,28810.3981445835,63.6114224188
Case 13,6.76287048196947,0.0532866436,7.38479559713394,0.058,60.0976013838,60.57,41.7028309742,41.72,5884.1022387957,4395.5658005164,0.0487586132,18009.3465261909,74.7024035635
Case 15,5.244971709816015,0.0413147,6.11155497693843,0.048,54.6683678235,55.18,36.4815327544,36.58,4955.1739029214,3434.279523497,0.0417202114,22806.0948868408,69.3069424157
Case 18,3.377195232529983,0.0265890533,5.34761060482113,0.042,45.0090125517,45.17,25.9302071804,26.14,3903.8491010385,2239.9434441629,0.0315119191,36817.2653480731,57.3778183067
Case 19,3.3849278126786313,0.0266501785,4.07436998462562,0.032,44.976225661,45.26,25.7629781635,25.83,3921.4196674251,2245.2560116281,0.0314341817,36988.1434604612,57.2562031623
Case 21,6.519431444699809,0.0513620217,6.87549934905573,0.054,59.8732645337,59.84,42.2471494262,42.22,5662.102872341,4237.1941394239,0.0489483564,17910.7470231757,74.8342839217
Case 24,2.414446504928477,0.0189999354,3.43774967452787,0.027,38.6178192634,38.67,19.6811724003,19.8,3291.7430314014,1613.78331095,0.0268170081,50947.3475867876,49.0251910783
Case 28,6.923648951903269,0.0545563417,8.02141590723169,0.063,60.4380944506,60.96,41.7923762205,41.97,6004.9173616086,4498.4272933881,0.0490824902,17834.7949252133,74.9123930022
Case 32,2.4591878738016075,0.0193523713,3.69239779856697,0.029,39.2508899875,39.18,20.8281831059,21.07,3271.524758593,1642.245641041,0.0273885473,48687.6051657074,50.1981724799
Case 33,2.609392630638678,0.020536318,3.31042561250832,0.026,40.1498377253,40.31,21.3292174805,21.39,3402.8880601702,1740.8632162335,0.0278833799,46886.0707629429,51.1584038455
Case 39,14.742640160122624,0.1162068714,11.4591655817596,0.09,79.3273639099,80.35,61.3671437397,61.13,10471.8907334943,9308.6672309629,0.0862550483,8395.9441653953,88.8919438511
