Case,Permeate flux (L/m²h),Distillate flow rate (L/h),Exp. permeate flux (L/m²h),Exp. distillate flow rate (L/h),Hot feedwater outlet temperature (°C),Exp. hot feedwater outlet temperature (°C),Cold feedwater outlet temperature (°C),Exp. cold feedwater outlet temperature (°C),Heat flux (W/m²),Vapor heat flux (W/m²),GOR,STECth,Thermal efficiency (%)
Case 1,6.967051813845879,0.0548889937,31.8310155048877,0.25,59.7344393137,60.66,41.7859838666,41.54,6092.0575554164,4530.2631590378,0.0515751183,17112.0110828891,74.3634333364
Case 7,2.767088981001375,0.021776901,3.56507373654742,0.028,39.6541689985,39.75,20.3947342336,20.52,3691.2904172317,1847.5594316369,0.029501209,45322.732316183,50.0518578276
Case 10,4.439036079885462,0.034956121,5.60225872886023,0.044,49.6744279343,49.53,31.4050803276,31.62,4614.5774767675,2926.3194530018,0.0387016848,27004.0728425569,63.4146781094
Case 13,7.143701281867643,0.0562842526,7.38479559713394,0.058,60.0417200184,60.57,41.7587366236,41.72,6232.9976996797,4643.8431630053,0.0517994543,17001.1374667811,74.5041693701
Case 15,5.563603975419354,0.0438226459,6.11155497693843,0.048,54.6177260309,55.18,36.532168447,36.58,5272.1567420164,3643.4565593221,0.0445078107,21443.7776407522,69.1075159106
Case 18,3.6045673866533554,0.0283783869,5.34761060482113,0.042,44.9649070491,45.17,25.9742591181,26.14,4181.1198680358,2391.0785121034,0.0338257381,34418.9138355697,57.1875140529
Case 19,3.6129401467465176,0.0284445675,4.07436998462562,0.032,44.9318916322,45.26,25.8072574931,25.83,4200.1306981518,2396.8309378727,0.0337437029,34577.6545081721,57.0656274798
Case 21,6.886553799755911,0.0542514563,6.87549934905573,0.054,59.8195457874,59.84,42.300891399,42.22,5997.5365818901,4476.4963104214,0.0519988992,16907.8723736385,74.6389163167
Case 24,2.5848306973716157,0.0203403542,3.43774967452787,0.027,38.5789523507,38.67,19.7199664094,19.8,3536.7568141079,1727.8851044086,0.0288706868,47495.2430995281,48.855072464
Case 28,7.311885786351499,0.0576123317,8.02141590723169,0.063,60.3812808015,60.96,41.8492161935,41.97,6359.5749289681,4751.4570300995,0.0521324445,16840.0439249422,74.7134373471
Case 32,2.631901671051612,0.0207111225,3.69239779856697,0.029,39.2124581699,39.18,20.8665483065,21.07,3513.7317388176,1757.8026277965,0.0294760092,45401.4944273257,50.026659929
Case 33,2.7916356365305317,0.0219701415,3.31042561250832,0.026,40.1100495461,40.31,21.3689381359,21.39,3653.5462806397,1862.686123474,0.0299988805,43736.4476061907,50.9829623165
Case 39,15.259791314736777,0.1202731087,11.4591655817596,0.09,79.2644497188,80.35,61.4302104159,61.13,10861.058292713,9637.109142791,0.0897481587,8086.2463464889,88.7308481647
