Case,Permeate flux (L/m²h),Distillate flow rate (L/h),Exp. permeate flux (L/m²h),Exp. distillate flow rate (L/h),Hot feedwater outlet temperature (°C),Exp. hot feedwater outlet temperature (°C),Cold feedwater outlet temperature (°C),Exp. cold feedwater outlet temperature (°C),Heat flux (W/m²),Vapor heat flux (W/m²),GOR,STECth,Thermal efficiency (%)
Case 1,10.529546043157136,0.0829093496,31.8310155048877,0.25,59.1793680858,60.66,42.341275962,41.54,9558.0919527229,6857.4660448397,0.0833640007,10997.8495980698,71.7451357317
Case 7,4.7727302518693,0.0375518275,3.56507373654742,0.028,39.1806122445,39.75,20.867451406,20.52,6675.2080749003,3191.5170324804,0.0546519952,25658.5517301753,47.8114988577
Case 10,7.218996807529519,0.0568245262,5.60225872886023,0.044,49.1610046305,49.53,31.918182626,31.62,7835.4775457918,4766.1483338299,0.0675388157,16164.7800727769,60.8277964677
Case 13,10.780382279893333,0.0848887975,7.38479559713394,0.058,59.4759415158,60.57,42.3247524766,41.72,9765.3524795729,7019.0986097072,0.0836089313,10942.9712904665,71.8775755856
Case 15,8.743249181811628,0.0688345011,6.11155497693843,0.048,54.081670577,55.18,37.0681612622,36.58,8627.4504338675,5734.5448519974,0.0749560158,13266.8332091741,66.4685922678
Case 18,6.041097165586373,0.0475450651,5.34761060482113,0.042,44.4632123823,45.17,26.4753618036,26.14,7335.048808464,4013.4865544804,0.0608947421,20021.4227538502,54.7165623472
Case 19,6.057626462479862,0.0476755867,4.07436998462562,0.032,44.4272947718,45.26,26.3112494501,25.83,7372.3458979373,4024.8434506605,0.0607777016,20106.1052009183,54.5937956029
Case 21,10.388261901569429,0.0817924858,6.87549934905573,0.054,59.2764893878,59.84,42.8441744611,42.22,9388.4439180494,6763.0572595349,0.0838631501,10886.436555795,72.0359765534
Case 24,4.479567995970162,0.035242035,3.43774967452787,0.027,38.1207772001,38.67,20.1773046015,19.8,6425.0876582852,2998.8613523634,0.0537143746,26768.0653679347,46.6742480703
Case 28,11.012155209306165,0.0867174486,8.02141590723169,0.063,59.8071189289,60.96,42.4236348777,41.97,9943.6742298828,7167.5853733844,0.0839797236,10860.8288548511,72.0818603635
Case 32,4.544066067242664,0.0357497702,3.69239779856697,0.029,38.7614365462,39.18,21.3168088117,21.07,6356.2127582464,3039.2551900586,0.0546232008,25677.4033230327,47.8155043837
Case 33,4.800837114145348,0.0377728383,3.31042561250832,0.026,39.6448663534,40.31,21.8333529509,21.39,6584.142355581,3208.0171072299,0.0553942965,24828.5922850025,48.7233861903
Case 39,19.358890851068576,0.1524708962,11.4591655817596,0.09,78.7345950169,80.35,61.9613065285,61.13,14138.3902490376,12245.2865142963,0.1200808379,6206.9296524405,86.6101889862
