Case,Permeate flux (L/m²h),Distillate flow rate (L/h),Exp. permeate flux (L/m²h),Exp. distillate flow rate (L/h),Hot feedwater outlet temperature (°C),Exp. hot feedwater outlet temperature (°C),Cold feedwater outlet temperature (°C),Exp. cold feedwater outlet temperature (°C),Heat flux (W/m²),Vapor heat flux (W/m²),GOR,STECth,Thermal efficiency (%)
Case 1,6.403991687008884,0.0504528719,31.8310155048877,0.25,59.8219169422,60.66,41.6984701132,41.54,5545.8072379521,4160.9247888366,0.0467345146,18702.2941155007,75.0282981414
Case 7,2.45353560871671,0.0193094173,3.56507373654742,0.028,39.7262905921,39.75,20.3227441933,20.52,3236.8515958772,1637.4740346935,0.0257756932,51299.4105704463,50.5884803857
Case 10,4.005653111050032,0.031543627,5.60225872886023,0.044,49.7533261808,49.53,31.3262330305,31.62,4119.6161194605,2639.0350707657,0.0344077318,30049.1988968623,64.0602180941
Case 13,6.570759384298153,0.0517699633,7.38479559713394,0.058,60.1307242253,60.57,41.6696936661,41.72,5677.2989578016,4268.0254461021,0.0469644774,18568.5727571686,75.177042425
Case 15,5.0626364822856935,0.0398769064,6.11155497693843,0.048,54.7013448397,55.18,36.4485597267,36.58,4748.7600225271,3313.1417967798,0.0399129573,23669.2742533973,69.7685665534
Case 18,3.230930179867492,0.0254370136,5.34761060482113,0.042,45.0406420787,45.17,25.8986162176,26.14,3705.0090476983,2142.0407561367,0.0298589679,38546.258260461,57.8147240279
Case 19,3.2383757102961543,0.0254958678,4.07436998462562,0.032,45.00801797,45.26,25.7312252338,25.83,3721.5536821878,2147.1489485601,0.0297843466,38724.4745570375,57.6949610814
Case 21,6.331022901652854,0.0498749058,6.87549934905573,0.054,59.9053698389,59.84,42.2150301694,42.22,5461.6283972626,4112.2565967165,0.0471336066,18476.6105710964,75.2935992272
Case 24,2.2893233178021957,0.0180151209,3.43774967452787,0.027,38.6485352513,38.67,19.6505142376,19.8,3098.1123024931,1529.6922408002,0.0251998057,53816.9343726749,49.3749771294
Case 28,6.730428510119471,0.053030675,8.02141590723169,0.063,60.4714860648,60.96,41.7589690568,41.97,5796.470410423,4370.0922127691,0.0472981401,18379.0024240266,75.3922974386
Case 32,2.3322340267906334,0.0183531196,3.69239779856697,0.029,39.2812298026,39.18,20.7978960763,21.07,3080.3158840094,1557.0000919839,0.0257465812,51420.3730340365,50.546766975
Case 33,2.4762072347898525,0.019487901,3.31042561250832,0.026,40.1811387023,40.31,21.2979698233,21.39,3205.6979072307,1651.4948836851,0.026225234,49488.0416114104,51.51748329
Case 39,14.784614014737999,0.1165124023,11.4591655817596,0.09,79.3329841886,80.35,61.3615097817,61.13,10437.1251857863,9324.5969497937,0.0859440869,8376.3107118691,89.3406640604
