Case,Permeate flux (L/m²h),Distillate flow rate (L/h),Exp. permeate flux (L/m²h),Exp. distillate flow rate (L/h),Hot feedwater outlet temperature (°C),Exp. hot feedwater outlet temperature (°C),Cold feedwater outlet temperature (°C),Exp. cold feedwater outlet temperature (°C),Heat flux (W/m²),Vapor heat flux (W/m²),GOR,STECth,Thermal efficiency (%)
Case 1,6.304914410101102,0.0496747634,31.8310155048877,0.25,59.8334428845,60.66,41.686939385,41.54,5473.8337146739,4097.6875104127,0.0461000404,19006.7152422185,74.8595540896
Case 7,2.4392792037138924,0.0191974605,3.56507373654742,0.028,39.7281981496,39.75,20.3208401285,20.52,3224.8320760848,1628.120759482,0.0256775224,51603.5038271905,50.4869934641
Case 10,3.956335586346225,0.0311561015,5.60225872886023,0.044,49.7596735088,49.53,31.3198898204,31.62,4079.7966742242,2607.0647058838,0.0340638271,30433.0347129208,63.9018292837
Case 13,6.467793063710659,0.0509612968,7.38479559713394,0.058,60.1426644472,60.57,41.6577482173,41.72,5602.7497619699,4202.337212599,0.0463192247,18874.8008288396,75.0049063609
Case 15,4.99311500634751,0.0393307414,6.11155497693843,0.048,54.7098216088,55.18,36.4400839855,36.58,4695.7011164304,3268.4097133622,0.0394494131,24008.6128661433,69.6042961918
Case 18,3.194459723853488,0.0251503845,5.34761060482113,0.042,45.0456260761,45.17,25.8936383087,26.14,3673.6769916772,2118.2362884252,0.0295989884,38995.3629202143,57.6598403513
Case 19,3.2017532979280703,0.0252080403,4.07436998462562,0.032,45.0130234973,45.26,25.7262259186,25.83,3690.0858693553,2123.2441112791,0.0295250697,39176.4613280058,57.5391518369
Case 21,6.233558884063674,0.0491095108,6.87549934905573,0.054,59.9167091061,59.84,42.2036859631,42.22,5390.8227387779,4050.0586567451,0.0464941537,18775.9909567157,75.1287670361
Case 24,2.2764016805278886,0.0179136462,3.43774967452787,0.027,38.6502941145,38.67,19.6487586913,19.8,3087.0246011685,1521.2020837592,0.0251073555,54126.6548879148,49.2772906048
Case 28,6.623671590707356,0.0521922334,8.02141590723169,0.063,60.4838256043,60.96,41.7466237579,41.97,5719.4407742851,4302.0219154415,0.0466402848,18685.9323743073,75.2175271188
Case 32,2.3191182058469533,0.0182501293,3.69239779856697,0.029,39.2830022737,39.18,20.7961266945,21.07,3069.1453496724,1548.3904895636,0.0256508188,51715.3650828053,50.4502170198
Case 33,2.461909262912455,0.0193756274,3.31042561250832,0.026,40.1830433484,40.31,21.2960684275,21.39,3193.6990102676,1642.120956511,0.0261245094,49779.6742084504,51.4175240444
Case 39,14.417370014994514,0.1136353277,11.4591655817596,0.09,79.3707505481,80.35,61.3236513149,61.13,10203.5117987603,9098.0126580122,0.0838591335,8604.8062030591,89.1655033821
