Case,Permeate flux (L/m²h),Distillate flow rate (L/h),Exp. permeate flux (L/m²h),Exp. distillate flow rate (L/h),Hot feedwater outlet temperature (°C),Exp. hot feedwater outlet temperature (°C),Cold feedwater outlet temperature (°C),Exp. cold feedwater outlet temperature (°C),Heat flux (W/m²),Vapor heat flux (W/m²),GOR,STECth,Thermal efficiency (%)
Case 1,6.28770688107547,0.0495398957,31.8310155048877,0.25,59.8353280736,60.66,41.6850534127,41.54,5462.0616823334,4086.7504110406,0.0459963385,19060.339919727,74.8206565345
Case 7,2.434700296067074,0.0191615035,3.56507373654742,0.028,39.7288067834,39.75,20.3202326094,20.52,3220.997075308,1625.1168741454,0.0256462035,51701.9125901852,50.4538450719
Case 10,3.9475943719364572,0.0310875137,5.60225872886023,0.044,49.7607112277,49.53,31.3188527751,31.62,4073.2866293312,2601.4163675353,0.0340076241,30501.8298371834,63.8652912074
Case 13,6.449872338833694,0.0508208381,7.38479559713394,0.058,60.1446221518,60.57,41.655789655,41.72,5590.5267574996,4190.9520651137,0.0462135057,18928.8705084979,74.9652447239
Case 15,4.980914973845005,0.0392350616,6.11155497693843,0.048,54.7112091218,55.18,36.4386966409,36.58,4687.0162112718,3260.5887035844,0.0393735776,24068.9094560376,69.5664055043
Case 18,3.1879105528422644,0.0250989729,5.34761060482113,0.042,45.0464409128,45.17,25.8928244678,26.14,3668.5544954799,2113.9732691515,0.0295564967,39076.8459446768,57.6241479241
Case 19,3.195170136027757,0.0251563609,4.07436998462562,0.032,45.0138425057,45.26,25.7254079269,25.83,3684.9370805548,2118.9586701928,0.029482659,39258.5539317026,57.5032523995
Case 21,6.216693849116047,0.0489773371,6.87549934905573,0.054,59.9185576871,59.84,42.2018365763,42.22,5379.2796598334,4039.3415989771,0.046389981,18828.5268959562,75.0907529337
Case 24,2.2722508016568512,0.0178810504,3.43774967452787,0.027,38.6508552672,38.67,19.6481985969,19.8,3083.4871492251,1518.4749565369,0.0250778634,54226.879082372,49.2453797616
Case 28,6.605066462513198,0.0520464115,8.02141590723169,0.063,60.4858523385,60.96,41.7445960769,41.97,5706.7888686146,4290.2082415292,0.0465323128,18740.2098542882,75.177272899
Case 32,2.3149063412267012,0.0182170576,3.69239779856697,0.029,39.2835676645,39.18,20.7955622892,21.07,3065.5821219383,1545.6259305595,0.0256202759,51810.7884662854,50.4186764236
Case 33,2.4573182991112734,0.0193395789,3.31042561250832,0.026,40.1836509453,40.31,21.2954618675,21.39,3189.8712687859,1639.1113087433,0.0260923817,49874.018857694,51.3848732638
Case 39,14.35603736207791,0.113156419,11.4591655817596,0.09,79.3768284994,80.35,61.3175585039,61.13,10165.9149339724,9060.4103046188,0.0835243365,8643.8778033696,89.1253798941
