Case,Permeate flux (L/m²h),Distillate flow rate (L/h),Exp. permeate flux (L/m²h),Exp. distillate flow rate (L/h),Hot feedwater outlet temperature (°C),Exp. hot feedwater outlet temperature (°C),Cold feedwater outlet temperature (°C),Exp. cold feedwater outlet temperature (°C),Heat flux (W/m²),Vapor heat flux (W/m²),GOR,STECth,Thermal efficiency (%)
Case 1,6.270859107842519,0.0494078534,31.8310155048877,0.25,59.8371708009,60.66,41.6832099195,41.54,5450.5547999163,4076.0426783152,0.0458949923,19113.1218334915,74.7821612284
Case 7,2.430201336712389,0.0191261751,3.56507373654742,0.028,39.7294028648,39.75,20.3196376196,20.52,3217.2411665092,1622.1655418016,0.0256155324,51798.9565513993,50.4210116011
Case 10,3.9390196661402466,0.0310202346,5.60225872886023,0.044,49.7617268292,49.53,31.3178378328,31.62,4066.9153355444,2595.8759228359,0.033952625,30569.6041321168,63.8291114681
Case 13,6.432326612686911,0.0506833244,7.38479559713394,0.058,60.14653576,60.57,41.6538752083,41.72,5578.5790690674,4179.8058650507,0.0461101886,18982.0938258982,74.9259948331
Case 15,4.968957958990659,0.0391412913,6.11155497693843,0.048,54.7125663346,55.18,36.4373395928,36.58,4678.5209644609,3252.9239490578,0.0392994089,24128.285408404,69.5288954302
Case 18,3.18148071540567,0.0250484996,5.34761060482113,0.042,45.0472387406,45.17,25.892027615,26.14,3663.5389262416,2109.7881112155,0.0295148954,39157.1632520814,57.5888001654
Case 19,3.1887067715352053,0.0251056232,4.07436998462562,0.032,45.014644435,45.26,25.7246069933,25.83,3679.8956618216,2114.7513952234,0.0294411362,39339.4750409945,57.4676998906
Case 21,6.2001826671383515,0.0488479424,6.87549934905573,0.054,59.9203644988,59.84,42.2000289769,42.22,5367.9973987611,4028.8501278503,0.0462881822,18880.2307260003,75.0531311506
Case 24,2.2681720784737815,0.0178490218,3.43774967452787,0.027,38.6514048281,38.67,19.6476500727,19.8,3080.0227719448,1515.7953325717,0.0250489822,54325.7105883527,49.213770313
Case 28,6.586851359368294,0.0519036527,8.02141590723169,0.063,60.4878333835,60.96,41.7426141064,41.97,5694.4221762494,4278.6429364661,0.0464267964,18793.639689546,75.137438076
Case 32,2.3107683502878014,0.0181845667,3.69239779856697,0.029,39.2841213271,39.18,20.7950095917,21.07,3062.092808805,1542.9099687856,0.0255903682,51904.8692721868,50.3874332074
Case 33,2.45280810545452,0.0193041654,3.31042561250832,0.026,40.1842459603,40.31,21.2948678681,21.39,3186.1227908056,1636.1547257753,0.0260609212,49967.0399356415,51.3525320021
Case 39,14.296268011768637,0.1126897396,11.4591655817596,0.09,79.3827463368,80.35,61.3116261887,61.13,10129.3084568362,9023.7686937643,0.0831985573,8682.2689975194,89.0857330707
