Case,Permeate flux (L/m²h),Distillate flow rate (L/h),Exp. permeate flux (L/m²h),Exp. distillate flow rate (L/h),Hot feedwater outlet temperature (°C),Exp. hot feedwater outlet temperature (°C),Cold feedwater outlet temperature (°C),Exp. cold feedwater outlet temperature (°C),Heat flux (W/m²),Vapor heat flux (W/m²),GOR,STECth,Thermal efficiency (%)
Case 1,8.391491858610319,0.0660972793,31.8310155048877,0.25,59.520641254,60.66,41.9998687057,41.54,7427.0950984424,5459.8312199171,0.0635960995,14050.4116046611,73.5123375633
Case 7,3.504453244644811,0.0275775665,3.56507373654742,0.028,39.4863751821,39.75,20.5622257563,20.52,4748.5657502445,2341.1541817131,0.0382743978,35488.1002618956,49.3023431674
Case 10,5.501126648506707,0.0433134742,5.60225872886023,0.044,49.4855367187,49.53,31.5938513171,31.62,5799.5673776329,3628.5210113502,0.0491281231,21577.8759329877,62.5653738474
Case 13,8.598799152331585,0.0677341454,7.38479559713394,0.058,59.8236639626,60.57,41.9768859917,41.72,7594.416781082,5593.2358685027,0.0638356092,13968.1508265052,73.6493140913
Case 15,6.804833391706321,0.0535898787,6.11155497693843,0.048,54.4161944083,55.18,36.7336761056,36.58,6533.5988852148,4458.9200724856,0.0557505153,17349.5117082296,68.2460027134
Case 18,4.517408134104755,0.0355609192,5.34761060482113,0.042,44.7838964572,45.17,26.1550524534,26.14,5319.05035348,2998.2841959845,0.0434314478,27215.0978881759,56.368787598
Case 19,4.528538300322453,0.0356488652,4.07436998462562,0.032,44.7498986032,45.26,25.989028606,25.83,5344.252226385,3005.9312518246,0.0433337431,27337.1620154608,56.2460588403
Case 21,8.28868420420726,0.0652836376,6.87549934905573,0.054,59.6100546035,59.84,42.5104717753,42.22,7305.6404020116,5391.1539933702,0.0640666412,13892.0016564752,73.794406742
Case 24,3.279349192302539,0.0258035443,3.43774967452787,0.027,38.4170381502,38.67,19.8815801081,19.8,4557.4550999316,2193.2994919841,0.0375151824,37128.4398240641,48.1255315498
Case 28,8.793965580575179,0.0692747968,8.02141590723169,0.063,60.1597741088,60.96,42.070823949,41.97,7742.3087191153,5718.1765835532,0.0641948155,13847.023209443,73.8562202956
Case 32,3.334696900176773,0.0262394157,3.69239779856697,0.029,39.0526505761,39.18,21.0260818594,21.07,4520.8835517442,2228.3295692874,0.0382478776,35534.1568521448,49.2896917999
Case 33,3.5319090024108353,0.027793629,3.31042561250832,0.026,39.9448643103,40.31,21.5338460761,21.39,4694.1868284759,2357.8685579847,0.0388755591,34278.0540114168,50.2295422858
Case 39,17.073303840016557,0.1345256981,11.4591655817596,0.09,79.0391071992,80.35,61.656090245,61.13,12254.9186817367,10789.8588323602,0.102445679,7146.766633161,88.0451279407
