Case,Permeate flux (L/m²h),Distillate flow rate (L/h),Exp. permeate flux (L/m²h),Exp. distillate flow rate (L/h),Hot feedwater outlet temperature (°C),Exp. hot feedwater outlet temperature (°C),Cold feedwater outlet temperature (°C),Exp. cold feedwater outlet temperature (°C),Heat flux (W/m²),Vapor heat flux (W/m²),GOR,STECth,Thermal efficiency (%)
Case 1,7.384711675135198,0.0581759384,31.8310155048877,0.25,59.6725311184,60.66,41.8479174103,41.54,6478.6384309887,4802.7001640099,0.0550279453,16092.586337991,74.1313196464
Case 7,2.9757757240151888,0.0234187052,3.56507373654742,0.028,39.6072941682,39.75,20.4415240842,20.52,3986.6498356767,1987.1988286554,0.0319371231,42046.1471633585,49.8463349069
Case 10,4.744352843292822,0.0373588749,5.60225872886023,0.044,49.6208234738,49.53,31.4586504183,31.62,4950.8600352462,3128.0954462499,0.0416394378,25196.3094062849,63.1828697232
Case 13,7.570495848957073,0.0596432093,7.38479559713394,0.058,59.9785595984,60.57,41.8219243088,41.72,6627.3381267343,4922.1828055924,0.0552576697,15991.3468048417,74.2708869152
Case 15,5.923712921086496,0.0466567517,6.11155497693843,0.048,54.559996113,55.18,36.5898914493,36.58,5633.5054619146,3879.9390517845,0.0477038195,20080.0233140539,68.8725532977
Case 18,3.8648765529910323,0.0304267819,5.34761060482113,0.042,44.9139593902,45.17,26.0251452085,26.14,4501.4042199518,2564.1595473146,0.0365114557,32018.8835752552,56.9635478624
Case 19,3.8740042488229944,0.030498923,4.07436998462562,0.032,44.8806747325,45.26,25.8584115135,25.83,4522.1118339763,2570.4306844267,0.0364246851,32165.448477333,56.8413780728
Case 21,7.297917774363399,0.0574886812,6.87549934905573,0.054,59.7588446557,59.84,42.3616186016,42.22,6376.5684425116,4744.7261127933,0.0554673557,15903.5827125018,74.4087694748
Case 24,2.781153366406898,0.0218847605,3.43774967452787,0.027,38.5337698555,38.67,19.765064529,19.8,3821.5840433546,1859.3943281884,0.0312684245,44041.185338909,48.6550683459
Case 28,7.746808638460036,0.0610353469,8.02141590723169,0.063,60.3170907352,60.96,41.9134358037,41.97,6760.2776281424,5035.0141918294,0.055599776,15843.6505749823,74.4793996458
Case 32,2.8307653279627893,0.022275521,3.69239779856697,0.029,39.1678160328,39.18,20.911113409,21.07,3795.0781999197,1890.8923940971,0.0319114671,42113.6455517346,49.8248598444
Case 33,3.0013151831835847,0.0236197414,3.31042561250832,0.026,40.0638631012,40.31,21.4150465547,21.39,3944.5128557139,2002.8893155612,0.0324655191,40585.0162250933,50.7765949516
Case 39,15.817637667569233,0.1246584097,11.4591655817596,0.09,79.1960072186,80.35,61.4988175747,61.13,11284.416962089,9991.5332662385,0.0935737604,7774.6566839307,88.5427514758
